# Données détaillées de chaque cascade de faillites
pas,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_faille
1,10,136.9223,0.0,141.615,136.9223,141.615,75.3073,10,1.0,0.0,0,10,14.1615
2,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
3,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
4,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
6,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
7,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
8,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
10,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
12,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
14,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
15,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
17,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
19,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
20,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
21,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
22,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
23,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
24,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
26,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
27,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
28,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
29,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
30,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
31,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
33,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
35,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
36,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
37,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
38,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
39,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
40,5,68.4612,0.0,70.8075,68.4612,70.8075,37.6536,5,1.0,0.0,0,5,14.1615
41,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
42,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
43,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
44,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
45,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
47,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
48,5,68.4612,0.0,70.8075,68.4612,70.8075,37.6536,5,1.0,0.0,0,5,14.1615
49,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
52,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
54,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
57,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
58,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
59,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
