pas,nb_entites_vivantes,nb_faillites,actifs_detruits,creances_annulees,volume_prets_actifs,nb_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale
1,11,0,0.0,0.0,0,0,131.9048,94.5714,92.3334
2,11,0,0.0,0.0,0,0,160.4794,130.0128,85.4666
3,11,0,0.0,0.0,0,0,193.5805,164.0079,84.5727
4,12,0,0.0,0.0,0,0,242.2352,206.6869,95.5483
5,13,0,0.0,0.0,0,0,296.5345,253.5608,107.9737
6,13,0,0.0,0.0,0,0,344.5898,296.4097,113.1801
7,13,0,0.0,0.0,0,0,395.9133,340.9012,120.0121
8,13,0,0.0,0.0,0,0,450.2197,387.4028,127.8169
9,13,0,0.0,0.0,0,0,507.3125,436.1053,136.2073
10,13,0,0.0,0.0,0,0,567.0398,487.0924,144.9474
11,13,0,0.0,0.0,0,0,629.2733,540.3828,153.8906
12,14,0,0.0,0.0,0,0,705.8891,604.5516,171.3375
13,14,0,0.0,0.0,0,0,775.3945,665.5789,179.8156
14,14,0,0.0,0.0,0,0,847.4918,728.6456,188.8462
15,15,0,0.0,0.0,0,0,933.985,802.4158,206.5691
16,16,0,0.0,0.0,0,0,1025.3364,881.5163,223.8201
17,16,0,0.0,0.0,0,0,1109.8429,957.1824,232.6605
18,16,0,0.0,0.0,0,0,1197.1102,1034.7399,242.3702
19,17,0,0.0,0.0,0,0,1298.8898,1122.9353,260.9544
20,17,0,0.0,0.0,0,0,1393.6213,1207.8445,270.7768
21,17,0,0.0,0.0,0,0,1490.966,1294.7012,281.2648
22,18,0,0.0,0.0,0,0,1602.7007,1392.1973,300.5034
23,19,0,0.0,0.0,0,0,1719.2683,1494.9725,319.2958
24,19,0,0.0,0.0,24.9611,1,1853.9118,1611.7393,312.2114
25,20,0,0.0,0.0,50.5493,2,2005.9285,1734.3914,320.9878
26,20,0,0.0,0.0,50.5493,2,2127.3495,1832.7919,344.0084
27,21,0,0.0,0.0,77.3484,3,2289.5213,1963.977,353.1959
28,22,0,0.0,0.0,104.7321,4,2459.2598,2097.7722,366.7555
29,23,0,0.0,0.0,132.6863,5,2636.5072,2235.4116,383.4093
30,23,0,0.0,0.0,132.6863,5,2780.7485,2349.1781,413.884
31,23,0,0.0,0.0,132.6863,5,2926.8109,2470.2443,438.8802
32,23,0,0.0,0.0,132.6863,5,3074.7547,2596.8314,460.237
33,23,0,0.0,0.0,132.6863,5,3224.5754,2727.7302,479.1588
34,23,0,0.0,0.0,132.6863,5,3376.2265,2862.1059,496.4343
35,23,0,0.0,0.0,132.6863,5,3529.6358,2999.3697,512.5797
36,24,0,0.0,0.0,164.2682,6,3728.2882,3169.8003,514.2196
37,24,0,0.0,0.0,164.2682,6,3890.3141,3308.6282,537.4177
38,24,0,0.0,0.0,164.2682,6,4053.7471,3451.9222,557.5567
39,24,0,0.0,0.0,164.2682,6,4218.5575,3598.662,575.6274
40,26,0,0.0,0.0,197.656,7,4442.0592,3788.7039,585.6992
41,26,0,0.0,0.0,299.0905,10,4718.9725,4011.2286,538.6534
42,27,0,0.0,0.0,370.6215,12,4985.2566,4204.8165,544.8187
43,27,0,0.0,0.0,370.6215,12,5175.7828,4339.9538,600.2075
44,29,0,0.0,0.0,446.736,14,5466.7124,4559.4367,605.5397
45,30,0,0.0,0.0,523.2599,16,5758.1767,4771.4443,613.4725
46,31,0,0.0,0.0,560.7697,17,6018.601,4956.567,656.2643
47,31,0,0.0,0.0,595.7891,18,6270.6112,5142.2241,687.5979
48,31,0,0.0,0.0,595.7891,18,6489.6255,5309.4761,739.3603
49,31,0,0.0,0.0,595.7891,18,6709.0727,5488.8743,779.4092
50,31,0,0.0,0.0,595.7891,18,6929.1225,5676.7007,811.6327
51,33,0,0.0,0.0,752.8315,22,7330.8721,5997.5766,745.464
52,34,0,0.0,0.0,835.7851,24,7662.4548,6236.388,760.2817
53,35,0,0.0,0.0,879.0627,25,7962.0828,6449.2778,808.7423
54,35,0,0.0,0.0,922.969,26,8256.2567,6665.9553,842.3324
55,35,0,0.0,0.0,922.969,26,8508.2979,6857.9573,902.3716
56,35,0,0.0,0.0,922.969,26,8760.274,7063.9195,948.3855
57,35,0,0.0,0.0,922.969,26,9012.3807,7279.3999,985.0119
58,35,0,0.0,0.0,922.969,26,9264.709,7501.4095,1015.3305
59,36,0,0.0,0.0,1054.2608,29,9660.5645,7828.4275,957.8763
60,36,0,0.0,0.0,1054.2608,29,9922.6825,8033.8088,1014.6129
61,37,0,0.0,0.0,1100.7081,30,10242.8311,8292.8862,1034.2368
62,37,0,0.0,0.0,1150.6892,31,10560.5577,8548.202,1046.6665
63,37,0,0.0,0.0,1150.6892,31,10829.9638,8767.3966,1096.8781
64,37,0,0.0,0.0,1150.6892,31,11098.8643,8996.8998,1136.2753
65,38,0,0.0,0.0,1249.1521,33,11477.8239,9310.8056,1107.8662
66,38,0,0.0,0.0,1300.6446,34,11805.8783,9570.6418,1124.5919
67,38,0,0.0,0.0,1300.6446,34,12083.1167,9794.1974,1178.2747
68,38,0,0.0,0.0,1300.6446,34,12359.4926,10028.9044,1219.9436
69,39,0,0.0,0.0,1446.0567,37,12792.5338,10381.3477,1160.1294
70,41,0,0.0,0.0,1546.8988,39,13202.0973,10688.6791,1171.5193
71,42,0,0.0,0.0,1700.1169,42,13663.8386,11024.7873,1148.9343
72,42,0,0.0,0.0,1752.306,43,14021.8003,11270.6212,1208.873
73,42,0,0.0,0.0,1807.3018,44,14382.7762,11531.3012,1254.1733
74,43,0,0.0,0.0,1953.5888,47,14846.9244,11872.5651,1235.7705
75,43,0,0.0,0.0,1953.5888,47,15161.0332,12092.72,1329.7243
76,43,0,0.0,0.0,1953.5888,47,15473.218,12335.8607,1398.7686
77,45,0,0.0,0.0,2256.9846,53,16111.1913,12823.7034,1255.5033
78,45,0,0.0,0.0,2256.9846,53,16440.3572,13034.5314,1373.8412
