# Statistiques résumées des distributions par grandeur et par pas
pas,nom,n,moyenne,ecart_type,min,q10,q25,median,q75,q90,q99,max
5,passif_total,13,19.5047,4.014,8.5974,13.6945,21.1949,21.1949,21.1949,21.1949,21.1949,21.1949
5,actif_liquide,13,8.3057,0.1552,7.7697,8.3464,8.3464,8.3464,8.3464,8.3464,8.3882,8.3939
5,actif_total,13,22.8103,4.0913,11.9913,16.5795,24.5413,24.5413,24.5413,24.5413,24.5413,24.5413
5,ratio_L_P,13,0.4589,0.165,0.3938,0.3938,0.3938,0.3938,0.3938,0.6047,0.9381,0.9763
5,taux_interne,13,0.1162,0.0185,0.1086,0.1086,0.1086,0.1086,0.1086,0.1381,0.1675,0.1705
5,levier_entite,13,0.8482,0.0405,0.717,0.8209,0.8636,0.8636,0.8636,0.8636,0.8636,0.8636
10,passif_total,13,37.4686,4.829,24.5164,30.3002,39.507,39.507,39.507,39.507,39.507,39.507
10,actif_liquide,13,11.1498,0.8452,8.8838,9.8941,11.5066,11.5066,11.5066,11.5066,11.5066,11.5066
10,actif_total,13,43.6184,5.6742,28.4002,35.1943,46.0137,46.0137,46.0137,46.0137,46.0137,46.0137
10,ratio_L_P,13,0.3004,0.0219,0.2913,0.2913,0.2913,0.2913,0.2913,0.3294,0.3596,0.3624
10,taux_interne,13,0.0823,0.0067,0.0795,0.0795,0.0795,0.0795,0.0795,0.0915,0.1002,0.101
10,levier_entite,13,0.8592,0.0014,0.8586,0.8586,0.8586,0.8586,0.8586,0.8611,0.8631,0.8632
15,passif_total,15,53.4944,16.7949,8.5974,28.286,55.1292,62.1849,62.1849,62.1849,62.1849,62.1849
15,actif_liquide,15,13.7713,2.356,7.9231,9.9185,13.9603,15.0126,15.0126,15.0126,15.0126,15.0126
15,actif_total,15,62.2657,19.1304,11.9913,32.922,64.0895,72.1975,72.1975,72.1975,72.1975,72.1975
15,ratio_L_P,15,0.308,0.1853,0.2414,0.2414,0.2414,0.2414,0.255,0.3757,0.9012,0.9763
15,taux_interne,15,0.0756,0.0288,0.0634,0.0634,0.0634,0.0634,0.0678,0.1009,0.1631,0.1705
15,levier_entite,15,0.8513,0.0359,0.717,0.8586,0.8608,0.8613,0.8613,0.8613,0.8613,0.8613
20,passif_total,17,71.0497,27.4948,11.8193,23.1878,67.2015,88.6598,88.6598,88.6598,88.6598,88.6598
20,actif_liquide,17,15.928,3.9819,7.7697,8.6688,15.7083,18.4412,18.4412,18.4412,18.4412,18.4412
20,actif_total,17,81.9777,31.4727,14.589,26.8567,77.9098,102.101,102.101,102.101,102.101,102.101
20,ratio_L_P,17,0.2627,0.1137,0.208,0.208,0.208,0.208,0.2337,0.3749,0.6152,0.6574
20,taux_interne,17,0.0672,0.0261,0.0531,0.0531,0.0531,0.0531,0.061,0.104,0.1395,0.1454
20,levier_entite,17,0.8632,0.0136,0.8102,0.8612,0.8636,0.8684,0.8684,0.8684,0.8684,0.8684
25,passif_total,20,86.7196,37.5199,18.0081,33.5668,42.6602,108.2242,118.1349,118.1349,118.1349,118.1349
25,actif_liquide,20,16.0494,6.1486,3.8089,8.3469,10.121,19.4412,21.7206,21.7206,21.7206,21.7206
25,actif_total,20,100.2964,43.6632,20.9313,37.0705,49.6845,134.8555,134.8555,134.8555,136.011,136.2821
25,ratio_L_P,20,0.2125,0.0817,0.0345,0.1752,0.1839,0.1839,0.2466,0.296,0.4208,0.44
25,taux_interne,20,0.0605,0.0205,0.046,0.046,0.046,0.0481,0.0766,0.0864,0.1134,0.1178
25,levier_entite,20,0.8673,0.0278,0.7777,0.8545,0.8603,0.876,0.876,0.8794,0.9144,0.9155
30,passif_total,23,102.1382,44.7122,35.4904,42.5759,53.2987,130.5934,143.0386,149.8565,149.8565,149.8565
30,actif_liquide,23,17.995,5.9519,9.0742,10.2889,11.9424,17.7663,24.4272,24.8305,24.8305,24.8305
30,actif_total,23,120.9021,54.7549,41.3065,47.3248,59.7863,148.5788,169.6869,173.3519,176.3801,176.5926
30,ratio_L_P,23,0.1934,0.0469,0.0881,0.1526,0.1657,0.1798,0.2283,0.2399,0.2968,0.3048
30,taux_interne,23,0.0545,0.015,0.0408,0.0408,0.0418,0.0438,0.0686,0.0766,0.083,0.0839
30,levier_entite,23,0.8558,0.0493,0.7509,0.7634,0.859,0.879,0.8831,0.8957,0.9052,0.9065
35,passif_total,23,130.4074,50.4305,56.635,60.451,74.4299,163.0214,176.2497,183.1564,183.1564,183.1564
35,actif_liquide,23,22.2861,6.2737,12.0169,13.1073,15.5393,26.0253,27.7649,27.8603,28.7215,28.7728
35,actif_total,23,153.4624,61.6515,63.6519,68.02,84.9692,184.0467,205.9213,214.9382,217.8609,218.0769
35,ratio_L_P,23,0.1809,0.0277,0.1516,0.1516,0.1556,0.1699,0.2038,0.2115,0.2446,0.2497
35,taux_interne,23,0.0471,0.0111,0.0369,0.0369,0.0377,0.0392,0.058,0.0643,0.0664,0.0664
35,levier_entite,23,0.8583,0.0469,0.7671,0.77,0.8621,0.8858,0.8894,0.8894,0.8897,0.8898
40,passif_total,26,145.7194,65.6244,8.5974,65.108,86.1807,166.6596,206.2793,217.4579,217.4579,217.4579
40,actif_liquide,26,22.5269,8.3054,7.1532,9.8986,15.8844,23.2895,30.5246,31.6829,32.1759,32.2109
40,actif_total,26,170.8484,79.8874,11.9913,73.2006,97.7242,187.9362,242.9825,257.1338,260.442,260.698
40,ratio_L_P,26,0.1947,0.1601,0.0345,0.1404,0.1474,0.1625,0.1881,0.2069,0.7858,0.9763
40,taux_interne,26,0.0491,0.0269,0.0339,0.0339,0.0348,0.039,0.0539,0.0628,0.1472,0.1705
40,levier_entite,26,0.8583,0.0502,0.717,0.7885,0.8133,0.8845,0.8915,0.895,0.9176,0.9252
45,passif_total,30,159.0481,65.6365,49.4013,83.9134,101.0383,153.1332,228.3227,229.707,231.4198,231.4498
45,actif_liquide,30,20.4491,7.7998,7.9159,9.4465,13.8635,19.6159,27.6692,30.5112,32.8296,33.3397
45,actif_total,30,191.9392,89.5855,53.9648,87.899,113.644,173.2642,285.9009,299.9554,307.4192,308.5875
45,ratio_L_P,30,0.1402,0.0416,0.0345,0.0767,0.126,0.146,0.1688,0.1886,0.1952,0.1959
45,taux_interne,30,0.043,0.0111,0.0329,0.033,0.0331,0.0404,0.0497,0.0546,0.0711,0.0711
45,levier_entite,30,0.8544,0.0628,0.7242,0.7668,0.7986,0.8857,0.895,0.9154,0.9498,0.9617
50,passif_total,31,183.1194,70.6689,67.3358,95.7224,117.4445,183.1564,258.073,264.577,265.4124,265.7705
50,actif_liquide,31,26.1817,8.3941,13.274,14.3442,18.6037,27.0626,34.8935,35.9579,37.3256,37.8234
50,actif_total,31,223.5201,100.4271,75.6098,107.7853,130.6951,205.9213,329.0493,350.2715,357.1983,358.2596
50,ratio_L_P,31,0.1483,0.018,0.1115,0.1338,0.1354,0.1444,0.1549,0.169,0.1971,0.1971
50,taux_interne,31,0.0396,0.0091,0.0307,0.0307,0.0311,0.0369,0.0462,0.0511,0.0609,0.0609
50,levier_entite,31,0.8461,0.0681,0.7181,0.7286,0.8041,0.8894,0.8942,0.9064,0.9163,0.9172
55,passif_total,35,195.9416,75.6606,88.8293,98.5291,123.1942,179.1199,276.4629,283.2563,297.5274,298.0116
55,actif_liquide,35,25.782,8.5153,11.7151,14.8351,18.1443,25.0344,33.3855,36.0777,40.699,40.7332
55,actif_total,35,243.0942,115.3277,99.9129,107.2476,136.9773,199.1542,377.9164,399.0196,410.864,412.6089
55,ratio_L_P,35,0.1364,0.0196,0.074,0.1171,0.1223,0.1398,0.1443,0.1522,0.181,0.1811
55,taux_interne,35,0.0381,0.0082,0.029,0.0297,0.0301,0.0374,0.0451,0.0504,0.053,0.0531
55,levier_entite,35,0.8428,0.0855,0.6759,0.7307,0.7398,0.895,0.9054,0.9131,0.9325,0.9375
60,passif_total,36,223.1614,81.8952,112.7503,117.0308,145.5708,209.2466,316.1316,318.5802,328.0708,330.6943
60,actif_liquide,36,28.1837,9.9683,11.3226,16.844,19.6364,25.7234,39.9298,41.8332,43.9677,44.3339
60,actif_total,36,275.6301,126.6352,126.4977,128.6051,159.7221,232.9261,426.5167,449.2864,466.5104,468.254
60,ratio_L_P,36,0.1301,0.0226,0.0652,0.1028,0.1307,0.135,0.1388,0.144,0.1662,0.1663
60,taux_interne,36,0.0354,0.0071,0.0275,0.028,0.0281,0.0346,0.0414,0.0462,0.0471,0.0471
60,levier_entite,36,0.8454,0.0846,0.6831,0.7115,0.7438,0.8982,0.9071,0.9085,0.9414,0.957
65,passif_total,38,245.0212,90.7128,107.0603,137.5762,155.3404,232.5931,346.6761,359.2154,362.3131,362.9947
65,actif_liquide,38,29.1544,11.0614,8.3939,16.5324,20.6314,28.0339,38.3029,44.7654,46.6403,47.6431
65,actif_total,38,302.048,141.2828,110.4543,151.485,170.9718,256.8439,473.5151,504.487,524.364,528.3536
65,ratio_L_P,38,0.1222,0.0239,0.0345,0.1129,0.1227,0.1274,0.1314,0.1378,0.1539,0.1539
65,taux_interne,38,0.0338,0.0068,0.0262,0.0264,0.0269,0.0328,0.0401,0.0426,0.0476,0.0483
65,levier_entite,38,0.8494,0.0889,0.6423,0.7,0.7618,0.9031,0.9081,0.91,0.9532,0.9693
70,passif_total,41,260.6995,102.2384,57.2376,158.2537,168.0974,248.0228,375.8027,387.035,397.6264,400.3222
70,actif_liquide,41,28.5736,11.4246,8.3939,13.3619,21.0074,24.9246,37.8082,44.4646,50.4435,50.8921
70,actif_total,41,322.0024,159.9055,60.6315,173.739,184.6114,273.4186,518.2209,557.5017,585.4823,589.3296
70,ratio_L_P,41,0.1149,0.0263,0.0345,0.0654,0.1151,0.1231,0.1294,0.1342,0.1454,0.1467
70,taux_interne,41,0.0335,0.0091,0.025,0.0254,0.0258,0.0317,0.0386,0.0397,0.0653,0.0661
70,levier_entite,41,0.8529,0.0951,0.6537,0.7008,0.7477,0.9071,0.9107,0.9222,0.9539,0.9585
75,passif_total,43,281.226,99.4584,126.6399,167.3183,185.3783,272.878,394.924,409.0308,411.7944,411.8179
75,actif_liquide,43,30.9238,10.191,11.7503,18.5867,22.9689,27.6414,40.1318,46.9792,48.1089,48.3561
75,actif_total,43,352.5822,170.7305,137.4838,180.3651,202.0636,300.0258,543.0476,615.4473,650.7914,656.3249
75,ratio_L_P,43,0.1124,0.0159,0.067,0.0945,0.1101,0.1153,0.1209,0.1258,0.1349,0.1349
75,taux_interne,43,0.0314,0.006,0.0246,0.0247,0.0252,0.0303,0.0367,0.0387,0.0444,0.0444
75,levier_entite,43,0.8465,0.1094,0.613,0.6628,0.7454,0.9105,0.9126,0.9218,0.9479,0.9584
80,passif_total,47,289.2981,115.083,8.5974,164.3891,203.7071,263.5458,417.38,432.5116,445.234,445.4974
80,actif_liquide,47,31.8459,12.2406,8.3939,17.4419,22.1483,28.4719,41.9569,49.2306,55.1036,55.8529
80,actif_total,47,365.4707,195.2596,11.9913,175.3284,222.4662,290.1106,545.6959,670.3898,715.9424,721.7759
80,ratio_L_P,47,0.1298,0.1257,0.0345,0.0995,0.1072,0.1131,0.1202,0.1263,0.5875,0.9763
80,taux_interne,47,0.0339,0.0213,0.0237,0.024,0.0245,0.0308,0.035,0.039,0.1196,0.1705
80,levier_entite,47,0.8436,0.1162,0.6083,0.6497,0.7482,0.9123,0.9145,0.9243,0.9464,0.9537
85,passif_total,50,304.0715,126.5624,75.7937,162.1114,206.3535,273.3956,448.425,466.5064,476.4387,477.3274
85,actif_liquide,50,32.9998,13.3608,10.4898,15.814,22.0702,30.2898,43.4819,54.5449,57.42,58.08
85,actif_total,50,384.2574,214.7564,82.8496,177.017,223.4237,298.3636,554.2813,728.0285,787.2265,795.2679
85,ratio_L_P,50,0.1131,0.0214,0.0345,0.1027,0.1069,0.1102,0.1171,0.1259,0.1743,0.1768
85,taux_interne,50,0.0314,0.0089,0.0229,0.0231,0.0236,0.0302,0.0348,0.0394,0.0569,0.0574
85,levier_entite,50,0.8497,0.1163,0.5916,0.6357,0.8082,0.9141,0.9163,0.9229,0.9414,0.9571
90,passif_total,55,311.1636,128.7182,76.2533,153.3728,200.0593,281.9984,465.6874,478.0273,486.5956,487.0697
90,actif_liquide,55,29.8088,11.8051,8.3939,16.2657,20.5668,28.4262,38.7538,46.2417,53.8587,56.7634
90,actif_total,55,397.6932,231.9546,83.3625,167.2236,216.8516,309.6502,510.1847,779.1997,862.6006,873.4054
90,ratio_L_P,55,0.1008,0.0227,0.0345,0.0747,0.0995,0.1053,0.1111,0.1198,0.1395,0.1588
90,taux_interne,55,0.0307,0.008,0.0227,0.0229,0.0232,0.0298,0.0354,0.0404,0.0563,0.0573
90,levier_entite,55,0.8517,0.1294,0.5577,0.6131,0.9107,0.9167,0.9184,0.9248,0.966,0.9732
95,passif_total,56,335.1244,127.9578,148.7318,181.1775,215.119,310.9597,489.2055,504.9818,521.5745,523.2849
95,actif_liquide,56,35.0421,13.2788,13.9559,20.0221,24.2936,32.2248,46.1213,56.9847,61.8404,63.8747
95,actif_total,56,432.0281,246.6205,161.4963,196.4127,233.3439,340.4026,536.9453,846.9988,944.995,957.8782
95,ratio_L_P,56,0.1062,0.0125,0.0651,0.097,0.1009,0.1061,0.1166,0.1207,0.1264,0.1268
95,taux_interne,56,0.029,0.006,0.0219,0.0223,0.0226,0.0284,0.0341,0.0371,0.041,0.041
95,levier_entite,56,0.8471,0.136,0.5275,0.5903,0.9132,0.9177,0.92,0.9239,0.9421,0.9557
100,passif_total,57,360.3525,137.3669,168.1423,199.8022,233.5724,336.7426,518.9196,547.8296,573.3449,574.0351
100,actif_liquide,57,37.9179,15.3344,15.456,21.4406,24.8708,33.8333,47.695,63.7932,70.967,72.6966
100,actif_total,57,462.2971,264.7498,183.7503,214.1322,254.4525,365.5759,562.7865,910.6638,1026.7314,1039.3377
100,ratio_L_P,57,0.1058,0.0115,0.0768,0.0945,0.0988,0.1042,0.1161,0.1217,0.1263,0.1266
100,taux_interne,57,0.0279,0.0056,0.0209,0.0214,0.0219,0.0272,0.0327,0.0354,0.0385,0.0386
100,levier_entite,57,0.8498,0.1329,0.5435,0.6058,0.9131,0.919,0.9217,0.9245,0.9384,0.9501
105,passif_total,60,376.3536,141.9579,189.0737,214.2157,249.1332,346.1907,542.5669,579.078,591.2626,591.2626
105,actif_liquide,60,36.253,13.8495,14.2553,22.3718,25.5392,33.1948,47.4463,58.1422,67.336,67.336
105,actif_total,60,483.6394,282.6708,206.575,228.3434,269.4976,375.5513,587.6078,967.5595,1112.7869,1130.6295
105,ratio_L_P,60,0.0984,0.0159,0.0345,0.0844,0.0951,0.1008,0.1061,0.1139,0.1203,0.1206
105,taux_interne,60,0.0272,0.0052,0.0206,0.0208,0.0215,0.0269,0.0317,0.0342,0.0362,0.0364
105,levier_entite,60,0.853,0.1374,0.4973,0.5893,0.9149,0.9209,0.9235,0.926,0.9578,0.9578
110,passif_total,60,404.5818,153.0358,210.6185,228.7092,267.4116,369.0348,569.2267,631.6777,648.4331,648.4331
110,actif_liquide,60,41.4992,17.2868,21.5971,24.392,27.159,35.7272,51.3346,70.5733,77.4223,78.4409
110,actif_total,60,517.1138,302.0039,229.8395,245.6667,289.0479,399.762,615.5613,1037.7261,1201.1327,1222.519
110,ratio_L_P,60,0.1022,0.0087,0.0888,0.0928,0.0954,0.0994,0.1089,0.1158,0.1222,0.1249
110,taux_interne,60,0.0263,0.005,0.0196,0.0199,0.021,0.026,0.0306,0.0331,0.0343,0.0345
110,levier_entite,60,0.855,0.1332,0.5135,0.5956,0.9161,0.9223,0.9247,0.9264,0.9316,0.9319
115,passif_total,64,414.0833,159.5749,176.4026,238.3855,271.102,372.7441,582.0436,654.9728,661.8749,663.2682
115,actif_liquide,64,36.5443,13.508,8.3939,23.0904,26.5858,34.2064,45.0642,57.48,67.7036,72.7596
115,actif_total,64,529.697,321.0663,186.864,258.5565,294.8144,403.7352,628.9885,1092.8364,1288.5741,1315.1655
115,ratio_L_P,64,0.091,0.0173,0.0345,0.0689,0.0894,0.0949,0.0987,0.1067,0.112,0.1122
115,taux_interne,64,0.026,0.005,0.0194,0.0195,0.0207,0.0259,0.0304,0.0324,0.0355,0.0376
115,levier_entite,64,0.8597,0.137,0.4975,0.6011,0.9177,0.9242,0.926,0.9282,0.9684,0.9843
120,passif_total,67,425.37,165.3151,170.459,251.5904,277.4626,389.7399,595.8044,679.8362,690.7688,692.6226
120,actif_liquide,67,37.2596,14.6548,7.7697,23.2602,27.2111,32.3847,46.1278,59.6388,72.2078,75.405
120,actif_total,67,546.9663,341.8298,176.7365,270.6812,300.6459,421.5028,643.3979,1157.8905,1382.8748,1413.0713
120,ratio_L_P,67,0.0901,0.0177,0.0333,0.074,0.0895,0.0943,0.0975,0.1043,0.1107,0.1116
120,taux_interne,67,0.0257,0.005,0.019,0.0192,0.0205,0.0253,0.03,0.0315,0.0368,0.0383
120,levier_entite,67,0.8608,0.1415,0.4804,0.5822,0.9195,0.9254,0.9272,0.9294,0.9726,0.9883
125,passif_total,69,441.1113,174.1135,161.4042,254.1286,287.7937,406.4307,612.8416,714.7761,737.1807,738.991
125,actif_liquide,69,39.6031,17.0098,8.3939,24.4505,28.1818,33.7426,47.3343,66.4282,85.2176,87.7459
125,actif_total,69,568.1127,363.5729,164.7981,273.6101,310.1496,438.9583,661.2293,1222.001,1479.3281,1515.2785
125,ratio_L_P,69,0.091,0.0159,0.0345,0.0849,0.0895,0.0924,0.0976,0.1051,0.1156,0.1187
125,taux_interne,69,0.0253,0.0051,0.0184,0.0187,0.0202,0.0248,0.0295,0.0314,0.0375,0.0394
125,levier_entite,69,0.862,0.1417,0.4877,0.5847,0.9204,0.9263,0.9279,0.9299,0.9711,0.9794
130,passif_total,70,462.8723,176.722,232.1559,271.6072,306.1572,414.1715,620.874,749.855,764.0936,764.0936
130,actif_liquide,70,42.1338,17.3248,14.9351,25.1786,30.3495,36.3609,48.7438,70.9934,84.9502,86.0114
130,actif_total,70,597.3282,382.6464,252.3393,291.7886,332.1972,447.0845,668.9893,1288.2397,1583.628,1622.9976
130,ratio_L_P,70,0.0916,0.0114,0.0345,0.0847,0.0881,0.0919,0.0965,0.1022,0.1116,0.1137
130,taux_interne,70,0.0245,0.0045,0.0181,0.0183,0.0201,0.0246,0.0286,0.0303,0.0319,0.0328
130,levier_entite,70,0.862,0.1434,0.4666,0.5774,0.9219,0.9275,0.9286,0.9297,0.9473,0.9642
135,passif_total,72,478.693,189.8743,188.4825,274.7841,324.9586,412.1686,610.8046,793.7127,818.6584,823.4077
135,actif_liquide,72,42.1377,18.1182,8.3939,26.1663,29.3045,35.6955,49.4327,71.6963,91.4113,93.4835
135,actif_total,72,615.6288,405.1683,191.8765,293.9647,350.5982,443.8878,657.1938,1355.5231,1681.5405,1729.3614
135,ratio_L_P,72,0.0888,0.0137,0.0345,0.0826,0.0866,0.0896,0.0954,0.1014,0.1123,0.1156
135,taux_interne,72,0.0242,0.0047,0.0174,0.0177,0.0202,0.0246,0.0277,0.0302,0.0356,0.0364
135,levier_entite,72,0.8659,0.1411,0.459,0.5814,0.9235,0.9284,0.9292,0.9305,0.9673,0.9823
140,passif_total,77,475.8529,199.1181,128.5605,279.96,326.8764,408.8347,608.0843,807.0647,825.5308,843.3475
140,actif_liquide,77,41.4382,16.6352,15.6636,26.1262,29.0804,35.845,50.2799,68.6789,83.0186,90.7922
140,actif_total,77,616.6579,429.5678,139.4371,302.2843,351.6874,441.2499,653.7358,1413.7859,1791.2215,1847.0386
140,ratio_L_P,77,0.0891,0.0102,0.0345,0.0827,0.0853,0.0881,0.0928,0.0971,0.1202,0.1235
140,taux_interne,77,0.0246,0.0057,0.0172,0.0176,0.0203,0.0247,0.0277,0.0299,0.0432,0.0441
140,levier_entite,77,0.8668,0.1447,0.4355,0.5724,0.9241,0.9289,0.9301,0.9313,0.9448,0.9492
145,passif_total,79,493.0667,194.9504,212.2678,296.0567,335.9306,413.7175,623.4974,828.7014,846.6977,852.3527
145,actif_liquide,79,40.5784,15.0442,13.3208,25.6334,28.8998,36.2932,50.5737,58.401,82.6505,85.4286
145,actif_total,79,641.7645,447.5212,220.5886,317.5711,361.06,443.9377,669.8647,1485.6924,1904.5149,1967.5924
145,ratio_L_P,79,0.0846,0.0129,0.0345,0.0748,0.0826,0.0865,0.0908,0.0949,0.1032,0.1063
145,taux_interne,79,0.0238,0.0045,0.0171,0.0174,0.02,0.0246,0.0273,0.0291,0.0334,0.0343
145,levier_entite,79,0.8675,0.1492,0.4242,0.5585,0.9257,0.9299,0.9309,0.932,0.9593,0.9623
150,passif_total,83,496.6856,195.2778,223.9209,290.5181,331.8188,427.5779,637.003,837.8732,851.656,854.0071
150,actif_liquide,83,40.9147,15.2303,12.9941,26.3637,29.4207,36.5434,50.3203,59.0049,83.9498,86.842
150,actif_total,83,652.5024,470.5431,241.6573,310.8953,355.9864,458.7945,683.9953,1556.472,2025.8292,2099.0117
150,ratio_L_P,83,0.0844,0.0122,0.0345,0.0768,0.0824,0.0865,0.09,0.093,0.1041,0.1041
150,taux_interne,83,0.0237,0.0045,0.0171,0.0173,0.0198,0.0242,0.0274,0.0293,0.0321,0.0334
150,levier_entite,83,0.8674,0.154,0.4043,0.5405,0.9264,0.9306,0.9316,0.933,0.9595,0.9721
155,passif_total,86,505.06,199.1727,105.949,295.5419,339.2603,439.7325,651.7717,854.2478,875.9325,879.0793
155,actif_liquide,86,42.8162,17.9696,8.3939,27.013,30.0076,37.6611,51.4811,64.845,94.3365,98.7942
155,actif_total,86,668.1246,496.3722,109.343,316.5881,364.1007,472.5419,699.4339,1639.1631,2156.0521,2239.1895
155,ratio_L_P,86,0.0854,0.0106,0.0345,0.0791,0.0824,0.0856,0.0892,0.0947,0.1078,0.113
155,taux_interne,86,0.0236,0.005,0.0169,0.0171,0.0196,0.0238,0.0271,0.0291,0.0335,0.0486
155,levier_entite,86,0.8681,0.1574,0.3894,0.5202,0.9278,0.9312,0.9322,0.9334,0.9681,0.969
160,passif_total,88,519.7816,201.5171,114.1488,315.0122,353.8101,455.3523,666.4157,883.3822,903.9255,905.8203
160,actif_liquide,88,43.9787,18.9591,8.3939,28.2447,30.7102,38.5571,52.1651,74.922,97.6555,101.3595
160,actif_total,88,690.4184,521.9705,117.5427,336.2422,381.5678,488.2367,714.7329,1722.5146,2291.2497,2385.9728
160,ratio_L_P,88,0.0847,0.0101,0.0345,0.0779,0.0813,0.0851,0.0885,0.0941,0.1084,0.1122
160,taux_interne,88,0.0232,0.0047,0.0166,0.0168,0.0194,0.0234,0.0266,0.0282,0.0322,0.0468
160,levier_entite,88,0.869,0.1594,0.3776,0.516,0.929,0.9318,0.9326,0.9341,0.9634,0.9711
165,passif_total,90,534.9288,201.3141,251.1452,339.9103,371.1468,467.4685,676.8775,905.121,932.3316,935.9582
165,actif_liquide,90,44.1391,19.3233,8.3939,28.4688,31.2337,38.7219,50.8857,71.7469,101.5073,104.6594
165,actif_total,90,713.5102,547.5608,254.5391,360.6072,396.997,501.7372,725.6709,1808.0839,2433.6239,2540.0932
165,ratio_L_P,90,0.0827,0.0129,0.0334,0.0774,0.0803,0.0836,0.0872,0.0962,0.1089,0.1118
165,taux_interne,90,0.0227,0.0039,0.0163,0.0166,0.0192,0.0231,0.026,0.0271,0.0291,0.0316
165,levier_entite,90,0.8697,0.1615,0.3669,0.5137,0.9297,0.9322,0.9332,0.9363,0.9572,0.9867
170,passif_total,93,543.8634,202.5397,247.0709,350.0464,380.1748,474.8514,680.1067,926.7245,955.7761,957.761
170,actif_liquide,93,44.0003,18.1361,8.3939,29.0009,31.4285,39.3171,52.6413,68.8982,101.5833,102.7141
170,actif_total,93,729.8941,575.2271,250.4648,372.8732,404.8154,508.9064,729.0854,1887.5972,2581.7835,2704.1753
170,ratio_L_P,93,0.0811,0.0115,0.034,0.0762,0.0784,0.0822,0.0855,0.0886,0.1063,0.1075
170,taux_interne,93,0.0225,0.0038,0.0162,0.0164,0.0192,0.0229,0.0256,0.0267,0.0285,0.0318
170,levier_entite,93,0.8708,0.1643,0.3444,0.5009,0.9306,0.9328,0.9337,0.9377,0.9677,0.9864
175,passif_total,98,544.5449,209.6012,243.3271,345.6573,383.5218,486.031,669.6925,955.8356,968.9912,969.5519
175,actif_liquide,98,39.9963,14.4705,8.3939,28.2898,31.685,36.0645,47.2687,56.7167,84.9593,92.0879
175,actif_total,98,733.3994,602.9616,247.9542,369.8144,409.9957,521.9269,718.0274,1955.3334,2733.6535,2877.6723
175,ratio_L_P,98,0.0759,0.016,0.025,0.0345,0.0768,0.0806,0.084,0.0861,0.0934,0.0958
175,taux_interne,98,0.0225,0.004,0.0161,0.0162,0.0193,0.0227,0.0255,0.0269,0.032,0.0321
175,levier_entite,98,0.8744,0.165,0.3367,0.4903,0.9314,0.9335,0.9343,0.9409,0.9885,0.99
180,passif_total,102,546.1436,205.5248,150.1397,351.3524,387.5865,493.7578,671.8062,946.7573,967.8986,968.3213
180,actif_liquide,102,42.6741,16.308,8.3939,28.8309,32.13,39.2459,49.4368,62.397,91.9175,93.2893
180,actif_total,102,745.3689,633.7311,153.5337,376.593,414.917,529.2059,719.6826,1984.7556,2904.9939,3069.4431
180,ratio_L_P,102,0.0787,0.0095,0.0345,0.0725,0.0769,0.0801,0.0832,0.0856,0.0949,0.0968
180,taux_interne,102,0.0225,0.0041,0.0161,0.0162,0.0193,0.0225,0.0254,0.0267,0.0292,0.0408
