# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,,1,1000
2,0,,1,1000
3,0,,1,1000
4,0,,1,1000
5,0,,1,1000
6,0,,1,1000
7,0,,1,1000
8,0,,1,1000
9,0,,1,1000
10,0,,1,1000
96,150,,1,985
104,155,,1,984
137,227,,1,977
149,251,,1,974
153,257,,1,974
168,274,,1,972
171,277,,1,972
263,461,,1,953
276,482,,1,951
281,493,,1,950
304,538,,1,946
360,680,,1,932
364,684,,1,931
367,695,,1,930
371,707,,1,929
443,856,,1,914
487,921,,1,907
507,968,,1,903
595,1161,,1,883
603,1190,,1,881
643,1278,,1,872
695,1379,,1,862
711,1424,,1,857
719,1433,,1,856
742,1469,,1,853
815,1598,,1,840
859,1675,,1,832
865,1697,,1,830
924,1797,,1,820
933,1810,,1,819
957,1873,,1,812
1046,2081,,1,791
1071,2139,,1,786
1084,2163,,1,783
1096,2184,,1,781
1097,2185,,1,781
1105,2202,,1,779
1239,2480,,1,752
1277,2551,,1,744
1283,2557,,1,744
1311,2625,,1,737
1362,2721,,1,727
1383,2755,,1,724
1487,2956,,1,704
1562,3127,,1,687
1590,3194,,1,680
1605,3214,,1,678
1642,3266,,1,673
1705,3390,,1,661
1738,3456,,1,654
1755,3477,,1,652
1795,3563,,1,643
1814,3608,,1,639
1870,3720,,1,628
1901,3776,,1,622
1927,3822,,1,617
1941,3850,,1,615
1945,3857,,1,614
1972,3919,,1,608
2058,4044,,1,595
2080,4080,,1,592
2092,4097,,1,590
2096,4106,,1,589
2117,4144,,1,585
2119,4153,,1,584
2195,4289,,1,571
2205,4314,,1,568
2219,4334,,1,566
2258,4404,,1,559
2322,4522,,1,547
2332,4538,,1,546
2348,4574,,1,542
2359,4590,,1,541
2370,4613,,1,538
2374,4619,,1,538
2375,4619,,1,538
2415,4715,,1,528
2435,4765,,1,523
2444,4788,,1,521
2481,4868,,1,513
2527,4954,,1,504
2566,5038,,1,496
2644,5177,,1,482
2664,5228,,1,477
2760,5444,,1,455
2802,5527,,1,447
2809,5542,,1,445
2849,5615,,1,438
2885,5695,,1,430
2900,5736,,1,426
2917,5781,,1,421
3004,5941,,1,405
3090,6072,,1,392
3159,6197,,1,380
3198,6283,,1,371
3210,6293,,1,370
3211,6293,,1,370
3227,6331,,1,366
3236,6346,,1,365
3237,6349,,1,365
3243,6369,,1,363
3283,6451,,1,354
3300,6490,,1,351
3310,6507,,1,349
3341,6552,,1,344
3352,6578,,1,342
3357,6588,,1,341
3451,6789,,1,321
3452,6790,,1,321
3472,6844,,1,315
3505,6914,,1,308
3532,6973,,1,302
3613,7114,,1,288
3682,7249,,1,275
3778,7480,,1,252
3832,7570,,1,243
3840,7585,,1,241
3856,7616,,1,238
3884,7659,,1,234
3913,7721,,1,227
3919,7733,,1,226
3925,7752,,1,224
3965,7825,,1,217
3969,7833,,1,216
3989,7873,,1,212
3991,7881,,1,211
3996,7890,,1,211
4008,7911,,1,208
4028,7963,,1,203
4038,7987,,1,201
4117,8127,,1,187
4168,8224,,1,177
4196,8288,,1,171
4214,8325,,1,167
4229,8349,,1,165
4234,8358,,1,164
4272,8436,,1,156
4288,8459,,1,154
4289,8461,,1,153
4426,8724,,1,127
4468,8781,,1,121
4558,8977,,1,102
4563,8979,,1,102
4590,9020,,1,98
4622,9076,,1,92
4640,9108,,1,89
4641,9109,,1,89
4677,9168,,1,83
4797,9435,,1,56
4844,9535,,1,46
4852,9557,,1,44
4865,9572,,1,42
4933,9706,,1,29
4934,9707,,1,29
4966,9765,,1,23
4983,9802,,1,19
4991,9816,,1,18
5060,9948,,1,5
5082,9989,,1,1
5085,9993,,1,0
