step,value
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,13.404659
10,10.953441
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,22.048733
20,19.432619
20,12.570347
20,10.953441
20,10.187276
20,9.468625
20,8.295427
20,7.957788
30,30.294238
30,29.746168
30,15.280604
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,30.678189
30,28.11598
30,21.176638
30,19.432619
30,18.561771
30,17.692537
30,15.962119
30,15.103005
30,14.997449
30,13.986319
30,10.165702
40,9.562415
40,40.580188
40,39.12137
40,37.933612
40,37.933612
40,35.177784
40,35.177784
40,35.177784
40,35.177784
40,33.339674
40,33.339674
40,36.519474
40,29.82748
40,28.11598
40,27.255684
40,26.392715
40,24.659946
40,23.79079
40,21.752505
40,20.671614
40,17.568698
40,15.979957
40,15.979957
40,16.861853
40,16.861853
40,16.22994
40,8.468943
40,9.13827
50,49.449696
50,48.807523
50,47.142967
50,40.968525
50,40.968525
50,37.114126
50,12.197276
50,12.197276
50,47.444559
50,47.220037
50,47.220037
50,34.888561
50,38.146667
50,36.519474
50,35.698456
50,34.872679
50,33.207478
50,32.368393
50,28.593133
50,27.508549
50,24.352623
50,22.745855
50,22.745855
50,22.391925
50,22.391925
50,22.100197
50,18.185909
50,18.529671
50,17.977858
50,17.901355
50,16.595439
50,9.97954
60,55.630379
60,50.662438
60,49.658025
60,38.423691
60,29.155221
60,14.619732
60,55.216925
60,55.216925
60,53.249634
60,50.17326
60,47.63666
60,51.797344
60,45.956333
60,44.440381
60,43.673511
60,42.900804
60,41.338186
60,40.548445
60,35.292735
60,34.239195
60,31.137433
60,29.543461
60,29.543461
60,27.469647
60,27.469647
60,27.175403
60,24.893563
60,25.150345
60,24.608051
60,23.822276
60,23.298007
60,22.59552
60,17.824474
60,17.550526
60,20.367687
60,19.740511
60,7.957788
60,13.505648
60,8.830449
60,11.811246
70,34.491387
70,67.133532
70,52.853012
70,44.539276
70,33.714179
70,17.022718
70,63.486889
70,63.486889
70,62.913305
70,54.429335
70,62.219016
70,58.513982
70,53.167343
70,51.775301
70,51.069778
70,50.357949
70,48.915486
70,48.184916
70,41.688841
70,40.68741
70,37.712256
70,36.174163
70,36.174163
70,32.504443
70,32.504443
70,32.211402
70,31.478252
70,31.726725
70,31.194459
70,28.576398
70,28.214396
70,27.427025
70,24.58176
70,24.279041
70,26.20651
70,25.908805
70,24.560999
70,25.068777
70,24.612193
70,24.757223
70,23.96155
70,14.527832
70,18.609372
70,19.109888
70,9.488725
80,40.278299
80,77.509404
80,65.744036
80,20.349221
80,75.175212
80,73.949775
80,72.630946
80,69.102827
80,68.597761
80,56.666498
80,62.313835
80,46.698413
80,59.74492
80,58.480468
80,57.838684
80,57.190515
80,55.87501
80,55.20767
80,47.686428
80,46.749186
80,43.943802
80,42.487877
80,42.487877
80,37.390181
80,37.390181
80,37.104043
80,37.855527
80,38.090864
80,37.581444
80,33.260047
80,33.057369
80,32.134411
80,31.171145
80,30.720409
80,30.80015
80,30.513167
80,29.450202
80,29.768806
80,29.278804
80,29.415743
80,28.557513
80,27.707745
80,27.802875
80,27.620705
80,26.310231
80,24.242258
80,22.58376
80,17.664555
80,17.456621
90,60.964125
90,22.9507
90,59.340185
90,43.927387
90,77.253873
90,76.480912
90,71.904606
90,65.610226
90,56.686144
90,42.443975
90,43.011407
90,75.71592
90,65.688889
90,64.549979
90,63.971257
90,63.386321
90,62.197708
90,61.593986
90,53.235887
90,52.368822
90,49.756441
90,48.397385
90,48.397385
90,42.050202
90,42.050202
90,41.774939
90,43.901684
90,44.120525
90,43.641728
90,37.795606
90,37.748931
90,36.712296
90,37.560139
90,36.98046
90,35.279976
90,35.005117
90,34.064937
90,34.28865
90,33.723763
90,33.884454
90,32.917756
90,32.034934
90,31.941681
90,32.002535
90,30.578577
90,29.320529
90,28.851897
90,28.69927
90,29.037837
90,22.380403
90,25.513037
90,21.948062
90,22.144008
90,18.812448
90,19.078479
100,27.759487
100,99.414768
100,83.215309
100,95.690452
100,92.83485
100,92.1608
100,83.915754
100,26.908897
100,92.282652
100,90.14795
100,90.547556
100,81.384911
100,71.020908
100,70.001923
100,69.483667
100,68.95952
100,67.8934
100,67.351357
100,58.318343
100,57.523293
100,55.113516
100,53.858117
100,53.858117
100,46.435869
100,46.435869
100,46.174064
100,49.545056
100,49.745717
100,49.301728
100,42.119432
100,42.2206
100,41.091625
100,43.622666
100,42.934317
100,39.587589
100,39.328495
100,38.51843
100,38.649042
100,38.021123
100,38.202347
100,37.146879
100,36.121672
100,35.913083
100,36.219567
100,34.585323
100,33.484788
100,32.950067
100,32.831863
100,33.182115
100,32.511604
100,31.078786
100,31.127123
100,30.78528
100,30.044593
100,30.245724
100,32.333466
100,26.621309
100,11.500345
110,96.824349
110,74.471184
110,85.201097
110,54.47403
110,94.94516
110,89.699542
110,81.106697
110,53.286992
110,28.751047
110,78.380085
110,93.753392
110,49.902755
110,75.77584
110,74.869065
110,74.407539
110,73.940529
110,72.989883
110,72.506162
110,62.935585
110,62.211601
110,60.00476
110,58.854413
110,58.854413
110,50.519812
110,50.519812
110,50.272983
110,54.750491
110,54.932423
110,54.524971
110,46.190633
110,46.428649
110,45.226474
110,49.284996
110,48.506645
110,43.6732
110,43.432141
110,42.755002
110,42.79616
110,42.116906
110,42.315163
110,41.18965
110,40.041346
110,39.726523
110,40.262889
110,38.449396
110,37.507985
110,36.902172
110,36.759331
110,37.108506
110,36.223635
110,34.980716
110,34.980093
110,34.509417
110,34.078004
110,34.130461
110,34.769537
110,32.478496
110,31.84594
110,26.353685
110,22.501517
110,29.228553
110,29.484657
110,24.173751
110,22.964967
110,21.366949
110,22.953456
110,17.722933
110,9.891545
120,83.275501
120,116.772346
120,31.527934
120,98.635718
120,76.68925
120,31.216728
120,109.28543
120,86.894028
120,74.258153
120,92.703047
120,106.796245
120,99.669349
120,79.995846
120,79.19248
120,78.783338
120,78.369163
120,77.525528
120,77.095976
120,67.10297
120,66.447283
120,64.437553
120,63.390044
120,63.390044
120,54.290405
120,54.290405
120,54.059269
120,59.507794
120,59.671213
120,59.300351
120,49.985997
120,50.348477
120,49.089782
120,54.510545
120,53.658778
120,47.50584
120,47.284001
120,46.737831
120,46.695087
120,45.975008
120,46.187096
120,45.00803
120,43.756572
120,43.345103
120,44.092007
120,42.130128
120,41.350715
120,40.684851
120,40.519609
120,40.863269
120,39.70534
120,38.721121
120,38.626819
120,38.043941
120,37.886901
120,37.79444
120,36.706981
120,36.089309
120,35.486283
120,34.824347
120,35.261235
120,34.885275
120,35.066895
120,36.444583
120,35.296237
120,35.067359
120,33.492251
120,32.28091
120,31.862908
120,31.02272
120,27.999871
120,24.993129
120,23.786454
120,11.991347
130,33.235514
130,67.844124
130,88.096876
130,114.854295
130,33.610319
130,64.419898
130,33.462703
130,95.188208
130,62.849663
