step,value
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,50.332136
10,36.485939
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,106.558312
20,88.313387
20,45.534207
20,36.485939
20,32.253219
20,28.228468
20,20.860499
20,17.562607
30,183.407454
30,182.344043
30,174.948268
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,173.182313
30,152.453703
30,100.365569
30,88.313387
30,82.466883
30,76.748971
30,65.726366
30,60.435742
30,72.897952
30,66.309403
30,48.821813
40,267.831146
40,266.728637
40,259.974329
40,256.453432
40,256.453432
40,252.727219
40,252.727219
40,252.727219
40,252.727219
40,251.39647
40,251.39647
40,223.058769
40,166.217623
40,152.453703
40,145.664311
40,138.943447
40,125.728692
40,119.245886
40,120.36769
40,112.338635
40,90.319613
40,79.779062
40,79.779062
40,105.378066
40,105.378066
40,103.391242
40,11.991347
40,56.613188
50,370.963975
50,368.440686
50,360.2285
50,350.654894
50,350.654894
50,345.365063
50,339.355658
50,339.355658
50,339.355658
50,338.139704
50,338.139704
50,301.312542
50,237.548093
50,223.058769
50,215.84243
50,208.649856
50,194.351452
50,187.253695
50,174.767583
50,165.832579
50,140.669525
50,128.277131
50,128.277131
50,143.603007
50,143.603007
50,141.354508
50,97.171102
50,99.012486
50,95.228659
50,121.784185
50,115.084174
50,112.697869
60,483.869941
60,477.756411
60,469.993885
60,456.959256
60,454.689888
60,447.18819
60,442.805747
60,442.805747
60,438.117038
60,433.633002
60,431.878136
60,388.236958
60,310.289483
60,295.779216
60,288.50769
60,281.228552
60,266.65801
60,259.372166
60,232.925932
60,223.54879
60,196.6464
60,183.151668
60,183.151668
60,185.659183
60,185.659183
60,183.199257
60,146.982641
60,149.052004
60,144.730181
60,159.143247
60,153.107578
60,149.783064
60,95.025719
60,95.460329
60,142.940159
60,140.525094
60,17.562607
60,78.789829
60,74.034061
60,75.494336
70,620.461041
70,610.548896
70,593.267076
70,579.072848
70,574.854075
70,565.636378
70,559.709501
70,559.709501
70,554.903703
70,541.904601
70,547.623315
70,489.309846
70,381.626447
70,367.57169
70,360.498452
70,353.396762
70,339.114859
70,331.938268
70,292.260546
70,282.806725
70,255.308452
70,241.344168
70,241.344168
70,230.00054
70,230.00054
70,227.413535
70,201.86416
70,204.053348
70,199.434015
70,199.406257
70,194.308524
70,189.444896
70,144.522206
70,143.765491
70,180.941383
70,178.398502
70,167.454316
70,171.930005
70,169.650811
70,170.223241
70,165.729288
70,93.755158
70,165.794568
70,159.021339
70,79.976818
80,773.550046
80,758.520197
80,734.186847
80,710.290828
80,706.848834
80,699.024124
80,691.535129
80,685.51302
80,680.620502
80,662.542609
80,667.752083
80,590.799535
80,449.717059
80,436.420961
80,429.708959
80,422.955566
80,409.32868
80,402.457374
80,350.826933
80,341.565998
80,314.336706
80,300.391358
80,300.391358
80,275.207548
80,275.207548
80,272.567471
80,259.112019
80,261.325985
80,256.608826
80,241.344316
80,237.412497
80,231.089048
80,199.219915
80,197.157095
80,221.01985
80,218.402927
80,207.75893
80,211.70189
80,208.54264
80,209.38267
80,203.529491
80,199.588409
80,201.398113
80,196.382563
80,189.523264
80,176.152996
80,174.192183
80,173.698025
80,176.349717
90,945.026905
90,914.181862
90,883.963077
90,860.946637
90,842.732445
90,835.723994
90,826.398236
90,818.560172
90,810.873725
90,792.261425
90,794.537122
90,701.5463
90,513.443399
90,501.081999
90,494.827484
90,488.524377
90,475.774484
90,469.32885
90,407.248682
90,398.367903
90,372.024149
90,358.452246
90,358.452246
90,320.115988
90,320.115988
90,317.483339
90,316.57843
90,318.746017
90,314.083112
90,283.776365
90,281.139269
90,273.494979
90,256.398313
90,253.048627
90,262.095319
90,259.476658
90,249.451435
90,252.725844
90,248.74127
90,249.837723
90,242.737706
90,237.152095
90,237.957859
90,235.008368
90,225.676068
90,212.870037
90,210.106839
90,209.719353
90,212.634719
90,214.252787
90,196.399807
90,199.145464
90,199.087026
90,186.867643
90,191.83721
100,1122.701874
100,1093.288483
100,1054.848928
100,1021.405829
100,1001.998951
100,995.768803
100,978.722544
100,956.70385
100,949.61371
100,933.756001
100,933.304032
100,823.469468
100,572.210007
100,560.868675
100,555.120133
100,549.319857
100,537.56481
100,531.610469
100,460.614737
100,452.235252
100,427.189474
100,414.233073
100,414.233073
100,363.827582
100,363.827582
100,361.249206
100,372.675867
100,374.747184
100,370.247402
100,325.734105
100,324.440219
100,315.640992
100,313.883184
100,309.336767
100,303.156146
100,300.594366
