step,value
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,41.927477
10,30.532498
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,89.509579
20,73.880768
20,37.96386
20,30.532498
20,27.065943
20,23.759843
20,17.565072
20,14.604819
30,130.714624
30,129.340198
30,131.444345
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,147.504125
30,129.337723
30,84.188931
30,73.880768
30,68.905113
30,64.056434
30,54.764247
30,50.332737
30,62.900503
30,57.323084
30,43.656111
40,191.248297
40,202.890772
40,192.629641
40,187.937153
40,187.937153
40,184.689844
40,184.689844
40,184.689844
40,184.689844
40,184.45642
40,184.45642
40,191.539294
40,141.390143
40,129.337723
40,123.408627
40,117.550732
40,106.068746
40,100.455096
40,103.615184
40,96.667021
40,77.750915
40,68.799105
40,68.799105
40,93.516212
40,93.516212
40,92.161302
40,8.522404
40,52.474918
50,254.493845
50,251.093902
50,239.938974
50,231.392673
50,231.392673
50,227.533955
50,243.945528
50,243.945528
50,259.051507
50,257.319292
50,257.319292
50,227.217805
50,204.401426
50,191.539294
50,185.143974
50,178.777177
50,166.143975
50,159.885302
50,151.174449
50,143.32403
50,121.316902
50,110.531276
50,110.531276
50,126.211082
50,126.211082
50,124.254311
50,83.985193
50,85.482816
50,82.250802
50,108.882829
50,103.488735
50,107.718328
60,303.603022
60,299.551281
60,289.223451
60,281.930526
60,288.004423
60,292.39464
60,304.375969
60,304.375969
60,299.37417
60,295.93863
60,296.012264
60,297.233438
60,269.333151
60,256.338835
60,249.834179
60,243.327748
60,230.319824
60,223.82372
60,202.633197
60,194.309596
60,170.508967
60,158.608207
60,158.608207
60,163.189536
60,163.189536
60,161.023855
60,127.089078
60,128.901659
60,125.122129
60,140.320971
60,134.809571
60,132.187544
60,82.201245
60,82.909803
60,127.572472
60,125.784583
60,14.604819
60,70.28418
60,70.203613
60,68.683091
70,329.036215
70,359.108888
70,341.411187
70,330.792166
70,335.80497
70,340.45437
70,353.556014
70,353.556014
70,348.869418
70,337.633146
70,344.978887
70,336.907251
70,333.459104
70,320.79639
70,314.428674
70,308.038812
70,295.199373
70,288.753353
70,255.571705
70,247.119315
70,222.596196
70,210.170005
70,210.170005
70,202.496097
70,202.496097
70,200.202133
70,175.385908
70,177.326623
70,173.239555
70,175.829859
70,171.094128
70,167.017872
70,124.940446
70,124.486451
70,159.734874
70,157.489697
70,147.893317
70,151.861228
70,150.038617
70,150.466018
70,146.767738
70,84.227326
70,152.185196
70,144.911451
70,75.488093
80,393.375101
80,423.446338
80,393.679267
80,406.984421
80,426.338697
80,416.915059
80,408.039915
80,402.406053
80,398.052597
80,384.370041
80,393.182569
80,382.417246
80,394.972139
80,382.940493
80,376.870275
80,370.76505
80,358.45367
80,352.249705
80,308.140505
80,299.816811
80,275.392904
80,262.903481
80,262.903481
80,242.817366
80,242.817366
80,240.463428
80,226.256492
80,228.235121
80,224.027382
80,213.084269
80,209.355128
80,203.954638
80,173.04877
80,171.436686
80,195.219699
80,192.88976
80,183.308728
80,186.933084
80,184.263835
80,184.966927
80,179.971978
80,176.880664
80,178.595237
80,173.761858
80,168.213032
80,156.910738
80,156.608424
80,161.03347
80,163.893095
90,451.781199
90,459.014002
90,460.837981
90,447.26575
90,476.668185
90,468.335101
90,460.73163
90,455.95539
90,456.74316
90,445.800948
90,456.296035
90,464.146504
90,452.754511
90,441.532019
90,435.856227
