step,value
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.319711
10,0.358747
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.246328
20,0.263027
20,0.331114
20,0.358747
20,0.376387
20,0.398514
20,0.472268
20,0.544874
30,0.231759
30,0.229984
30,0.116252
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.207982
30,0.217384
30,0.251537
30,0.263027
30,0.269382
30,0.276202
30,0.29147
30,0.300063
30,0.238431
30,0.243991
30,0.232859
40,0.05
40,0.20001
40,0.203091
40,0.201842
40,0.201842
40,0.19047
40,0.19047
40,0.19047
40,0.19047
40,0.180746
40,0.180746
40,0.190663
40,0.210959
40,0.217384
40,0.220857
40,0.224522
40,0.23249
40,0.23683
40,0.209935
40,0.213844
40,0.225961
40,0.23227
40,0.23227
40,0.180309
40,0.180309
40,0.176104
40,0.993727
40,0.174145
50,0.194306
50,0.19438
50,0.196479
50,0.177052
50,0.177052
50,0.163115
50,0.05
50,0.05
50,0.183147
50,0.183508
50,0.183508
50,0.153547
50,0.186626
50,0.190663
50,0.192815
50,0.195062
50,0.199872
50,0.202448
50,0.18914
50,0.191933
50,0.200736
50,0.205787
50,0.205787
50,0.177416
50,0.177416
50,0.177863
50,0.216537
50,0.216765
50,0.218574
50,0.164409
50,0.16036
50,0.092645
60,0.183234
60,0.169128
60,0.171694
60,0.136288
60,0.101232
60,0.05
60,0.18141
60,0.18141
60,0.17787
60,0.169539
60,0.160928
60,0.174265
60,0.17063
60,0.173366
60,0.17481
60,0.176309
60,0.179482
60,0.181162
60,0.174171
60,0.176209
60,0.182615
60,0.186267
60,0.186267
60,0.16833
60,0.16833
60,0.168766
60,0.195875
60,0.195113
60,0.196672
60,0.16977
60,0.172822
60,0.170935
60,0.216839
60,0.211682
60,0.159656
60,0.156939
60,0.544874
60,0.192158
60,0.125783
60,0.171967
70,0.104826
70,0.186945
70,0.154807
70,0.134644
70,0.100398
70,0.05
70,0.179567
70,0.179567
70,0.180335
70,0.161209
70,0.180356
70,0.17368
70,0.159442
70,0.161396
70,0.162421
70,0.163479
70,0.165703
70,0.166872
70,0.16312
70,0.164647
70,0.16942
70,0.172119
70,0.172119
70,0.160519
70,0.160519
70,0.160894
70,0.17948
70,0.178917
70,0.180065
70,0.162523
70,0.164906
70,0.164216
70,0.196748
70,0.195034
70,0.164063
70,0.164511
70,0.166072
70,0.165077
70,0.164039
70,0.164537
70,0.163262
70,0.172484
70,0.122281
70,0.131873
70,0.125698
80,0.102392
80,0.183044
80,0.166999
80,0.05
80,0.176327
80,0.177374
80,0.178
80,0.171724
80,0.172333
80,0.147427
80,0.158486
80,0.122114
80,0.151264
80,0.152714
80,0.153471
80,0.15425
80,0.155878
80,0.156729
80,0.154755
80,0.155926
80,0.159568
80,0.16161
80,0.16161
80,0.153985
80,0.153985
80,0.154302
80,0.167312
80,0.166893
80,0.167754
80,0.156089
80,0.157901
80,0.157557
80,0.180129
80,0.179194
80,0.157772
80,0.15819
80,0.160659
80,0.159248
80,0.158896
80,0.159032
80,0.158678
80,0.156647
80,0.155675
80,0.158957
80,0.15641
80,0.154497
80,0.144205
80,0.109695
80,0.106512
90,0.134942
90,0.05
90,0.128766
90,0.098213
90,0.162071
90,0.163304
90,0.156066
90,0.143896
90,0.124109
90,0.095208
90,0.094262
90,0.163129
90,0.145087
90,0.146195
90,0.146771
90,0.147363
90,0.148593
90,0.149234
90,0.148284
90,0.149199
90,0.152036
90,0.153616
90,0.153616
90,0.148553
90,0.148553
90,0.14882
90,0.158104
90,0.157784
90,0.158443
90,0.150592
90,0.151974
90,0.15184
90,0.1678
90,0.167281
90,0.15219
90,0.152547
90,0.154569
90,0.15346
90,0.153278
90,0.153356
90,0.153234
90,0.152462
90,0.151371
90,0.153854
90,0.152818
90,0.155506
90,0.154905
90,0.15428
90,0.153968
90,0.11368
90,0.145054
90,0.120463
90,0.121708
90,0.108708
90,0.107328
100,0.05
100,0.177003
100,0.162168
100,0.172117
100,0.172573
100,0.173617
100,0.164035
100,0.05
100,0.164824
100,0.167067
100,0.165376
100,0.162092
100,0.140305
100,0.141171
100,0.141619
100,0.142079
100,0.143032
100,0.143527
100,0.143184
