# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,,1,300
2,0,,1,300
3,0,,1,300
4,0,,1,300
5,0,,1,300
6,0,,1,300
7,0,,1,300
8,0,,1,300
9,0,,1,300
10,0,,1,300
96,150,527,0,285
104,155,419,0,284
137,227,413,0,277
149,251,452,0,274
153,257,493,0,274
168,274,476,0,272
171,277,482,0,272
263,461,728,0,253
276,482,851,0,251
281,493,681,0,250
304,538,801,0,246
360,680,909,0,232
364,684,963,0,231
367,695,1232,0,230
371,707,993,0,229
443,856,1082,0,214
487,921,1159,0,207
507,968,1177,0,203
595,1161,1347,0,183
603,1190,1358,0,181
643,1278,1432,0,172
695,1379,1725,0,162
711,1424,1587,0,157
719,1433,1618,0,156
742,1469,2017,0,153
815,1598,1890,0,140
859,1675,1895,0,132
865,1697,1923,0,130
924,1797,2034,0,120
933,1810,2000,0,119
957,1873,2079,0,112
1046,2081,2320,0,91
1071,2139,2331,0,86
1084,2163,2388,0,83
1096,2184,2461,0,81
1097,2185,2311,0,81
1105,2202,2440,0,79
1239,2480,2689,0,52
1277,2551,2697,0,44
1283,2557,2746,0,44
1311,2625,2772,0,37
1362,2721,2857,0,27
1383,2755,2966,0,24
1487,2956,,1,4
