step,value
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,37.521942
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,94.927374
20,47.250306
20,37.521942
20,33.019703
20,28.7694
20,21.073183
20,17.668492
30,206.459834
30,204.64276
30,198.25848
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,170.933124
30,108.814025
30,94.927374
30,88.259915
30,81.783653
30,69.426717
30,63.557081
30,78.40447
30,71.186201
30,51.108292
40,315.653646
40,313.483489
40,302.239825
40,299.254682
40,299.254682
40,299.254682
40,299.254682
40,296.168952
40,296.168952
40,296.168952
40,296.168952
40,260.357066
40,187.899477
40,170.933124
40,162.647873
40,154.50112
40,138.643195
40,130.94224
40,136.1946
40,126.789213
40,99.88398
40,123.97899
40,123.97899
40,115.71081
40,115.71081
40,117.508431
40,54.116219
40,58.069753
50,446.271964
50,439.617035
50,429.102753
50,424.454246
50,423.364378
50,423.364378
50,423.364378
50,415.16395
50,415.16395
50,415.16395
50,413.770705
50,371.792919
50,279.443031
50,260.357066
50,250.945026
50,241.62575
50,223.2824
50,214.266986
50,206.712139
50,195.554268
50,162.915651
50,177.908267
50,177.908267
50,167.940231
50,167.940231
50,167.581062
50,150.163911
50,153.956008
50,148.886383
50,181.929216
50,135.022017
50,127.211982
60,602.214499
60,593.406003
60,579.902919
60,568.218221
60,565.716582
60,565.716582
60,565.716582
60,555.723366
60,555.723366
60,555.723366
60,551.454076
60,498.114849
60,379.118279
60,358.713061
60,348.586644
60,338.515424
60,318.552248
60,308.667321
60,286.822436
60,274.363935
60,237.385614
60,240.436144
60,240.436144
60,228.9998
60,228.9998
60,225.911005
60,207.362873
60,210.529626
60,204.828759
60,227.471443
60,187.514933
60,177.958679
60,167.464349
60,214.888782
60,212.716102
60,158.363407
60,80.22664
60,88.047608
60,79.174823
60,83.477038
70,783.165271
70,769.822288
70,754.794993
70,741.130244
70,738.152919
70,732.009806
70,730.777761
70,717.379064
70,715.813165
70,715.813165
70,710.154051
70,640.03286
70,483.400514
70,462.31921
70,451.811293
70,441.328655
70,420.449984
70,410.059504
70,373.571931
70,360.226311
70,320.21754
70,309.694162
70,309.694162
70,297.109501
70,297.109501
70,291.073808
70,272.088415
70,274.385327
70,268.234327
70,277.957812
70,247.456017
70,235.521971
70,223.681542
70,261.763794
70,258.984595
70,212.843357
70,204.163057
70,213.957718
70,204.144404
70,208.441173
70,192.274445
70,175.005798
70,178.850035
70,182.905061
70,165.879821
80,985.921755
80,969.146331
80,950.650257
80,934.539089
80,931.130455
80,919.33048
80,918.151756
80,896.291035
80,895.773902
80,895.773902
80,890.170597
80,798.094528
80,595.563348
80,568.246358
80,557.618692
80,546.99303
80,525.756015
80,515.148952
80,464.381865
80,450.505642
80,408.610552
80,383.805864
80,383.805864
80,370.386107
80,370.386107
80,361.347229
80,342.537389
80,343.797081
80,337.371307
80,332.634937
80,313.534233
80,299.406634
80,286.488984
80,312.8253
80,309.397761
80,273.953557
80,264.280743
80,274.286772
80,263.064835
80,267.981577
80,250.71213
80,230.956281
80,234.578782
80,238.21075
80,296.826126
80,294.650278
80,279.294521
80,237.721529
80,221.611497
90,1208.721195
90,1188.059193
90,1165.274818
90,1146.590989
90,1140.183304
90,1122.868243
90,1119.592245
90,1091.313021
90,1093.413823
90,1093.413823
90,1087.781663
90,965.598438
90,716.340935
90,674.218658
90,663.672483
90,653.110609
90,631.946007
90,621.346517
90,557.097803
90,542.987034
90,500.164068
90,461.043533
90,461.043533
90,447.074997
90,447.074997
90,435.093747
90,416.960942
90,417.083247
90,410.538746
90,390.514837
90,384.101868
90,368.029418
90,354.34627
90,367.276757
90,363.229242
90,340.366207
90,329.890155
90,339.775481
90,327.409315
90,332.812152
90,314.969199
90,292.931022
90,296.072798
90,299.093588
90,343.098404
90,340.03078
90,325.614902
90,288.593326
90,274.720311
90,330.842073
90,266.728454
90,228.88636
90,297.611016
90,308.735742
90,220.828897
100,1457.989301
100,1427.703224
100,1407.047675
100,1381.509257
100,1375.141799
100,1340.792823
100,1339.965811
100,1311.347903
100,1314.149328
100,1302.309631
100,1296.783056
100,1151.806684
100,834.90215
100,778.507661
100,768.194075
100,757.851663
100,737.084925
100,726.662979
100,649.975625
100,635.869257
100,592.897186
100,539.892898
100,539.892898
100,525.62614
100,525.62614
100,510.843901
100,493.779172
100,492.718348
100,486.1876
100,450.631002
100,457.616493
100,439.872333
100,425.71169
