step,value
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.089151
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.055989
20,0.079572
20,0.089151
20,0.094913
20,0.10154
20,0.118638
20,0.130386
30,0.040683
30,0.041059
30,0.040626
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.041394
30,0.052213
30,0.055989
30,0.058107
30,0.060405
30,0.065632
30,0.06862
30,0.060764
30,0.063704
30,0.073894
40,0.034248
40,0.034521
40,0.034071
40,0.033358
40,0.033358
40,0.033358
40,0.033358
40,0.033572
40,0.033572
40,0.033572
40,0.033572
40,0.034291
40,0.039422
40,0.041394
40,0.042468
40,0.043607
40,0.046107
40,0.047482
40,0.046095
40,0.047789
40,0.053861
40,0.047794
40,0.047794
40,0.049327
40,0.049327
40,0.048553
40,0.0707
40,0.068098
50,0.029656
50,0.028993
50,0.029763
50,0.029219
50,0.029306
50,0.029306
50,0.029306
50,0.029712
50,0.029712
50,0.029712
50,0.02965
50,0.029601
50,0.032121
50,0.033316
50,0.033955
50,0.034625
50,0.036065
50,0.03684
50,0.037289
50,0.038358
50,0.042088
50,0.039946
50,0.039946
50,0.041114
50,0.041114
50,0.041095
50,0.043424
50,0.042856
50,0.043576
50,0.03891
50,0.045185
50,0.045265
60,0.026504
60,0.026561
60,0.026857
60,0.026805
60,0.026901
60,0.026199
60,0.026199
60,0.026646
60,0.026646
60,0.026646
60,0.026652
60,0.026762
60,0.027444
60,0.028238
60,0.028658
60,0.029095
60,0.030022
60,0.030514
60,0.031543
60,0.032267
60,0.034743
60,0.034323
60,0.034323
60,0.035177
60,0.035177
60,0.035378
60,0.036962
60,0.036661
60,0.037173
60,0.035032
60,0.038826
60,0.039821
60,0.040985
60,0.035911
60,0.036034
60,0.04188
60,0.057232
60,0.056331
60,0.057632
60,0.05727
70,0.023658
70,0.024018
70,0.024421
70,0.024664
70,0.02474
70,0.024183
70,0.024247
70,0.024062
70,0.024085
70,0.024085
70,0.024229
70,0.024415
70,0.024214
70,0.024776
70,0.025071
70,0.025376
70,0.026018
70,0.026356
70,0.027552
70,0.02807
70,0.029812
70,0.030192
70,0.030192
70,0.030833
70,0.030833
70,0.031128
70,0.032225
70,0.032074
70,0.032446
70,0.031696
70,0.033776
70,0.034612
70,0.035522
70,0.032633
70,0.032802
70,0.036408
70,0.037131
70,0.036244
70,0.037125
70,0.036715
70,0.038275
70,0.039809
70,0.039272
70,0.038824
70,0.039516
80,0.021316
80,0.021728
80,0.022107
80,0.022376
80,0.022435
80,0.021373
80,0.021415
80,0.021939
80,0.022419
80,0.022419
80,0.022583
80,0.022455
80,0.022839
80,0.02228
80,0.022498
80,0.022721
80,0.023189
80,0.023434
80,0.024647
80,0.025032
80,0.026314
80,0.027073
80,0.027073
80,0.027567
80,0.027567
80,0.027895
80,0.028674
80,0.028611
80,0.028888
80,0.028964
80,0.029968
80,0.030664
80,0.031356
80,0.029849
80,0.03001
80,0.032066
80,0.032651
80,0.032035
80,0.032713
80,0.03241
80,0.033527
80,0.03493
80,0.034645
80,0.034366
80,0.030553
80,0.030551
80,0.031312
80,0.0339
80,0.035158
90,0.019919
90,0.020546
90,0.02017
90,0.020399
90,0.020341
90,0.020545
90,0.020471
90,0.020201
90,0.020455
90,0.020455
90,0.020573
90,0.020292
90,0.020801
90,0.020405
90,0.020571
90,0.020742
90,0.021096
90,0.02128
90,0.022453
90,0.022749
90,0.023726
90,0.024661
90,0.024661
90,0.02505
90,0.02505
90,0.025383
90,0.025948
90,0.025936
90,0.026147
90,0.026715
90,0.027036
90,0.02762
90,0.028157
90,0.027537
90,0.027687
90,0.028732
90,0.02919
90,0.028749
90,0.029291
90,0.02905
90,0.029879
90,0.030989
90,0.030814
90,0.030647
90,0.028436
90,0.028555
90,0.029196
90,0.031091
90,0.03191
90,0.02885
90,0.03203
90,0.034776
90,0.030083
90,0.029344
90,0.035037
100,0.018203
100,0.018495
100,0.018445
100,0.018844
100,0.018901
100,0.018507
100,0.018188
100,0.018702
100,0.019085
100,0.018117
100,0.018196
100,0.018646
100,0.019088
100,0.018953
100,0.019083
100,0.019216
100,0.019492
100,0.019635
100,0.020749
100,0.020983
100,0.021747
100,0.022756
100,0.022756
100,0.023068
100,0.023068
100,0.023393
100,0.023808
100,0.023828
100,0.023992
100,0.024852
100,0.024735
100,0.02523
