# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
700,1,1251.0989,5642.4621,1253.538,2115855.6845,896813.6134,67447.5026,368,0.000591,0.0,0,1,1253.538
726,1,1471.4262,6327.5214,1476.4262,2295588.3171,940893.9547,75406.2792,382,0.000641,0.0,0,1,1476.4262
733,1,1214.5878,5602.2565,1216.9886,2331326.4195,952653.2394,76399.4075,385,0.000521,0.0,0,1,1216.9886
739,1,1634.8584,6823.1077,1638.3482,2372236.2119,963965.1827,76095.7044,389,0.000689,0.0,0,1,1638.3482
752,1,1246.0939,5904.0302,1249.0084,2467588.1759,993725.0222,70247.1203,394,0.000505,0.0,0,1,1249.0084
753,2,2522.6547,12015.6474,2526.9341,2465703.1333,991229.2034,73493.1606,393,0.001023,0.0,0,2,1319.4116
754,1,1402.5017,6233.9716,1403.0125,2454474.3277,987156.9646,76945.2704,392,0.000571,0.0,0,1,1403.0125
756,1,1220.625,5741.918,1223.7996,2461797.3747,990414.182,75880.6101,391,0.000496,0.0,0,1,1223.7996
763,1,1435.6017,6412.959,1437.9639,2507112.0192,1002687.8983,74589.2363,392,0.000573,0.0,0,1,1437.9639
769,2,2970.7102,13278.4072,2976.7693,2544958.0614,1016724.4956,69052.462,395,0.001167,0.0,0,2,1798.2722
772,1,1230.3622,6185.8397,1233.6168,2545367.751,1011337.8705,76695.0286,394,0.000483,0.0,0,1,1233.6168
774,1,1604.0996,7038.9683,1609.0996,2563291.9617,1019023.2202,71293.4913,395,0.000626,0.0,0,1,1609.0996
776,2,2884.9822,13377.7384,2890.2138,2567039.8861,1016210.6208,76272.8488,398,0.001124,0.0,0,2,1637.1742
777,1,1379.0359,6351.1312,1382.8524,2559001.7111,1015601.2005,75755.6846,396,0.000539,0.0,0,1,1382.8524
779,1,1226.3328,6196.8028,1229.6527,2566546.5746,1017302.3897,76278.6925,396,0.000478,0.0,0,1,1229.6527
782,1,1475.9305,6683.6809,1478.1209,2573113.1966,1016948.114,80518.2145,396,0.000574,0.0,0,1,1478.1209
783,1,1822.2209,7689.4445,1825.0134,2569622.7415,1016647.1957,80950.1931,397,0.000709,0.0,0,1,1825.0134
784,2,2995.0478,13727.2145,3000.1336,2565083.3952,1016345.971,80954.6713,396,0.001168,0.0,0,2,1522.6024
785,2,2756.276,13147.6792,2765.1768,2556753.0364,1017260.5647,78500.9003,394,0.001078,0.0,0,2,1430.6736
786,2,2799.9322,12873.9067,2805.6546,2552841.4921,1020136.0036,74307.0335,392,0.001097,0.0,0,2,1665.1851
787,1,1634.5967,7075.4616,1635.2728,2548144.1066,1020924.6375,72205.747,390,0.000641,0.0,0,1,1635.2728
788,1,1347.977,6353.6007,1352.977,2555384.8489,1025558.1276,67469.1741,389,0.000528,0.0,0,1,1352.977
789,2,2914.3956,13425.0001,2918.9666,2558929.1187,1025647.3059,67719.8354,389,0.001139,0.0,0,2,1604.1866
790,1,1532.2724,6840.9818,1534.0932,2550618.8737,1022034.8778,70138.8632,388,0.000601,0.0,0,1,1534.0932
792,2,2507.6427,12443.9441,2517.1373,2550972.7981,1016871.5263,77130.6538,388,0.000983,0.0,0,2,1275.777
794,2,2500.2121,12477.1142,2508.813,2546692.8693,1015335.8993,79295.5556,388,0.000982,0.0,0,2,1308.9679
795,1,1200.6968,6244.8988,1205.6726,2538789.0914,1015242.1564,78352.431,386,0.000473,0.0,0,1,1205.6726
797,3,4720.1893,21382.7274,4723.1233,2554397.2143,1024306.5683,71010.6392,386,0.001848,0.0,0,3,1491.1504
798,1,1181.973,6134.7152,1184.1522,2538434.8074,1021459.5699,70709.0228,384,0.000466,0.0,0,1,1184.1522
799,1,1733.3275,7600.2711,1733.848,2534936.4144,1017644.7907,74953.653,383,0.000684,0.0,0,1,1733.848
801,1,1326.5167,6450.6957,1330.7877,2543561.061,1020682.5678,73195.6134,382,0.000522,0.0,0,1,1330.7877
805,1,1996.4584,8403.6188,1997.957,2558725.5084,1021147.7086,77356.6524,385,0.00078,0.0,0,1,1997.957
806,2,2498.0495,12666.7868,2506.6446,2556073.6388,1021306.3301,76661.0366,384,0.000977,0.0,0,2,1307.6986
812,1,1230.2747,6225.619,1230.3651,2590808.899,1028867.0099,75514.7226,383,0.000475,0.0,0,1,1230.3651
813,1,1708.9379,7627.3258,1712.8546,2590223.2696,1028388.966,76285.4913,382,0.00066,0.0,0,1,1712.8546
817,1,1458.9068,6910.6891,1461.3681,2619285.1484,1037094.6432,71932.7116,382,0.000557,0.0,0,1,1461.3681
819,1,1515.6391,7229.5638,1520.3345,2621047.0759,1033749.8581,76974.5932,381,0.000578,0.0,0,1,1520.3345
821,2,2713.1363,13693.8338,2718.7315,2623572.2568,1033322.4874,78852.9926,381,0.001034,0.0,0,2,1491.3428
822,1,1365.6157,6825.4458,1367.943,2619161.8024,1035957.614,74902.2303,379,0.000521,0.0,0,1,1367.943
826,2,2484.3439,13216.4756,2488.0512,2630093.8297,1035443.9074,79510.1471,379,0.000945,0.0,0,2,1288.3719
830,2,2897.5218,14346.5173,2905.0604,2642596.2938,1038163.5362,79631.4905,379,0.001096,0.0,0,2,1531.2293
834,2,3266.7737,15379.8614,3274.7698,2641981.3579,1037625.8955,81880.7946,377,0.001236,0.0,0,2,1882.6548
835,1,1436.546,7357.5536,1439.7553,2635127.5789,1040425.2268,76811.6202,375,0.000545,0.0,0,1,1439.7553
839,1,1589.5456,7376.7093,1590.3252,2669076.2571,1047739.5516,73170.996,377,0.000596,0.0,0,1,1590.3252
845,1,1746.0044,8086.7099,1746.3441,2709470.8664,1050793.0761,77065.3498,377,0.000644,0.0,0,1,1746.3441
847,1,1548.8177,7614.5723,1551.3352,2716606.3461,1053821.2292,75029.4788,376,0.00057,0.0,0,1,1551.3352
848,2,2913.3694,14609.1071,2919.3544,2712233.3838,1051141.8599,77561.4288,375,0.001074,0.0,0,2,1665.8956
849,1,1809.6124,8256.5465,1814.6124,2697993.2118,1046894.231,80191.0612,373,0.000671,0.0,0,1,1814.6124
850,3,4463.1035,22493.6728,4469.9324,2694073.479,1046637.1498,79856.3119,373,0.001657,0.0,0,3,1523.4064
851,1,1268.353,6769.7048,1268.5464,2675819.5754,1045458.2938,77721.17,371,0.000474,0.0,0,1,1268.5464
852,4,5737.4373,29166.5539,5751.0168,2676621.7383,1046863.7606,76241.5496,371,0.002144,0.0,0,4,1390.7101
854,1,1311.8168,6864.4826,1316.8168,2650602.1373,1040142.2069,79473.0464,368,0.000495,0.0,0,1,1316.8168
857,1,1273.1365,7049.7544,1274.8431,2658138.8175,1041043.2981,80474.3516,369,0.000479,0.0,0,1,1274.8431
861,1,1354.5835,7077.466,1356.1571,2678565.4899,1045183.8108,79514.0899,371,0.000506,0.0,0,1,1356.1571
862,1,1540.4938,7855.2766,1545.4938,2677282.1973,1045803.2616,78600.182,370,0.000575,0.0,0,1,1545.4938
863,1,1648.5683,7955.1657,1649.0706,2679222.0345,1048873.5279,75050.8867,370,0.000615,0.0,0,1,1649.0706
864,2,3237.8588,16268.6934,3246.1322,2674037.3982,1045903.2463,77501.7426,369,0.001211,0.0,0,2,1849.7035
865,1,1725.6506,8413.144,1728.0883,2661223.6453,1043731.491,77465.9499,367,0.000648,0.0,0,1,1728.0883
866,1,1575.5149,8065.5608,1579.3429,2654838.4039,1041047.168,79435.4519,366,0.000593,0.0,0,1,1579.3429
870,1,1401.9891,7511.9679,1406.8287,2682913.3319,1050315.9195,72677.5838,368,0.000523,0.0,0,1,1406.8287
874,1,1545.4313,7922.4749,1545.8902,2691911.8781,1045333.3447,80770.2537,369,0.000574,0.0,0,1,1545.8902
875,1,1364.5425,7292.622,1364.5605,2685582.9298,1043372.7369,82212.2581,369,0.000508,0.0,0,1,1364.5605
879,1,1523.982,7904.6774,1528.2936,2700590.098,1047334.1417,80856.0897,369,0.000564,0.0,0,1,1528.2936
882,1,1458.3105,7638.5677,1460.9396,2719547.7645,1051746.7424,78187.4828,370,0.000536,0.0,0,1,1460.9396
883,2,3100.5455,16137.9848,3105.3608,2716831.6688,1051172.5162,78389.5752,371,0.001141,0.0,0,2,1646.1131
885,1,1298.4077,7272.5229,1303.1551,2709168.5272,1048934.3249,79705.7693,373,0.000479,0.0,0,1,1303.1551
890,1,1495.6502,7886.5934,1498.145,2737884.5291,1056358.9813,76463.9217,374,0.000546,0.0,0,1,1498.145
891,1,1425.5328,7482.791,1428.0226,2732934.5022,1053743.4439,78739.7224,373,0.000522,0.0,0,1,1428.0226
892,1,1444.5427,8035.6176,1444.603,2730308.4805,1053237.2337,78919.1393,373,0.000529,0.0,0,1,1444.603
898,1,1549.287,8166.4055,1549.8993,2750208.2567,1055326.3355,81345.0622,374,0.000563,0.0,0,1,1549.8993
899,1,1434.8836,7745.4758,1434.9421,2748658.527,1056827.0115,79222.097,374,0.000522,0.0,0,1,1434.9421
901,1,1523.9957,7784.7716,1525.7376,2766337.2129,1066297.9544,70339.3118,375,0.000551,0.0,0,1,1525.7376
903,1,1425.6685,7949.6908,1429.3771,2774001.8521,1065454.6635,72071.836,377,0.000514,0.0,0,1,1429.3771
906,1,1699.7355,8693.1532,1699.8807,2777119.122,1058483.7478,81555.86,382,0.000612,0.0,0,1,1699.8807
907,1,1542.6542,8313.6963,1547.6542,2772896.4051,1058356.8776,81180.6597,383,0.000556,0.0,0,1,1547.6542
909,1,1751.6085,8809.9269,1753.6958,2771574.1186,1057420.0524,82903.1489,382,0.000632,0.0,0,1,1753.6958
910,1,1711.9277,8567.1721,1713.248,2764221.496,1055593.6991,84078.4414,381,0.000619,0.0,0,1,1713.248
911,1,1554.3088,8171.2043,1556.4428,2757107.6577,1054133.7067,84861.2739,380,0.000564,0.0,0,1,1556.4428
914,2,3158.6823,16782.5952,3164.9139,2782728.1181,1069269.5263,71287.9986,383,0.001135,0.0,0,2,1717.0119
916,1,1470.6043,7963.6401,1470.7873,2781224.4743,1068444.7327,71456.3031,381,0.000529,0.0,0,1,1470.7873
919,2,3198.1181,16618.8946,3199.3128,2787898.202,1063011.5164,79302.2458,380,0.001147,0.0,0,2,1893.3874
922,1,1357.4548,7361.5756,1361.7702,2788926.2894,1064939.0687,77640.9929,381,0.000487,0.0,0,1,1361.7702
923,2,3398.6283,17427.9632,3403.0701,2790110.9234,1066349.0735,76094.3616,380,0.001218,0.0,0,2,2025.2542
926,1,1362.0246,7752.805,1366.5632,2788657.6714,1063491.65,79177.9823,378,0.000488,0.0,0,1,1366.5632
927,1,1426.2008,8042.5384,1428.9681,2784438.0927,1061901.7328,80590.7453,379,0.000512,0.0,0,1,1428.9681
929,1,1691.6696,8728.6777,1696.6696,2793972.1319,1067402.7505,75931.8107,379,0.000605,0.0,0,1,1696.6696
934,1,1450.2691,7819.6628,1453.0115,2808827.6338,1064835.7333,82648.4584,379,0.000516,0.0,0,1,1453.0115
935,1,1418.4613,7975.1532,1422.2727,2802409.9789,1062789.6901,84295.4196,379,0.000506,0.0,0,1,1422.2727
939,1,1396.548,7653.2019,1397.9992,2841076.2547,1077116.1258,73340.938,380,0.000492,0.0,0,1,1397.9992
