step,value
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,11.067107
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,20.176424
20,12.766546
20,11.067107
20,10.267949
20,9.521906
20,8.311026
20,7.963142
30,32.890792
30,31.913723
30,16.760282
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,30.029347
30,22.111534
30,20.176424
30,19.218148
30,18.266906
30,16.388736
30,15.46388
30,16.013079
30,14.822893
30,10.329272
40,35.233805
40,34.906483
40,10.768214
40,41.842406
40,41.842406
40,41.842406
40,41.842406
40,38.966368
40,38.966368
40,38.966368
40,38.966368
40,10.630104
40,32.037896
40,30.029347
40,29.028269
40,28.029733
40,26.041612
40,25.052735
40,24.25225
40,23.002815
40,19.19464
40,20.124377
40,20.124377
40,18.276039
40,18.276039
40,16.599442
40,9.100816
40,9.160119
50,38.19244
50,14.870452
50,14.110496
50,52.794257
50,52.205937
50,52.205937
50,52.205937
50,45.757265
50,45.757265
50,45.757265
50,42.133879
50,49.354797
50,42.139254
50,40.117515
50,39.106159
50,38.094752
50,36.072655
50,35.062419
50,32.951528
50,31.668133
50,27.734351
50,27.761733
50,27.761733
50,26.366366
50,26.366366
50,25.747702
50,23.348656
50,23.635528
50,22.971079
50,22.151744
50,17.693512
50,10.197252
60,33.999042
60,45.162745
60,44.733982
60,33.432021
60,33.274634
60,33.274634
60,33.274634
60,16.722198
60,57.947121
60,57.947121
60,43.330334
60,56.588099
60,52.181449
60,50.186242
60,49.18563
60,48.183203
60,46.173503
60,45.166545
60,41.831229
60,40.54546
60,36.585334
60,35.524423
60,35.524423
60,34.151113
60,34.151113
60,33.345684
60,31.161722
60,31.376366
60,30.729431
60,30.742279
60,27.99854
60,26.368786
60,24.248156
60,26.771152
60,25.745881
60,24.286014
60,15.474672
60,15.075302
60,14.323204
60,14.145997
70,21.987242
70,54.411718
70,61.710859
70,77.028393
70,76.687284
70,76.687284
70,76.687284
70,74.89362
70,74.278057
70,74.278057
70,39.875885
70,61.316676
70,62.004372
70,60.063242
70,59.087912
70,58.109538
70,56.144076
70,55.157207
70,50.693402
70,49.427199
70,45.515274
70,43.36535
70,43.36535
70,42.028439
70,42.028439
70,41.028017
70,38.992376
70,39.122351
70,38.484449
70,37.568634
70,35.772318
70,34.147361
70,32.493716
70,34.539648
70,34.017899
70,34.167635
70,27.884235
70,29.034963
70,28.023921
70,27.687412
70,26.966719
70,15.66702
70,17.082362
70,20.518364
70,9.719956
80,74.031079
80,79.885233
80,72.397844
80,88.898558
80,88.532271
80,88.532271
80,70.328175
80,80.582065
80,69.773243
80,69.773243
80,68.982248
80,65.365887
80,71.496915
80,69.628895
80,68.688921
80,67.745058
80,65.845953
80,64.890859
80,59.3975
80,58.166194
80,54.354416
80,51.147845
80,51.147845
80,49.860673
80,49.860673
80,48.676242
80,46.815852
80,46.85616
80,46.237976
80,44.326809
80,43.538846
80,41.865844
80,40.278285
80,41.352222
80,40.825744
80,40.953518
80,36.030545
80,36.931641
80,35.993475
80,35.72067
80,34.982864
80,33.274477
80,33.31097
80,32.7981
80,31.483388
80,27.980516
80,30.263439
80,26.335545
80,26.708068
90,85.95346
90,55.81717
90,83.418024
90,54.743744
90,54.527146
90,81.034814
90,55.373028
90,87.49522
90,80.073895
90,70.071503
90,54.328469
90,94.161128
90,80.583531
90,78.801353
90,77.903516
90,77.001236
90,75.183528
90,74.268196
90,67.843522
90,66.657697
90,62.981998
90,58.769749
90,58.769749
90,57.54097
90,57.54097
90,56.185626
90,54.517059
90,54.466302
90,53.875558
90,50.959097
90,51.208372
90,49.503943
90,47.991967
90,48.029636
90,47.49461
90,47.561816
90,44.137077
90,44.730193
90,43.893197
90,43.697228
90,42.821681
90,41.221835
90,41.251227
90,40.775858
90,39.471583
90,37.162757
90,40.646648
90,38.275019
90,38.681528
90,30.59475
90,28.463386
90,27.280149
90,28.501861
90,19.688485
90,22.768587
100,119.782555
100,121.400612
100,107.695765
100,115.976716
100,115.559921
100,104.37933
100,36.910185
100,110.535903
100,103.052794
100,36.814425
100,113.652134
100,103.933188
100,89.215402
100,87.527024
100,86.675621
100,85.819439
100,84.092841
100,83.222481
100,75.961605
100,74.828301
100,71.312776
100,66.15664
100,66.15664
100,64.991432
100,64.991432
100,63.479115
100,62.010504
100,61.869719
100,61.311694
100,57.404365
100,58.689993
100,56.968135
100,55.541
100,54.520496
100,53.979472
100,53.97396
100,52.128658
100,52.395779
100,51.675041
100,51.561435
100,50.54939
100,48.883922
100,48.92845
100,48.588946
100,47.139808
100,45.045601
100,47.46834
100,45.475849
100,45.790938
100,39.818871
100,39.406722
100,38.836286
100,41.409221
100,41.536767
100,40.686412
100,39.935154
100,36.902678
100,11.83592
110,119.164457
110,107.424927
110,105.147042
110,41.472304
110,102.234131
110,111.636739
110,89.819752
110,101.063049
110,102.006468
110,69.946405
110,101.678877
110,94.958338
110,97.364041
110,95.773787
110,94.97122
110,94.163705
110,92.533876
110,91.711587
110,83.704866
110,82.628431
110,79.288229
110,73.255714
110,73.255714
110,72.156682
110,72.156682
110,70.501498
110,69.23485
110,69.006733
110,68.48484
110,63.61775
110,65.917784
110,64.189604
110,62.852417
110,60.778468
110,60.233615
110,60.147126
110,59.910799
110,59.845959
110,59.250295
110,59.22132
110,58.077952
110,56.326105
110,56.388813
110,56.200675
110,54.603275
110,52.721683
110,53.963695
110,52.372335
110,52.585515
110,47.727897
110,47.343371
110,46.749606
110,48.729611
110,48.842367
110,48.135677
110,47.685974
110,46.892175
110,45.686326
110,26.825047
110,30.014593
110,26.988862
110,32.33551
110,35.147564
110,29.435079
110,28.140751
110,24.103679
110,15.192707
110,10.265443
120,119.863678
120,102.013483
120,44.276482
120,97.635649
120,135.803609
120,76.42197
120,135.996145
120,131.003142
120,43.809848
120,120.471347
120,95.462229
120,90.137288
120,76.483734
120,103.52585
120,102.773084
120,102.015328
120,100.484845
120,99.71212
120,91.044122
120,90.026853
120,86.870312
120,80.031151
120,80.031151
120,78.998992
120,78.998992
120,77.21477
120,76.147656
120,75.83602
120,75.352232
120,69.567777
120,72.84565
120,71.119883
120,69.87465
120,66.771002
120,66.224087
120,66.051268
120,67.415667
120,67.021213
120,66.554859
120,66.610483
120,65.342472
120,63.490574
120,63.573331
120,63.544786
120,61.800797
120,60.13569
120,60.149647
120,58.982576
120,59.088863
120,55.372233
120,54.985883
120,54.364181
120,55.66515
120,55.610692
120,55.129743
120,54.516554
120,53.696893
120,53.082672
120,46.181275
120,42.42621
120,46.452133
120,45.275626
120,45.310389
120,46.78305
120,41.685738
120,44.923951
120,40.494274
120,39.99856
120,44.471766
120,34.878501
120,34.459478
120,29.175198
120,11.991347
130,86.212626
130,111.183686
130,137.800284
130,46.774831
130,122.507403
130,134.071386
130,46.674001
130,105.335314
130,131.798531
