step,value
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,37.521942
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,94.927374
20,47.250306
20,37.521942
20,33.019703
20,28.7694
20,21.073183
20,17.668492
30,206.459834
30,204.64276
30,198.25848
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,170.933124
30,108.814025
30,94.927374
30,88.259915
30,81.783653
30,69.426717
30,63.557081
30,81.217456
30,73.466283
30,51.458581
40,315.653646
40,313.483489
40,302.239825
40,299.254682
40,299.254682
40,299.254682
40,299.254682
40,296.168952
40,296.168952
40,296.168952
40,296.168952
40,260.357066
40,187.899477
40,170.933124
40,162.647873
40,154.50112
40,138.643195
40,130.94224
40,142.508019
40,132.746373
40,104.255459
40,130.372526
40,130.372526
40,119.894289
40,119.894289
40,120.227431
40,54.116219
40,58.069753
50,446.271964
50,439.617035
50,429.102753
50,424.454246
50,423.364378
50,423.364378
50,423.364378
50,415.16395
50,415.16395
50,415.16395
50,413.770705
50,371.792919
50,279.443031
50,260.357066
50,250.945026
50,241.62575
50,223.2824
50,214.266986
50,216.438411
50,205.166689
50,171.596026
50,192.766381
50,192.766381
50,181.02554
50,181.02554
50,179.903195
50,158.569808
50,162.756955
50,157.18934
50,188.093031
50,137.738323
50,127.211982
60,604.216407
60,596.925404
60,582.004001
60,570.618539
60,568.006824
60,568.006824
60,568.006824
60,555.723366
60,555.723366
60,555.723366
60,553.081719
60,498.114849
60,379.118279
60,358.713061
60,348.586644
60,338.515424
60,318.552248
60,308.667321
60,299.616146
60,287.3033
60,250.158952
60,263.533754
60,263.533754
60,250.913979
60,250.913979
60,247.867011
60,225.467088
60,229.406749
60,223.245977
60,249.295673
60,201.662236
60,189.921797
60,175.450968
60,225.555804
60,221.709052
60,226.484182
60,129.424251
60,146.963233
60,136.255468
60,131.516845
70,784.596492
70,775.08969
70,756.16897
70,736.894255
70,733.587672
70,733.587672
70,733.587672
70,721.783318
70,721.120144
70,721.120144
70,711.575757
70,640.03286
70,483.400514
70,462.31921
70,451.811293
70,441.328655
70,420.449984
70,410.059504
70,388.969617
70,376.018568
70,336.613735
70,340.323029
70,340.323029
70,327.204228
70,327.204228
70,322.052655
70,299.459909
70,302.88492
70,296.351742
70,314.980964
70,272.938194
70,259.574789
70,244.215784
70,290.156705
70,285.957563
70,290.968462
70,195.56872
70,213.413162
70,201.904377
70,197.037286
70,195.877675
70,109.80252
70,109.226985
70,178.74559
70,95.392218
80,995.258483
80,978.139204
80,949.952883
80,922.291873
80,918.299162
80,918.299162
80,918.900886
80,899.078738
80,899.957813
80,899.957813
80,894.538811
80,798.094528
80,589.499745
80,568.246358
80,557.618692
80,546.99303
80,525.756015
80,515.148952
80,481.884456
80,468.626494
80,428.04924
80,420.993126
80,420.993126
80,407.687691
80,407.687691
80,400.361831
80,378.285057
80,380.998996
80,374.287103
80,383.748706
80,349.56231
80,334.853276
80,319.040841
80,358.068669
80,353.527399
80,358.336002
80,269.554799
80,286.326847
80,274.619062
80,269.961356
80,267.436533
80,260.943666
80,260.204174
80,249.940954
80,245.617741
80,221.070234
80,297.050567
80,260.268466
80,267.812457
90,1222.764327
90,1199.262778
90,1162.607824
90,1123.217192
90,1118.561795
90,1118.565092
90,1119.33652
90,1092.397969
90,1099.081588
90,1096.56427
90,1089.270198
90,965.598438
90,695.257943
90,674.218658
90,663.672483
90,653.110609
90,631.946007
90,621.346517
90,576.21751
90,562.916788
90,522.039368
90,503.703515
90,503.703515
90,490.458566
90,490.458566
90,480.968312
90,459.949855
90,461.817762
90,455.087582
90,454.209693
90,429.489521
90,413.700878
90,397.820771
90,427.916484
90,423.087102
90,427.442489
90,349.312378
90,364.071995
90,352.650509
90,348.456443
90,344.383395
90,337.017764
90,336.344073
90,326.51026
90,320.511369
90,295.974083
90,367.563974
90,331.898344
90,339.106792
90,247.66726
90,245.482323
90,241.812438
90,291.6306
90,302.139288
90,284.294833
100,1478.929924
100,1441.269216
100,1397.88937
100,1342.918364
100,1337.606489
100,1343.727912
100,1334.874
100,1310.486954
100,1320.289056
100,1304.224225
100,1299.056948
100,1149.943157
100,799.044004
100,778.507661
100,768.194075
100,757.851663
100,737.084925
100,726.662979
100,670.261222
100,657.122854
100,616.625826
100,586.926861
100,586.926861
100,573.93162
100,573.93162
100,562.342711
100,542.779563
100,543.717029
100,537.096881
100,525.182889
100,510.982774
100,494.352771
100,478.705157
100,498.462475
