step,value
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.838305
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.840126
20,0.83563
20,0.838305
20,0.84046
20,0.842822
20,0.84288
20,0.832292
30,0.731615
30,0.724659
30,0.763999
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.853572
30,0.842745
30,0.840126
30,0.838906
30,0.83778
30,0.83596
30,0.835362
30,0.8644
30,0.866294
30,0.896436
40,0.675249
40,0.669206
40,0.712561
40,0.750771
40,0.750771
40,0.750771
40,0.750771
40,0.748934
40,0.748934
40,0.748934
40,0.748934
40,0.816579
40,0.856104
40,0.853572
40,0.852268
40,0.850941
40,0.848232
40,0.846858
40,0.864904
40,0.864382
40,0.863848
40,0.883991
40,0.883991
40,0.889269
40,0.889269
40,0.903521
40,0.924222
40,0.92836
50,0.636967
50,0.676518
50,0.657674
50,0.689903
50,0.687549
50,0.687549
50,0.687549
50,0.682129
50,0.682129
50,0.682129
50,0.687264
50,0.767398
50,0.867095
50,0.865118
50,0.864089
50,0.863033
50,0.860837
50,0.859696
50,0.870857
50,0.870017
50,0.867512
50,0.881921
50,0.881921
50,0.88197
50,0.88197
50,0.884673
50,0.884287
50,0.885501
50,0.885672
50,0.908812
50,0.907843
50,0.959145
60,0.54741
60,0.563705
60,0.583965
60,0.59061
60,0.590432
60,0.590432
60,0.590432
60,0.601817
60,0.63361
60,0.63361
60,0.611487
60,0.700764
60,0.87555
60,0.874032
60,0.873243
60,0.872434
60,0.870748
60,0.869871
60,0.877072
60,0.876279
60,0.873739
60,0.884173
60,0.884173
60,0.88382
60,0.88382
60,0.885642
60,0.883967
60,0.885024
60,0.884749
60,0.89674
60,0.885955
60,0.887486
60,0.890293
60,0.903478
60,0.906427
60,0.914846
60,0.919067
60,0.931443
60,0.931576
60,0.930458
70,0.560473
70,0.549696
70,0.556959
70,0.623824
70,0.623698
70,0.623698
70,0.623698
70,0.612833
70,0.608331
70,0.608331
70,0.59733
70,0.655274
70,0.882076
70,0.880898
70,0.880286
70,0.87966
70,0.878359
70,0.877683
70,0.882527
70,0.881848
70,0.879639
70,0.887268
70,0.887268
70,0.886834
70,0.886834
70,0.88813
70,0.886488
70,0.887342
70,0.887011
70,0.896601
70,0.887255
70,0.887711
70,0.88742
70,0.898194
70,0.898524
70,0.899757
70,0.882986
70,0.887378
70,0.885966
70,0.884857
70,0.887855
70,0.902853
70,0.889383
70,0.913182
70,0.950521
80,0.512021
80,0.527438
80,0.542874
80,0.599607
80,0.599522
80,0.599522
80,0.547014
80,0.590245
80,0.564176
80,0.564176
80,0.555181
80,0.621226
80,0.887198
80,0.886266
80,0.885784
80,0.885291
80,0.88427
80,0.883741
80,0.887115
80,0.886549
80,0.884699
80,0.890383
80,0.890383
80,0.889963
80,0.889963
80,0.890908
80,0.889459
80,0.890141
80,0.889823
80,0.897519
80,0.889751
80,0.889904
80,0.889424
80,0.898477
80,0.898662
80,0.899665
80,0.884882
80,0.888478
80,0.88714
80,0.886203
80,0.887888
80,0.891645
80,0.891197
80,0.888781
80,0.892176
80,0.896049
80,0.914952
80,0.918025
80,0.918943
90,0.50708
90,0.496522
90,0.530373
