step,value
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,31.454835
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,79.75095
20,39.48376
20,31.454835
20,27.751754
20,24.247494
20,17.762157
20,14.70535
30,151.049043
30,148.296142
30,151.469269
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,145.903777
30,91.702491
30,79.75095
30,74.041767
30,68.516747
30,58.037981
30,53.093201
30,70.204377
30,63.64339
30,46.129309
40,213.144893
40,209.785084
40,215.364275
40,224.671851
40,224.671851
40,224.671851
40,224.671851
40,221.811047
40,221.811047
40,221.811047
40,221.811047
40,212.602089
40,160.861582
40,145.903777
40,138.619604
40,131.471387
40,117.601583
40,110.889504
40,123.255769
40,114.743558
40,90.060819
40,115.24815
40,115.24815
40,106.61825
40,106.61825
40,108.627989
40,50.015403
40,53.909634
50,284.260542
50,297.409033
50,282.209915
50,292.83219
50,291.083633
50,291.083633
50,291.083633
50,283.195365
50,283.195365
50,283.195365
50,284.369615
50,285.313251
50,242.303778
50,225.239551
50,216.838867
50,208.530998
50,192.209745
50,184.204566
50,188.486883
50,178.498556
50,148.861675
50,170.004648
50,170.004648
50,159.659174
50,159.659174
50,159.155494
50,140.221152
50,144.121427
50,139.218261
50,170.941286
50,125.044812
50,122.01473
60,330.753829
60,336.489777
60,339.870116
60,337.013082
60,335.36933
60,335.36933
60,335.36933
60,334.443957
60,352.111781
60,352.111781
60,338.20254
60,349.060961
60,331.93683
60,313.526819
60,304.401014
60,295.332222
60,277.378745
60,268.500776
60,262.784918
60,251.757839
60,218.573617
60,233.00933
60,233.00933
60,221.762866
60,221.762866
60,219.521327
60,199.305366
60,203.030383
60,197.516546
60,223.553393
60,178.663697
60,168.553011
60,156.202813
60,203.784651
60,200.963172
60,207.198169
60,118.949579
60,136.887931
60,126.932264
60,122.370848
70,439.744842
70,426.064081
70,421.15501
70,459.692425
70,457.537528
70,457.537528
70,457.537528
70,442.332487
70,438.679507
70,438.679507
70,425.045504
70,419.396656
70,426.396142
70,407.255969
70,397.723381
70,388.219116
70,369.305907
70,359.902297
70,343.276215
70,331.591368
70,296.098461
70,301.957678
70,301.957678
70,290.175789
70,290.175789
70,286.024638
70,265.467533
70,268.762569
70,262.867293
70,282.41233
70,242.165875
70,230.427428
70,216.722068
70,260.617056
70,256.939664
70,261.800827
70,172.684485
70,189.378199
70,178.880456
70,174.349874
70,173.910956
70,99.1355
70,97.144623
70,163.227226
70,90.672262
80,509.593731
80,515.907735
80,515.704324
80,553.012796
80,550.540763
80,550.540763
80,502.651467
80,530.676912
80,507.73438
80,507.73438
80,496.630837
80,495.797183
80,523.002829
80,503.617463
80,493.929771
80,484.247972
80,464.910062
80,455.258093
80,427.486957
80,415.460299
80,378.694824
80,374.845281
80,374.845281
80,362.827019
80,362.827019
80,356.685589
80,336.469205
80,339.142835
80,333.049128
80,344.421897
80,311.023464
80,297.987432
80,283.762556
80,321.716447
80,317.701655
80,322.382484
80,238.524254
80,254.395206
80,243.625586
80,239.240686
80,237.453669
80,232.669189
80,231.893204
80,222.142854
80,219.134353
80,198.089718
80,271.787127
80,238.932921
80,246.104389
90,620.039849
90,595.46081
90,616.615766
90,603.256935
90,600.66809
90,605.447914
90,617.358233
90,622.242642
90,600.723487
90,606.681784
90,607.667864
90,634.505852
90,619.674412
90,600.417305
90,590.768967
