step,value
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.351841
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.252993
20,0.323337
20,0.351841
20,0.369993
20,0.392696
20,0.467906
20,0.541513
30,0.217749
30,0.215203
30,0.110651
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.205816
30,0.241122
30,0.252993
30,0.259558
30,0.266605
30,0.28238
30,0.291259
30,0.228092
30,0.232905
30,0.22392
40,0.165304
40,0.166392
40,0.05
40,0.186238
40,0.186238
40,0.186238
40,0.186238
40,0.175674
40,0.175674
40,0.175674
40,0.175674
40,0.05
40,0.199164
40,0.205816
40,0.20941
40,0.2132
40,0.221439
40,0.225925
40,0.196764
40,0.200472
40,0.21313
40,0.174618
40,0.174618
40,0.171416
40,0.171416
40,0.15281
40,0.18196
40,0.169916
50,0.134357
50,0.05
50,0.05
50,0.180288
50,0.17935
50,0.17935
50,0.17935
50,0.161575
50,0.161575
50,0.161575
50,0.148166
50,0.172985
50,0.173911
50,0.17811
50,0.180347
50,0.182681
50,0.187673
50,0.190345
50,0.174821
50,0.177414
50,0.18631
50,0.1633
50,0.1633
50,0.165142
50,0.165142
50,0.161777
50,0.166513
50,0.163997
50,0.165
50,0.129587
50,0.141497
50,0.083574
60,0.102793
60,0.134217
60,0.131621
60,0.099201
60,0.099218
60,0.099218
60,0.099218
60,0.05
60,0.16457
60,0.16457
60,0.128119
60,0.162115
60,0.157203
60,0.16007
60,0.161582
60,0.163149
60,0.166464
60,0.168218
60,0.159184
60,0.161049
60,0.167382
60,0.152459
60,0.152459
60,0.153998
60,0.153998
60,0.151902
60,0.156352
60,0.15454
60,0.155579
60,0.137516
60,0.156711
60,0.156442
60,0.155235
60,0.13137
60,0.128112
60,0.117212
60,0.130094
60,0.110129
60,0.112841
60,0.115599
70,0.05
70,0.127708
70,0.146528
70,0.167565
70,0.167609
70,0.167609
70,0.167609
70,0.169315
70,0.169322
70,0.169322
70,0.093816
70,0.146202
70,0.145415
70,0.147483
70,0.148565
70,0.149682
70,0.152026
70,0.153256
70,0.147675
70,0.149061
70,0.153717
70,0.143614
70,0.143614
70,0.144838
70,0.144838
70,0.143442
70,0.146882
70,0.145565
70,0.146403
70,0.133028
70,0.147718
70,0.148191
70,0.149933
70,0.13253
70,0.132396
70,0.13051
70,0.161475
70,0.153317
70,0.156663
70,0.158804
70,0.15506
70,0.158036
70,0.175845
70,0.125704
70,0.107199
80,0.145275
80,0.154844
80,0.140386
80,0.160753
80,0.16081
80,0.16081
80,0.139914
80,0.151848
80,0.137421
80,0.137421
80,0.1389
80,0.13184
80,0.136705
80,0.138258
80,0.139066
80,0.139897
80,0.141632
80,0.142536
80,0.138946
80,0.140004
80,0.143531
80,0.136451
80,0.136451
80,0.137423
80,0.137423
80,0.136468
80,0.139139
80,0.138161
80,0.138832
80,0.128699
80,0.139986
80,0.140495
80,0.141944
80,0.128536
80,0.128503
80,0.127034
80,0.151056
80,0.145174
80,0.147741
80,0.149309
80,0.147325
80,0.143012
80,0.143648
80,0.147644
80,0.143672
80,0.141252
80,0.11135
80,0.110222
80,0.108523
90,0.138626
90,0.093738
90,0.135284
90,0.090747
90,0.090777
90,0.133843
90,0.089694
90,0.140613
90,0.133296
90,0.1155
90,0.089405
90,0.148401
90,0.130042
90,0.131244
90,0.131868
90,0.132507
90,0.133835
90,0.134525
90,0.132152
90,0.132981
90,0.13572
90,0.130619
90,0.130619
90,0.131397
90,0.131397
90,0.13073
90,0.132828
90,0.132087
90,0.132629
90,0.124823
90,0.133605
90,0.134085
90,0.135254
90,0.124789
90,0.124791
90,0.123575
90,0.142297
90,0.137911
90,0.139895
90,0.141068
90,0.139684
90,0.137043
90,0.137462
90,0.140251
90,0.137993
90,0.140869
90,0.12246
90,0.128172
90,0.126648
90,0.137769
90,0.128203
90,0.124265
90,0.106299
90,0.068493
90,0.085427
100,0.161383
100,0.157278
100,0.149763
100,0.152255
100,0.152317
100,0.148575
100,0.05
100,0.152986
100,0.148123
100,0.05
100,0.149911
100,0.144979
100,0.124807
100,0.125761
100,0.126254
100,0.126758
100,0.127802
100,0.128343
