step,value
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.089151
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.055989
20,0.079572
20,0.089151
20,0.094913
20,0.10154
20,0.118638
20,0.130386
30,0.040683
30,0.041059
30,0.040626
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.041394
30,0.052213
30,0.055989
30,0.058107
30,0.060405
30,0.065632
30,0.06862
30,0.059674
30,0.062675
30,0.073618
40,0.034248
40,0.034521
40,0.034071
40,0.033358
40,0.033358
40,0.033358
40,0.033358
40,0.033572
40,0.033572
40,0.033572
40,0.033572
40,0.034291
40,0.039422
40,0.041394
40,0.042468
40,0.043607
40,0.046107
40,0.047482
40,0.045037
40,0.046677
40,0.052687
40,0.046575
40,0.046575
40,0.048423
40,0.048423
40,0.047973
40,0.0707
40,0.068098
50,0.029656
50,0.028993
50,0.029763
50,0.029219
50,0.029306
50,0.029306
50,0.029306
50,0.029712
50,0.029712
50,0.029712
50,0.02965
50,0.029601
50,0.032121
50,0.033316
50,0.033955
50,0.034625
50,0.036065
50,0.03684
50,0.036419
50,0.037424
50,0.040981
50,0.038348
50,0.038348
50,0.039571
50,0.039571
50,0.039633
50,0.042224
50,0.041649
50,0.042376
50,0.038243
50,0.044713
50,0.045265
60,0.027493
60,0.027257
60,0.027121
60,0.027236
60,0.027303
60,0.027303
60,0.027303
60,0.027341
60,0.026646
60,0.026646
60,0.027188
60,0.026762
60,0.027444
60,0.028238
60,0.028658
60,0.029095
60,0.030022
60,0.030514
60,0.030844
60,0.031512
60,0.03382
60,0.032755
60,0.032755
60,0.033576
60,0.033576
60,0.033747
60,0.035417
60,0.03509
60,0.035577
60,0.033441
60,0.037407
60,0.038513
60,0.040006
60,0.035025
60,0.035271
60,0.034736
60,0.045845
60,0.042735
60,0.04438
60,0.045199
70,0.023843
70,0.024223
70,0.024364
70,0.02332
70,0.023375
70,0.023375
70,0.023375
70,0.023774
70,0.023872
70,0.023872
70,0.024252
70,0.024415
70,0.024214
70,0.024776
70,0.025071
70,0.025376
70,0.026018
70,0.026356
70,0.026987
70,0.027458
70,0.029057
70,0.028774
70,0.028774
70,0.029352
70,0.029352
70,0.029564
70,0.030688
70,0.030499
70,0.030839
70,0.029753
70,0.03213
70,0.032938
70,0.033964
70,0.030972
70,0.031193
70,0.030902
70,0.038049
70,0.036333
70,0.037384
70,0.037867
70,0.037915
70,0.050218
70,0.05073
70,0.039136
70,0.052509
80,0.022149
80,0.022013
80,0.022018
80,0.021262
80,0.02131
80,0.02131
80,0.022302
80,0.021705
80,0.02219
80,0.02219
80,0.022436
80,0.022455
80,0.021863
80,0.02228
80,0.022498
80,0.022721
80,0.023189
80,0.023434
80,0.024183
80,0.02453
80,0.025694
80,0.025825
80,0.025825
80,0.026249
80,0.026249
80,0.026474
80,0.027258
80,0.027151
80,0.027398
80,0.026942
80,0.028351
80,0.028965
80,0.029682
80,0.027876
80,0.028052
80,0.027847
80,0.032375
80,0.031348
80,0.032034
80,0.032326
80,0.032447
80,0.032779
80,0.032834
80,0.033547
80,0.033777
80,0.035525
80,0.030329
80,0.032347
80,0.031872
90,0.02008
90,0.02049
90,0.020136
90,0.020357
90,0.020401
90,0.02032
90,0.020123
90,0.020044
90,0.0204
90,0.0203
90,0.020283
90,0.01985
90,0.020086
90,0.020405
90,0.020571
90,0.020742
90,0.021096
90,0.02128
90,0.022067
90,0.022333
90,0.02321
90,0.023572
90,0.023572
90,0.023893
90,0.023893
90,0.024118
90,0.02468
90,0.024623
90,0.024808
90,0.024746
90,0.025539
90,0.026022
90,0.026544
90,0.025486
90,0.025629
90,0.025486
90,0.02839
90,0.027763
90,0.028228
90,0.028409
90,0.028557
90,0.028829
90,0.028863
90,0.029324
90,0.029564
90,0.030784
90,0.027444
90,0.028934
90,0.02861
90,0.033552
90,0.033556
90,0.033746
90,0.030535
90,0.029491
90,0.030627
100,0.018353
100,0.017997
100,0.018645
100,0.018116
100,0.018153
100,0.018864
100,0.018403
100,0.018601
100,0.018956
100,0.018427
100,0.018159
100,0.018674
100,0.018701
100,0.018953
100,0.019083
100,0.019216
100,0.019492
100,0.019635
100,0.020424
100,0.020632
100,0.021314
100,0.021806
100,0.021806
100,0.022055
100,0.022055
100,0.022275
100,0.022686
100,0.022661
100,0.022803
100,0.022995
100,0.023382
100,0.023772
