# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,,1,200
2,0,,1,200
3,0,,1,200
4,0,,1,200
5,0,,1,200
6,0,,1,200
7,0,,1,200
8,0,,1,200
9,0,,1,200
10,0,,1,200
96,150,1181,0,185
104,155,789,0,184
137,227,789,0,177
149,251,835,0,174
153,257,847,0,174
168,274,821,0,172
171,277,852,0,172
263,461,1109,0,153
276,482,1164,0,151
281,493,1081,0,150
304,538,1275,0,146
360,680,1441,0,132
364,684,1327,0,131
367,695,1389,0,130
371,707,1423,0,129
443,856,1514,0,114
487,921,1571,0,107
507,968,1623,0,103
595,1161,1926,0,83
603,1190,1790,0,81
643,1278,1978,0,72
695,1379,1849,0,62
711,1424,1943,0,57
719,1433,,1,56
742,1469,,1,53
815,1598,,1,40
859,1675,,1,32
865,1697,,1,30
924,1797,,1,20
933,1810,,1,19
957,1873,,1,12
