# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,93.7464,93.1584,0.0,0.710713,0.993727,0.0,0.0,0,0.0
1,11,0,0,160.7369,128.4066,87.3304,0.0,0.798862,0.680108,0.0,0.0,0,0.0
2,11,0,0,194.3534,161.7589,87.5946,0.0,0.832292,0.541513,0.0,0.0,0,0.0
3,12,0,0,243.7964,203.9061,99.8902,0.0,0.836379,0.489883,0.0,0.0,0,0.0
4,12,0,0,287.2139,241.8683,105.3455,0.0,0.842119,0.435549,0.0,0.0,0,0.0
5,12,0,0,334.1319,281.4278,112.7041,0.0,0.842266,0.400473,0.0,0.0,0,0.0
6,12,0,0,384.2899,323.0314,121.2585,0.0,0.840593,0.375377,0.0,0.0,0,0.0
7,12,0,0,437.5233,366.93,130.5933,0.0,0.838652,0.355908,0.0,0.0,0,0.0
8,12,0,0,493.7151,413.2567,140.4585,0.0,0.837035,0.339882,0.0,0.0,0,0.0
9,12,0,0,552.7731,462.0731,150.7,0.0,0.835918,0.326139,0.0,0.0,0,0.0
10,12,0,0,614.6176,513.397,161.2206,0.0,0.835311,0.314027,0.0,0.0,0,0.0
11,13,0,0,691.1671,575.7405,180.4266,0.0,0.832998,0.313382,0.0,0.0,0,0.0
12,13,0,0,760.9906,635.1823,190.8084,0.0,0.834678,0.300399,0.0,0.0,0,0.0
13,14,0,0,845.817,705.4585,210.3585,0.0,0.834056,0.298187,0.0,0.0,0,0.0
14,15,0,0,936.1226,781.2951,229.8276,0.0,0.834608,0.294162,0.0,0.0,0,0.0
15,16,0,0,1032.2315,862.6053,249.6262,0.0,0.83567,0.289386,0.0,0.0,0,0.0
16,16,0,0,1122.4093,940.8857,261.5236,0.0,0.838273,0.277955,0.0,0.0,0,0.0
17,17,0,0,1228.2399,1030.1096,283.1303,0.0,0.838688,0.274855,0.0,0.0,0,0.0
18,18,0,0,1340.1201,1125.1381,304.982,0.0,0.83958,0.271062,0.0,0.0,0,0.0
19,18,0,0,1446.334,1217.4384,318.8956,0.0,0.841741,0.26194,0.0,0.0,0,0.0
20,18,0,0,1556.4764,1312.4423,334.0341,0.0,0.843214,0.254513,0.0,0.0,0,0.0
21,19,1,0,1709.822,1437.7423,339.5597,27.52,0.840873,0.236176,0.016095,1.0,0,0.0
22,19,1,0,1832.6629,1536.6893,363.4536,27.52,0.838501,0.236517,0.015016,1.0,0,0.0
23,20,2,0,2000.2215,1669.6348,373.6339,56.9529,0.834725,0.223782,0.028473,0.500564,0,0.0
24,20,2,0,2135.3038,1776.0875,402.2634,56.9529,0.831773,0.226489,0.026672,0.500564,0,0.0
25,20,2,0,2273.5397,1889.0161,427.5707,56.9529,0.83087,0.226346,0.02505,0.500564,0,0.0
26,20,2,0,2414.9958,2007.258,450.7848,56.9529,0.831164,0.224577,0.023583,0.500564,0,0.0
27,20,2,0,2559.6777,2130.0347,472.6901,56.9529,0.83215,0.221917,0.02225,0.500564,0,0.0
28,20,2,0,2707.5517,2256.8131,493.7857,56.9529,0.833525,0.218798,0.021035,0.500564,0,0.0
29,21,3,0,2905.5796,2419.7352,498.8626,91.9818,0.832789,0.206164,0.031657,0.336933,0,0.0
30,21,3,0,3065.7729,2550.0478,528.7433,91.9818,0.83178,0.207346,0.030003,0.336933,0,0.0
31,21,3,0,3228.7967,2686.4277,555.3872,91.9818,0.832021,0.206738,0.028488,0.336933,0,0.0
32,23,7,0,3569.6356,2948.1955,493.4965,242.9435,0.825909,0.167389,0.068058,0.144829,0,0.0
33,23,7,0,3755.6016,3070.6164,557.0417,242.9435,0.81761,0.18141,0.064688,0.144829,0,0.0
34,23,7,0,3943.3001,3209.0909,606.2656,242.9435,0.813808,0.188921,0.061609,0.144829,0,0.0
35,25,11,0,4318.7369,3486.7169,552.5104,404.5097,0.807346,0.158461,0.093664,0.092123,0,0.0
36,26,11,0,4540.926,3628.3739,638.0424,404.5097,0.799038,0.175848,0.089081,0.092123,0,0.0
37,26,13,0,4844.3107,3845.4093,635.2777,493.6236,0.793799,0.165204,0.101898,0.078159,0,0.0
38,26,13,0,5067.4385,3997.5843,706.2305,493.6236,0.788877,0.176664,0.097411,0.078159,0,0.0
39,26,13,0,5292.2701,4167.1566,761.4899,493.6236,0.787404,0.182736,0.093273,0.078159,0,0.0
40,28,15,0,5631.4525,4426.5213,763.1042,581.8269,0.786035,0.172394,0.103317,0.067772,0,0.0
