# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,8.5224,0.0,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224
0,actif_liquide,11,8.4689,0.0,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.9937,0.0,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937
0,taux_interne,11,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
0,levier_entite,11,0.7107,0.0,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107
10,passif_total,12,42.7831,3.4156,31.4548,43.8129,43.8129,43.8129,43.8129,43.8129,43.8129,43.8129
10,actif_liquide,12,13.4351,0.714,11.0671,13.6503,13.6503,13.6503,13.6503,13.6503,13.6503,13.6503
10,actif_total,12,51.2181,4.1296,37.5219,52.4632,52.4632,52.4632,52.4632,52.4632,52.4632,52.4632
10,ratio_L_P,12,0.3149,0.0111,0.3116,0.3116,0.3116,0.3116,0.3116,0.3116,0.3474,0.3518
10,taux_interne,12,0.0767,0.0038,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0877,0.0892
10,levier_entite,12,0.8354,0.0009,0.8351,0.8351,0.8351,0.8351,0.8351,0.8351,0.838,0.8383
20,passif_total,18,72.9135,33.8361,14.7054,22.3019,33.4621,97.9351,97.9351,97.9351,97.9351,97.9351
20,actif_liquide,18,18.5574,6.1714,7.9631,9.1586,11.492,23.0873,23.0873,23.0873,23.0873,23.0873
20,actif_total,18,86.4709,40.0063,17.6685,26.4605,39.954,116.0224,116.0224,116.0224,116.0224,116.0224
20,ratio_L_P,18,0.2941,0.0914,0.2357,0.2357,0.2357,0.2357,0.3447,0.4153,0.529,0.5415
20,taux_interne,18,0.0681,0.0262,0.0505,0.0505,0.0505,0.0505,0.0868,0.1067,0.1284,0.1304
20,levier_entite,18,0.8421,0.0034,0.8323,0.8375,0.8411,0.8441,0.8441,0.8441,0.8441,0.8441
30,passif_total,21,121.4308,48.2223,46.1293,58.038,70.2044,148.2961,168.5262,168.5262,168.5262,168.5262
30,actif_liquide,21,25.1783,8.1514,10.3293,15.4639,16.7603,30.0293,33.0448,33.0448,33.0448,33.0448
30,actif_total,21,145.9892,59.1252,51.4586,69.4267,81.7837,196.5709,196.5709,198.2585,206.0964,206.4598
30,ratio_L_P,21,0.2189,0.0386,0.1107,0.1961,0.1961,0.2152,0.2411,0.2666,0.2895,0.2913
30,taux_interne,21,0.049,0.0119,0.0385,0.0385,0.0385,0.0411,0.0597,0.0656,0.0726,0.0736
30,levier_entite,21,0.8376,0.0424,0.7247,0.764,0.8378,0.8573,0.8573,0.8644,0.8904,0.8964
40,passif_total,28,158.09,57.542,50.0154,101.651,113.78,142.2617,221.811,224.6719,224.6719,224.6719
40,actif_liquide,28,27.2537,10.7511,9.1008,10.7268,18.965,27.0357,38.9664,41.8424,41.8424,41.8424
40,actif_total,28,201.1233,88.0382,54.1162,115.2026,130.3725,166.7905,296.9404,300.1502,315.0677,315.6536
40,ratio_L_P,28,0.1772,0.0396,0.05,0.1616,0.1714,0.1788,0.1995,0.2132,0.2247,0.2259
40,taux_interne,28,0.0424,0.0098,0.0334,0.0334,0.0336,0.0419,0.0469,0.0497,0.07,0.0707
40,levier_entite,28,0.817,0.0741,0.6692,0.738,0.7503,0.8496,0.8697,0.8935,0.9272,0.9284
50,passif_total,32,215.4516,61.3226,122.0147,140.6112,159.6592,200.3704,283.4617,291.0836,295.9902,297.409
50,actif_liquide,32,33.8217,12.0129,10.1973,18.1393,25.2197,34.007,43.0438,51.9208,52.6119,52.7943
50,actif_total,32,280.0863,113.3409,127.212,158.9885,181.0255,232.4541,415.164,424.3453,444.2089,446.272
50,ratio_L_P,32,0.1581,0.0346,0.05,0.1301,0.1616,0.1651,0.1794,0.1824,0.1895,0.1903
50,taux_interne,32,0.0352,0.0052,0.029,0.0293,0.0297,0.0353,0.0396,0.0422,0.0451,0.0453
50,levier_entite,32,0.808,0.0982,0.637,0.6821,0.6875,0.8646,0.882,0.8857,0.9435,0.9591
60,passif_total,40,254.3334,73.1397,118.9496,154.2713,202.5136,242.3836,334.6753,338.3693,352.1118,352.1118
60,actif_liquide,40,35.2717,11.7856,14.146,16.5974,27.6917,33.7155,44.8412,50.3858,57.9471,57.9471
60,actif_total,40,341.3626,157.1551,129.4243,172.6022,225.5336,275.4185,553.7421,568.268,601.3729,604.2164
60,ratio_L_P,40,0.1395,0.0266,0.05,0.0992,0.1254,0.1532,0.1594,0.1646,0.1679,0.1682
60,taux_interne,40,0.0325,0.0054,0.0266,0.0272,0.0273,0.0321,0.0351,0.0403,0.0456,0.0458
