step,volume_joules,nb_entites,ratio_destruction
700,1251.0989,1,0.000591
726,1471.4262,1,0.000641
733,1214.5878,1,0.000521
739,1634.8584,1,0.000689
752,1246.0939,1,0.000505
753,2522.6547,2,0.001023
754,1402.5017,1,0.000571
756,1220.625,1,0.000496
763,1435.6017,1,0.000573
769,2970.7102,2,0.001167
772,1230.3622,1,0.000483
774,1604.0996,1,0.000626
776,2884.9822,2,0.001124
777,1379.0359,1,0.000539
779,1226.3328,1,0.000478
782,1475.9305,1,0.000574
783,1822.2209,1,0.000709
784,2995.0478,2,0.001168
785,2756.276,2,0.001078
786,2799.9322,2,0.001097
787,1634.5967,1,0.000641
788,1347.977,1,0.000528
789,2914.3956,2,0.001139
790,1532.2724,1,0.000601
792,2507.6427,2,0.000983
794,2500.2121,2,0.000982
795,1200.6968,1,0.000473
797,4720.1893,3,0.001848
798,1181.973,1,0.000466
799,1733.3275,1,0.000684
801,1326.5167,1,0.000522
805,1996.4584,1,0.00078
806,2498.0495,2,0.000977
812,1230.2747,1,0.000475
813,1708.9379,1,0.00066
817,1458.9068,1,0.000557
819,1515.6391,1,0.000578
821,2713.1363,2,0.001034
822,1365.6157,1,0.000521
826,2484.3439,2,0.000945
830,2897.5218,2,0.001096
834,3266.7737,2,0.001236
835,1436.546,1,0.000545
839,1589.5456,1,0.000596
845,1746.0044,1,0.000644
847,1548.8177,1,0.00057
848,2913.3694,2,0.001074
849,1809.6124,1,0.000671
850,4463.1035,3,0.001657
851,1268.353,1,0.000474
852,5737.4373,4,0.002144
854,1311.8168,1,0.000495
857,1273.1365,1,0.000479
861,1354.5835,1,0.000506
862,1540.4938,1,0.000575
863,1648.5683,1,0.000615
864,3237.8588,2,0.001211
865,1725.6506,1,0.000648
866,1575.5149,1,0.000593
870,1401.9891,1,0.000523
874,1545.4313,1,0.000574
875,1364.5425,1,0.000508
879,1523.982,1,0.000564
882,1458.3105,1,0.000536
883,3100.5455,2,0.001141
885,1298.4077,1,0.000479
890,1495.6502,1,0.000546
891,1425.5328,1,0.000522
892,1444.5427,1,0.000529
898,1549.287,1,0.000563
899,1434.8836,1,0.000522
901,1523.9957,1,0.000551
903,1425.6685,1,0.000514
906,1699.7355,1,0.000612
907,1542.6542,1,0.000556
909,1751.6085,1,0.000632
910,1711.9277,1,0.000619
911,1554.3088,1,0.000564
914,3158.6823,2,0.001135
916,1470.6043,1,0.000529
919,3198.1181,2,0.001147
922,1357.4548,1,0.000487
923,3398.6283,2,0.001218
926,1362.0246,1,0.000488
927,1426.2008,1,0.000512
929,1691.6696,1,0.000605
934,1450.2691,1,0.000516
935,1418.4613,1,0.000506
939,1396.548,1,0.000492
942,1629.5909,1,0.000573
943,1553.6106,1,0.000548
948,1768.2828,1,0.000617
950,3694.7454,2,0.001288
952,1665.7254,1,0.000584
953,3104.3661,2,0.001087
954,6534.1827,4,0.002298
957,1617.4076,1,0.000573
958,1605.9752,1,0.000571
959,1535.8621,1,0.000547
961,1420.8882,1,0.000504
963,1837.4925,1,0.000651
965,1701.0957,1,0.000604
967,2038.974,1,0.000721
969,1806.5719,1,0.000639
971,1566.9443,1,0.000552
973,2847.5233,2,0.001003
974,1645.1502,1,0.000583
977,3887.8372,2,0.001368
980,2988.9828,2,0.001053
982,1452.5435,1,0.000514
986,1511.9352,1,0.000533
990,1401.3741,1,0.00049
993,1398.8234,1,0.000487
994,1940.3999,1,0.000677
