step,value
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.838305
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.840126
20,0.83563
20,0.838305
20,0.84046
20,0.842822
20,0.84288
20,0.832292
30,0.731615
30,0.724659
30,0.763999
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.853572
30,0.842745
30,0.840126
30,0.838906
30,0.83778
30,0.83596
30,0.835362
30,0.865317
30,0.867272
30,0.897034
40,0.675249
40,0.669206
40,0.712561
40,0.750771
40,0.750771
40,0.750771
40,0.750771
40,0.748934
40,0.748934
40,0.748934
40,0.748934
40,0.816579
40,0.856104
40,0.853572
40,0.852268
40,0.850941
40,0.848232
40,0.846858
40,0.866106
40,0.865592
40,0.865069
40,0.885296
40,0.885296
40,0.890572
40,0.890572
40,0.904536
40,0.924222
40,0.92836
50,0.636967
50,0.676518
50,0.657674
50,0.650537
50,0.687549
50,0.687549
50,0.687549
50,0.682129
50,0.682129
50,0.682129
50,0.687264
50,0.767398
50,0.867095
50,0.865118
50,0.864089
50,0.863033
50,0.860837
50,0.859696
50,0.872237
50,0.871439
50,0.869003
50,0.883501
50,0.883501
50,0.88353
50,0.88353
50,0.886149
50,0.88576
50,0.886968
50,0.887143
50,0.909954
50,0.908801
50,0.967018
60,0.536161
60,0.54451
60,0.576981
60,0.578993
60,0.577859
60,0.577859
60,0.577859
60,0.600648
60,0.600648
60,0.583855
60,0.60076
60,0.666355
60,0.87555
60,0.874032
60,0.873243
60,0.872434
60,0.870748
60,0.869871
60,0.878484
60,0.877754
60,0.875364
60,0.886141
60,0.886141
60,0.88577
60,0.88577
60,0.887492
60,0.885747
60,0.886797
60,0.886515
60,0.898187
60,0.887645
60,0.901472
60,0.903879
60,0.904358
60,0.908098
60,0.902498
60,0.923787
60,0.926615
60,0.964856
60,0.955792
70,0.519677
70,0.528854
70,0.567714
70,0.560314
70,0.552589
70,0.559887
70,0.572942
70,0.611998
70,0.611998
70,0.586864
70,0.61208
70,0.660609
70,0.782078
70,0.880898
70,0.880286
70,0.87966
70,0.878359
70,0.877683
70,0.883899
70,0.883293
70,0.881274
70,0.889493
70,0.889493
70,0.889077
70,0.889077
70,0.890323
70,0.888621
70,0.889479
70,0.889151
70,0.898409
70,0.889307
70,0.900313
70,0.900394
70,0.899299
70,0.900451
70,0.889466
70,0.896297
70,0.899265
70,0.888621
70,0.8993
70,0.899806
70,0.914482
70,0.920854
70,0.883707
70,0.948217
80,0.516102
80,0.518673
80,0.504784
80,0.549812
80,0.53969
80,0.54504
80,0.543738
80,0.531555
80,0.589685
80,0.537085
80,0.589752
80,0.626439
80,0.804818
80,0.886266
80,0.885784
80,0.885291
80,0.88427
80,0.883741
80,0.88842
80,0.887928
80,0.886284
80,0.892739
80,0.892739
80,0.892368
80,0.892368
80,0.893317
80,0.89183
80,0.892531
80,0.892226
80,0.899759
80,0.892143
80,0.901174
80,0.901058
80,0.899993
80,0.900907
80,0.891378
80,0.896761
80,0.899336
80,0.889651
80,0.898971
80,0.898393
80,0.892619
80,0.893332
80,0.893769
80,0.905193
80,0.90986
80,0.906263
80,0.933338
80,0.927574
90,0.485262
90,0.511215
90,0.512891
