step,value
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.089151
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.055989
20,0.079572
20,0.089151
20,0.094913
20,0.10154
20,0.118638
20,0.130386
30,0.040683
30,0.041059
30,0.040626
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.041394
30,0.052213
30,0.055989
30,0.058107
30,0.060405
30,0.065632
30,0.06862
30,0.058565
30,0.061638
30,0.073344
40,0.034248
40,0.034521
40,0.034071
40,0.033358
40,0.033358
40,0.033358
40,0.033358
40,0.033572
40,0.033572
40,0.033572
40,0.033572
40,0.034291
40,0.039422
40,0.041394
40,0.042468
40,0.043607
40,0.046107
40,0.047482
40,0.043896
40,0.045496
40,0.051486
40,0.045371
40,0.045371
40,0.047535
40,0.047535
40,0.047403
40,0.0707
40,0.068098
50,0.029656
50,0.028993
50,0.029763
50,0.03009
50,0.029306
50,0.029306
50,0.029306
50,0.029712
50,0.029712
50,0.029712
50,0.02965
50,0.029601
50,0.032121
50,0.033316
50,0.033955
50,0.034625
50,0.036065
50,0.03684
50,0.035419
50,0.036368
50,0.039782
50,0.036718
50,0.036718
50,0.038018
50,0.038018
50,0.038175
50,0.041036
50,0.040454
50,0.041192
50,0.03759
50,0.044249
50,0.037595
60,0.027708
60,0.027673
60,0.027244
60,0.027361
60,0.027518
60,0.027518
60,0.027518
60,0.027335
60,0.027335
60,0.027705
60,0.027397
60,0.027444
60,0.027444
60,0.028238
60,0.028658
60,0.029095
60,0.030022
60,0.030514
60,0.029986
60,0.0306
60,0.032754
60,0.03108
60,0.03108
60,0.031894
60,0.031894
60,0.032056
60,0.033837
60,0.033489
60,0.033956
60,0.031886
60,0.036
60,0.03251
60,0.033521
60,0.034576
60,0.034372
60,0.041025
60,0.03833
60,0.03663
60,0.043806
60,0.037033
70,0.024575
70,0.024563
70,0.023994
70,0.024281
70,0.024665
70,0.024538
70,0.024296
70,0.023759
70,0.023759
70,0.024293
70,0.023813
70,0.024171
70,0.025395
70,0.024776
70,0.025071
70,0.025376
70,0.026018
70,0.026356
70,0.026246
70,0.026669
70,0.028126
70,0.02717
70,0.02717
70,0.027711
70,0.027711
70,0.027861
70,0.029039
70,0.028816
70,0.029131
70,0.027813
70,0.030441
70,0.028249
70,0.028923
70,0.029646
70,0.029527
70,0.033774
70,0.03233
70,0.031247
70,0.036241
70,0.031833
70,0.032988
70,0.037992
70,0.037489
70,0.049188
70,0.054301
80,0.021936
80,0.022061
80,0.022637
80,0.021841
80,0.022249
80,0.022186
80,0.022232
80,0.022681
80,0.02162
80,0.022585
80,0.021668
80,0.02222
80,0.02247
80,0.02228
80,0.022498
80,0.022721
80,0.023189
80,0.023434
80,0.023536
80,0.023841
80,0.024877
80,0.024326
80,0.024326
80,0.0247
80,0.0247
80,0.024837
80,0.025653
80,0.025503
80,0.025726
80,0.024851
80,0.026612
80,0.025165
80,0.02562
80,0.026129
80,0.02604
80,0.028871
80,0.027965
80,0.027242
80,0.030495
80,0.027638
80,0.02844
80,0.031792
80,0.031523
80,0.031417
80,0.028569
80,0.029364
80,0.03464
80,0.030732
80,0.030097
90,0.020392
90,0.02003
90,0.020255
90,0.020407
90,0.020317
90,0.020293
90,0.020327
90,0.020142
90,0.020385
90,0.020095
90,0.020373
90,0.020467
90,0.020337
90,0.020405
90,0.020571
90,0.020742
90,0.021096
90,0.02128
90,0.021495
90,0.021721
90,0.022487
90,0.022179
90,0.022179
90,0.022446
90,0.022446
90,0.022569
90,0.023155
90,0.023051
90,0.023215
90,0.022617
90,0.023837
90,0.022851
90,0.023167
90,0.02354
90,0.02347
90,0.025445
90,0.024849
90,0.024344
90,0.026577
90,0.024622
90,0.025199
90,0.027418
90,0.027226
90,0.027152
90,0.02519
90,0.025738
90,0.029337
90,0.026903
90,0.026393
90,0.032381
90,0.027555
90,0.032246
90,0.033608
90,0.028289
90,0.028224
100,0.018053
100,0.01824
100,0.018436
100,0.018232
100,0.018791
100,0.018834
100,0.018335
100,0.01853
100,0.018379
100,0.01851
100,0.018871
100,0.018391
100,0.018733
100,0.018953
100,0.019083
100,0.019216
100,0.019492
100,0.019635
100,0.019911
100,0.020084
100,0.020665
100,0.020512
100,0.020512
100,0.020705
100,0.020705
100,0.020817
100,0.021248
100,0.021174
100,0.021299
100,0.020884
100,0.021749
100,0.021063
