step,value
0,8.393943
0,8.393943
0,8.393943
0,8.393943
0,8.393943
0,8.393943
0,8.393943
0,8.393943
0,8.393943
0,8.393943
0,8.393943
10,13.296067
10,12.401158
10,12.401158
10,12.401158
10,12.401158
10,12.401158
10,12.401158
10,12.401158
10,12.401158
10,12.401158
10,12.401158
10,9.584113
20,17.147142
20,20.970202
20,0.0
20,20.150837
20,20.150837
20,19.524695
20,19.524695
20,18.631891
20,18.631891
20,15.312648
20,12.234886
20,15.704361
20,11.404948
20,11.011295
20,10.840705
20,10.650827
20,10.173208
20,9.28791
30,31.846488
30,13.088968
30,11.251239
30,30.218611
30,10.958417
30,28.953628
30,29.049565
30,27.262256
30,25.539453
30,22.915955
30,19.155996
30,22.062183
30,16.108705
30,15.538777
30,15.430535
30,15.217104
30,14.703183
30,14.518725
30,13.145306
30,12.824335
30,10.02219
40,39.877115
40,37.478502
40,37.375668
40,34.138976
40,33.690756
40,18.178674
40,35.661412
40,29.047726
40,0.0
40,0.0
40,33.973761
40,25.437881
40,21.035879
40,19.901179
40,19.422184
40,19.12572
40,18.416154
40,18.257705
40,16.735762
40,16.367947
40,15.534771
40,15.316795
40,15.383604
40,14.35459
40,14.495281
40,13.895349
40,8.393943
40,8.393943
50,47.694667
50,44.788741
50,39.32927
50,22.328631
50,33.071771
50,0.0
50,37.469568
50,0.0
50,45.062979
50,40.891184
50,35.519544
50,35.44377
50,25.959817
50,23.781433
50,23.298125
50,22.996754
50,22.156222
50,22.054565
50,20.456443
50,19.95018
50,18.822288
50,18.568508
50,18.534668
50,17.99031
50,17.775618
50,17.975354
50,17.699646
50,17.737918
50,17.267075
50,15.529021
50,14.668184
50,8.393943
60,41.072883
60,0.0
60,61.779266
60,57.656874
60,56.671363
60,45.900233
60,56.057211
60,35.605138
60,0.0
60,56.425957
60,49.096131
60,41.80212
60,30.751396
60,27.630066
60,27.160464
60,26.861905
60,25.913641
60,25.869985
60,24.236728
60,22.709166
60,21.408157
60,21.540092
60,21.606617
60,20.338335
60,20.180968
60,20.26714
60,20.061341
60,20.704819
60,20.092056
60,19.598625
60,19.544381
60,19.733333
60,18.53877
60,18.060148
60,17.55805
60,16.527011
60,12.563165
60,12.814018
60,7.769688
60,7.769688
70,0.0
70,57.674182
70,45.315562
70,0.0
70,0.0
70,66.705109
70,0.0
70,60.355047
70,41.5821
70,68.792773
70,62.549779
70,47.561825
70,35.336034
70,31.391307
70,30.942104
70,30.651012
70,29.616083
70,29.628447
70,27.991239
70,25.42266
70,23.612994
70,23.617311
70,24.71561
70,22.701826
70,22.630093
70,22.552197
70,22.100284
70,23.584981
70,22.810531
70,22.315563
70,22.293221
70,22.521319
70,22.858347
70,22.454661
70,22.312612
70,23.138406
70,22.197831
70,22.485198
70,21.818541
70,22.606282
70,21.337572
70,13.52621
70,15.027006
70,17.68963
70,8.393943
80,99.38502
80,93.109807
80,92.340157
80,89.303458
80,87.778531
80,87.359466
80,86.790112
80,85.420068
80,84.563976
80,82.982718
80,81.797182
80,52.809499
80,39.673485
80,35.020014
80,34.595274
80,34.314758
80,33.211732
80,33.276585
80,31.658357
80,28.120622
80,25.822837
80,25.678215
80,27.811367
80,25.087912
80,25.103284
80,24.861185
80,24.161491
80,26.470827
80,25.547301
80,25.037229
80,25.034029
80,25.162085
80,26.546014
80,26.194578
80,26.043743
80,25.878824
80,26.126926
80,26.212821
80,25.681326
80,25.420824
80,25.224717
80,24.288139
80,24.525243
80,24.223954
80,23.283512
80,9.55572
80,8.371133
80,7.934896
80,7.934896
90,112.965413
90,103.971878
90,103.543914
90,101.425494
90,99.665127
90,96.953708
90,98.627374
90,95.064838
90,94.83213
90,91.726372
90,90.786843
90,57.584322
90,43.745009
90,38.487162
90,38.089145
90,37.821174
90,36.665905
90,36.778981
90,35.196038
90,30.774212
90,28.021958
90,27.731156
90,30.852491
90,27.468681
90,27.569863
90,27.168168
90,26.229442
90,29.325269
90,28.267645
90,27.748802
90,27.764223
90,27.790048
90,30.16146
90,29.865058
90,29.702402
90,28.335716
90,29.777389
90,29.572943
90,29.204281
90,27.744307
90,28.72877
90,27.882747
90,27.952144
90,27.866882
90,26.950666
90,16.902337
90,15.399569
90,14.647187
90,14.647187
90,9.55572
90,8.926295
90,8.371133
90,7.934896
90,7.692011
90,7.692011
100,122.79615
100,112.674638
100,112.343947
100,110.337245
100,108.424715
100,104.909965
100,107.36634
100,103.001128
100,102.995727
100,99.12306
100,98.305829
100,61.924483
100,47.54535
100,41.775635
100,41.405335
100,41.151047
100,39.956813
100,40.113606
100,38.577134
100,33.360141
100,30.191119
100,29.7596
100,33.808074
100,29.820145
100,30.004101
100,29.450265
100,28.284993
100,32.117578
100,30.941415
100,30.419469
100,30.452781
100,30.379092
100,33.668201
100,33.427267
100,33.255456
100,30.748682
100,33.318437
100,32.840279
100,32.630981
100,30.028897
100,32.142812
100,31.283288
100,31.208955
100,31.383663
100,30.368165
100,24.245076
100,22.807251
100,22.08188
100,22.08188
100,16.902337
100,16.151566
100,15.399569
100,14.647187
100,13.895536
100,13.895536
100,11.663686
100,8.926295
100,8.393943
110,131.00002
110,120.049058
110,119.790814
110,117.861721
110,115.835532
110,111.719134
110,114.763334
110,109.797033
110,109.965316
110,105.501578
110,104.782357
110,65.866655
110,51.077679
110,44.876882
110,44.534414
110,44.294351
110,43.072132
110,43.268183
110,41.785495
110,35.860978
110,32.314466
110,31.749353
110,36.656042
110,32.122844
110,32.385337
110,31.68868
110,30.311753
110,34.824695
110,33.545261
110,33.024879
110,33.075074
110,32.906399
110,37.034888
110,36.848075
110,36.669453
110,33.103375
110,36.72054
110,35.990554
110,35.933008
110,32.265088
110,35.437926
110,34.572844
110,34.363858
110,34.782731
110,33.682781
110,31.149754
110,29.808569
110,29.130356
110,29.130356
110,24.245076
110,23.528363
110,22.807251
110,22.08188
110,21.352413
110,21.352413
110,19.141422
110,16.151566
110,12.401158
110,10.232076
110,10.232076
110,10.232076
110,10.232076
110,10.232076
110,9.55572
110,7.934896
110,7.934896
110,7.769688
110,8.393943
120,137.965493
120,126.372106
120,126.172196
120,124.307932
120,122.194226
120,117.600347
120,121.112768
120,115.670939
120,115.979571
120,111.043023
120,110.405506
120,69.445372
120,54.350379
120,47.788423
120,47.473302
120,47.247583
120,46.006376
120,46.237442
120,44.812951
120,38.264268
120,34.379412
120,33.688912
120,39.381468
120,34.361508
120,34.697549
120,33.868482
120,32.296169
120,37.430076
120,36.061811
120,35.54674
120,35.612646
120,35.354634
120,40.241699
120,40.106569
120,39.923086
120,35.385263
120,39.962721
120,39.004041
120,39.088571
120,34.438888
120,38.591142
120,37.728231
120,37.394859
120,38.038568
120,36.869603
120,37.546313
120,36.308411
120,35.681702
120,35.681702
120,31.149754
120,30.481712
120,29.808569
120,29.130356
120,28.447112
120,28.447112
120,26.367675
120,23.528363
120,19.881952
120,17.651231
120,17.651231
120,17.651231
120,17.651231
120,17.651231
120,16.902337
120,14.647187
120,14.647187
120,13.146143
120,12.401158
120,10.938332
120,8.371133
120,7.934896
120,7.692011
120,8.393943
130,143.934339
130,131.833118
130,131.681313
130,129.872845
130,127.690633
130,122.710422
130,126.60324
130,120.778069
130,121.202328
130,115.881362
130,115.313107
130,72.692779
130,57.37495
130,50.512024
130,50.223369
130,50.011819
130,48.758942
130,49.02107
130,47.657048
130,40.561656
130,36.376312
130,35.569248
130,41.97505
130,36.524593
130,36.928781
130,35.978209
130,34.227362
130,39.922508
130,38.478734
130,37.971907
130,38.052274
130,37.711197
130,43.277459
130,43.19096
130,43.004211
130,37.583579
130,43.033002
130,41.868577
130,42.084529
130,36.539565
130,41.588316
130,40.733493
130,40.286548
130,41.134913
130,39.910457
130,43.429094
130,42.29294
130,41.717364
130,41.717364
130,37.546313
130,36.929945
130,36.308411
130,35.681702
130,35.049812
130,35.049812
130,33.123048
130,30.481712
130,27.065715
130,24.957268
130,24.957268
130,24.957268
130,24.957268
130,24.957268
130,24.245076
130,22.08188
130,22.08188
130,20.619032
130,19.881952
130,18.397733
130,15.399569
130,14.647187
130,13.895536
130,12.401158
130,10.232076
130,9.55572
130,8.926295
130,8.926295
130,8.371133
130,8.371133
130,8.371133
130,7.934896
130,7.769688
130,8.393943
140,149.08156
140,136.573718
140,136.462194
140,134.702529
140,132.466154
140,127.169428
140,131.375286
140,125.237316
140,125.758052
140,120.121121
140,119.612244
140,75.638575
140,60.164651
140,53.052373
140,52.789048
140,52.591286
140,51.33265
140,51.622218
140,50.319361
140,42.74809
140,38.298082
140,37.383537
140,44.43184
140,38.603757
140,39.070537
140,38.009423
140,36.096883
140,42.295044
140,40.787829
140,40.291484
140,40.385045
140,39.967437
140,46.137286
140,46.096065
140,45.907346
140,39.690805
140,45.925987
140,44.577774
140,44.914219
140,38.559327
140,44.421954
140,43.579636
140,43.029891
140,44.062958
140,42.79465
140,48.81686
140,47.777608
140,47.250906
140,47.250906
140,43.429094
140,42.863508
140,42.29294
140,41.717364
140,41.136757
140,41.136757
140,39.364534
140,36.929945
140,33.770484
140,31.81267
140,31.81267
140,31.81267
140,31.81267
140,31.81267
140,31.149754
140,29.130356
140,29.130356
140,27.758881
140,27.065715
140,25.664833
140,22.807251
140,22.08188
140,21.352413
140,19.881952
140,17.651231
140,16.902337
140,16.151566
140,16.151566
140,15.399569
140,15.399569
140,15.399569
140,14.647187
140,13.146143
140,12.401158
140,8.926295
140,7.692011
140,7.692011
140,8.393943
150,153.540613
150,140.70442
150,140.626992
150,138.910453
150,136.631007
150,131.072684
150,135.538495
150,129.143131
150,129.745098
150,123.846478
150,123.388917
150,78.310068
150,62.73359
150,55.416109
150,55.176824
150,54.992335
150,53.73268
150,54.046402
150,52.80426
150,44.821144
150,40.139826
150,39.126871
150,46.750198
150,40.593352
150,41.117203
150,39.95626
150,37.898428
150,44.544085
150,42.984221
150,42.500008
150,42.605523
150,42.117923
150,48.82082
150,48.821427
150,48.631782
150,41.70212
150,48.640999
150,47.129527
150,47.575704
150,40.492874
150,47.089448
150,46.262849
150,45.620675
150,46.819348
150,45.517099
150,53.73836
150,52.789827
150,52.30897
150,52.30897
150,48.81686
150,48.299583
150,47.777608
150,47.250906
150,46.719444
150,46.719444
150,45.09621
150,42.863508
150,39.960362
150,38.157525
150,38.157525
150,38.157525
150,38.157525
150,38.157525
150,37.546313
150,35.681702
150,35.681702
150,34.41274
150,33.770484
150,32.47044
150,29.808569
150,29.130356
150,28.447112
150,27.065715
150,24.957268
150,24.245076
150,23.528363
150,23.528363
150,22.807251
150,22.807251
150,22.807251
150,22.08188
150,20.619032
150,19.881952
150,16.151566
150,13.895536
150,13.895536
150,12.401158
150,11.663686
150,9.55572
150,9.55572
150,7.692011
150,7.692011
150,7.692011
150,7.769688
150,7.769688
150,8.393943
150,8.393943
150,8.393943
150,8.393943
160,157.416816
160,144.313989
160,144.265648
160,142.587482
160,140.273684
160,134.497792
160,139.180892
160,132.572463
160,133.243285
160,127.12674
160,126.713787
160,80.732281
160,65.096128
160,57.611123
160,57.394508
160,57.22269
160,55.965782
160,56.300699
160,55.118002
160,46.780439
160,41.898485
160,40.795979
160,48.930967
160,42.489953
160,43.065514
160,41.815002
160,39.627546
160,46.668623
160,45.065657
