step,value
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
10,58.20232
10,53.130075
10,53.130075
10,53.130075
10,53.130075
10,53.130075
10,53.130075
10,53.130075
10,53.130075
10,53.130075
10,53.130075
10,43.323105
20,137.026838
20,127.399328
20,126.528395
20,125.653155
20,125.653155
20,124.817721
20,124.817721
20,123.985486
20,123.985486
20,122.218669
20,121.191021
20,94.190153
20,79.286457
20,78.266201
20,77.032491
20,75.763632
20,75.901144
20,75.479962
30,252.706023
30,235.660529
30,234.734257
30,231.18192
30,228.730422
30,228.002079
30,225.340142
30,223.007429
30,222.595276
30,219.54907
30,217.503207
30,161.896377
30,126.599474
30,123.576841
30,151.892595
30,148.502859
30,145.686574
30,141.306605
30,126.441862
30,126.699483
30,136.227981
40,409.116062
40,380.611971
40,379.573547
40,372.984349
40,367.70461
40,364.482431
40,361.826317
40,358.626333
40,353.263434
40,348.580327
40,344.298031
40,249.206443
40,185.376258
40,207.385956
40,200.442047
40,196.452933
40,191.361194
40,187.079905
40,168.780201
40,167.601607
40,172.783194
40,173.558399
40,179.208969
40,163.540996
40,206.114124
40,167.177438
40,64.865475
40,66.534087
50,611.703048
50,568.977478
50,566.223243
50,552.364339
50,544.715453
50,537.518063
50,538.062095
50,525.737429
50,522.766843
50,517.121462
50,509.134277
50,350.212535
50,253.658655
50,263.604247
50,255.939146
50,251.443971
50,243.942585
50,239.976029
50,218.519272
50,261.080496
50,276.336431
50,215.256094
50,219.841821
50,247.561831
50,239.43267
50,251.718964
50,265.875064
50,220.628175
50,221.378553
50,215.62897
50,213.838023
50,150.609098
60,856.573322
60,791.936672
60,787.968581
60,769.936895
60,755.969245
60,750.250365
60,746.422097
60,731.602654
60,721.603705
60,714.757304
60,702.647546
60,458.863952
60,329.256973
60,325.370392
60,317.165963
60,312.263884
60,302.33207
60,298.861135
60,274.648016
60,304.118038
60,311.761778
60,323.571954
60,265.546812
60,283.669083
60,276.303583
60,286.846506
60,297.836269
60,262.724997
60,260.977549
60,254.470996
60,252.887464
60,263.245638
60,204.821024
60,196.788983
60,195.797647
60,191.642283
60,105.668545
60,114.526041
60,106.045422
60,99.984682
70,1142.224222
70,1058.547633
70,1050.090838
70,1017.65781
70,999.368574
70,992.13725
70,985.553657
70,967.125747
70,956.713044
70,940.39784
70,924.024244
70,571.734923
70,410.035971
70,391.363883
70,382.797644
70,377.590204
70,365.299123
70,362.465399
70,335.959318
70,350.39874
70,349.667317
70,359.470099
70,315.629874
70,322.823932
70,316.434768
70,324.875522
70,332.223243
70,308.88347
70,304.417599
70,297.091468
70,295.691278
70,305.1996
70,257.983301
70,249.727197
70,248.407243
70,330.22426
70,250.302476
70,270.196573
70,252.195882
70,333.638943
70,247.102348
70,236.892034
70,249.274457
70,228.035958
70,223.495416
80,1462.222272
80,1336.649411
80,1329.3881
80,1296.293099
80,1271.615008
80,1241.988756
80,1255.039665
80,1212.787581
80,1206.409993
80,1169.64405
80,1153.540406
80,685.927282
80,494.060711
80,460.301638
80,451.537235
80,446.121367
80,431.607699
80,429.513428
80,401.193864
80,399.305834
80,389.701414
80,397.248784
80,369.27934
80,364.595138
80,359.361075
80,365.408358
80,368.757707
80,358.444909
80,351.133777
80,343.066468
80,341.892651
80,350.278133
80,316.474591
80,308.23969
80,306.555523
80,373.856667
80,308.485934
80,325.37316
80,308.33723
80,374.923575
80,302.331975
80,291.19876
80,302.251306
80,282.951095
80,276.759776
80,33.283639
80,24.909624
80,21.150061
80,21.150061
90,1770.821104
90,1607.388057
90,1601.050655
90,1565.683589
90,1534.904758
90,1485.845916
90,1515.965327
90,1452.830512
90,1450.096729
90,1393.653002
90,1378.187234
90,799.225371
90,579.657565
90,531.003373
90,522.185184
90,516.649056
90,500.091915
90,498.803583
90,469.134529
90,450.201203
90,431.450813
90,436.551917
90,425.651603
90,408.506152
90,404.569755
90,408.001453
90,407.093945
90,410.690229
90,400.490556
90,391.77603
90,390.863969
90,397.911118
90,379.170255
90,371.176639
90,369.142787
90,419.571807
90,371.038822
90,384.250906
90,368.675189
90,418.13612
90,361.832607
90,349.302268
90,358.74536
90,342.380138
90,333.683331
90,89.841583
90,76.740396
90,70.505361
90,70.505361
90,33.283639
90,28.959571
90,24.909624
90,21.150061
90,17.706803
90,17.706803
100,2064.789214
100,1865.617351
100,1860.431299
100,1823.590277
100,1787.161647
100,1718.880425
100,1766.20114
100,1682.64711
100,1683.835612
100,1608.046269
100,1593.617054
100,909.976121
100,665.427612
100,602.425215
100,593.676257
100,588.097225
100,569.699631
100,569.253164
100,538.6637
100,502.462069
100,474.494769
100,477.014305
100,483.921772
100,454.064994
100,451.531627
100,452.194683
100,446.867582
100,464.898041
100,451.838141
100,442.577387
100,441.953351
