step,value
0,0.716967
0,0.716967
0,0.716967
0,0.716967
0,0.716967
0,0.716967
0,0.716967
0,0.716967
0,0.716967
0,0.716967
0,0.716967
10,0.72256
10,0.860697
10,0.860697
10,0.860697
10,0.860697
10,0.860697
10,0.860697
10,0.860697
10,0.860697
10,0.860697
10,0.860697
10,0.894188
20,0.648862
20,0.727232
20,0.670279
20,0.712897
20,0.712897
20,0.707381
20,0.707381
20,0.703953
20,0.703953
20,0.709302
20,0.723434
20,0.886354
20,0.919218
20,0.923194
20,0.924179
20,0.925415
20,0.931843
20,0.943191
30,0.615501
30,0.591718
30,0.594734
30,0.668858
30,0.613415
30,0.654287
30,0.692811
30,0.679921
30,0.671734
30,0.666473
30,0.670824
30,0.89461
30,0.912253
30,0.914719
30,0.93133
30,0.931199
30,0.933397
30,0.932638
30,0.935581
30,0.938245
30,0.963134
40,0.522235
40,0.554879
40,0.553237
40,0.543422
40,0.562704
40,0.565114
40,0.57808
40,0.545873
40,0.591363
40,0.580925
40,0.61577
40,0.773637
40,0.913496
40,0.928148
40,0.928048
40,0.928096
40,0.929891
40,0.929133
40,0.930467
40,0.932173
40,0.939029
40,0.940557
40,0.942059
40,0.9428
40,0.953932
40,0.946791
40,0.947677
40,0.948989
50,0.459123
50,0.478794
50,0.478211
50,0.495972
50,0.497849
50,0.516744
50,0.49338
50,0.52255
50,0.541771
50,0.522772
50,0.516617
50,0.810353
50,0.91737
50,0.928751
50,0.928506
50,0.928426
50,0.929671
50,0.928932
50,0.929267
50,0.942737
50,0.94998
50,0.936966
50,0.938435
50,0.947527
50,0.946642
50,0.948453
50,0.952235
50,0.942265
50,0.944588
50,0.951171
50,0.954787
50,0.977465
60,0.430116
60,0.466696
60,0.494468
60,0.49024
60,0.501641
60,0.483818
60,0.503226
60,0.494762
60,0.512803
60,0.528054
60,0.519694
60,0.841401
60,0.921789
60,0.930448
60,0.93013
60,0.929989
60,0.930826
60,0.930168
60,0.929959
60,0.941769
60,0.94737
60,0.948883
60,0.937463
60,0.945929
60,0.945057
60,0.946776
60,0.949431
60,0.940223
60,0.942171
60,0.942631
60,0.942487
60,0.944032
60,0.9339
60,0.933634
60,0.935862
60,0.939851
60,0.928426
60,0.931771
60,0.973882
60,0.972299
70,0.419812
70,0.448424
70,0.448347
70,0.473335
70,0.483127
70,0.491421
70,0.482309
70,0.492985
70,0.486404
70,0.532176
70,0.520835
70,0.862637
70,0.926016
70,0.932566
70,0.93223
70,0.932067
70,0.932614
70,0.932053
70,0.931565
70,0.941716
70,0.946769
70,0.948209
70,0.937536
70,0.945166
70,0.944285
70,0.945973
70,0.948528
70,0.939832
70,0.941493
70,0.941716
70,0.941516
70,0.942591
70,0.930777
70,0.930105
70,0.930306
70,0.945072
70,0.931292
70,0.935287
70,0.933312
70,0.94723
70,0.933883
70,0.964008
70,0.959775
70,0.944353
70,0.984814
80,0.478814
80,0.536674
80,0.528873
80,0.517649
80,0.524758
80,0.577102
80,0.524316
80,0.575018
80,0.557078
80,0.611736
80,0.599487
80,0.877855
80,0.929819
80,0.934782
80,0.934457
80,0.93429
80,0.934636
80,0.934166
80,0.933552
80,0.942098
80,0.946567
80,0.947946
80,0.938227
80,0.944904
80,0.944058
80,0.945647
80,0.948038
80,0.9401
80,0.941483
80,0.941594
80,0.941403
80,0.94244
80,0.931919
80,0.93124
80,0.931354
80,0.944153
80,0.931514
80,0.934805
80,0.932926
80,0.945533
80,0.933104
80,0.933763
80,0.935401
80,0.932059
80,0.933937
80,0.863124
80,0.864665
80,0.861235
80,0.861235
90,0.561972
90,0.607956
90,0.601815
90,0.5929
90,0.598535
90,0.640051
90,0.598382
90,0.638597
90,0.624429
90,0.66787
90,0.658249
90,0.889196
90,0.933159
90,0.936936
90,0.936633
90,0.936473
90,0.93668
90,0.93629
90,0.935635
90,0.94275
90,0.946641
90,0.94793
90,0.939264
90,0.944998
90,0.944213
90,0.945666
90,0.947851
90,0.94077
90,0.941902
90,0.941934
90,0.941759
90,0.942726
90,0.933641
90,0.93301
90,0.933082
90,0.944382
90,0.933222
90,0.93605
90,0.934348
90,0.945605
90,0.934421
90,0.93449
90,0.936021
90,0.933212
90,0.934217
90,0.867519
90,0.864484
90,0.863171
90,0.863171
90,0.863124
90,0.864422
90,0.864665
90,0.861235
90,0.847967
90,0.847967
100,0.619573
100,0.657556
100,0.6526
100,0.645588
100,0.6503
100,0.684222
100,0.650335
100,0.683241
100,0.671715
100,0.707551
100,0.699729
100,0.897912
100,0.936063
100,0.938954
100,0.938678
100,0.938529
100,0.93864
100,0.938316
100,0.937666
100,0.943558
100,0.94691
100,0.948095
100,0.94047
100,0.945338
100,0.944624
100,0.94593
100,0.947893
100,0.94167
100,0.942587
100,0.942565
100,0.942408
100,0.943286
100,0.935562
100,0.934997
100,0.93504
100,0.944848
100,0.935166
100,0.937557
100,0.936058
100,0.945924
100,0.936066
100,0.936017
100,0.937348
100,0.934926
100,0.935655
100,0.884429
100,0.88116
100,0.879481
100,0.879481
100,0.867519
100,0.865947
100,0.864484
100,0.863171
100,0.862059
100,0.862059
100,0.860594
100,0.864422
100,0.716967
110,0.660796
110,0.693421
110,0.689276
110,0.683573
110,0.687672
110,0.716434
110,0.687834
110,0.715784
110,0.706072
110,0.73669
110,0.730118
110,0.904777
110,0.938582
110,0.940807
110,0.940558
110,0.940421
110,0.940467
110,0.940198
110,0.939576
110,0.944445
110,0.947312
110,0.948388
110,0.941736
110,0.945839
110,0.945199
110,0.946358
110,0.948101
110,0.942686
110,0.943424
110,0.943366
110,0.943228
110,0.944012
110,0.937497
110,0.937002
110,0.937024
110,0.945454
110,0.937136
110,0.939141
110,0.93784
110,0.946392
110,0.937807
110,0.937693
110,0.938831
