step,value
0,8.597404
0,8.597404
0,8.597404
0,8.597404
0,8.597404
0,8.597404
0,8.597404
0,8.597404
0,8.597404
0,8.597404
0,8.597404
10,42.054657
10,45.728917
10,45.728917
10,45.728917
10,45.728917
10,45.728917
10,45.728917
10,45.728917
10,45.728917
10,45.728917
10,45.728917
10,38.738992
20,88.911443
20,92.648922
20,84.809337
20,89.577766
20,89.577766
20,88.293641
20,88.293641
20,87.279929
20,87.279929
20,86.689976
20,87.67366
20,83.485792
20,72.881508
20,72.254907
20,71.191786
20,70.112804
20,70.727936
20,71.192052
30,155.540684
30,139.444501
30,139.604391
30,154.627857
30,140.306747
30,149.17871
30,156.118203
30,151.62733
30,149.524813
30,146.323627
30,145.906466
30,144.834194
30,115.490768
30,113.038064
30,141.462061
30,138.285756
30,135.983391
30,131.78788
30,118.296556
30,118.875148
30,131.205791
40,213.654744
40,211.193506
40,209.994084
40,202.687828
40,206.908995
40,205.974014
40,209.1645
40,195.76437
40,208.906841
40,202.498857
40,212.008489
40,192.795428
40,169.340379
40,192.484777
40,186.019863
40,182.327213
40,177.945039
40,173.8222
40,157.044439
40,156.233661
40,162.248423
40,163.241604
40,168.825365
40,154.186406
40,196.618844
40,158.28209
40,61.471532
40,63.140145
50,280.846706
50,272.422882
50,270.773905
50,273.957241
50,271.185834
50,277.758965
50,265.469259
50,274.72426
50,283.21994
50,270.336683
50,263.027609
50,283.795631
50,232.698839
50,244.822814
50,237.641021
50,233.447217
50,226.786363
50,222.921463
50,203.062828
50,246.130316
50,262.514144
50,201.687586
50,206.307153
50,234.571521
50,226.657052
50,238.74361
50,253.175417
50,207.890257
50,209.111478
50,205.099949
50,204.169839
50,147.215156
60,368.425604
60,369.593582
60,389.625609
60,377.453641
60,379.22494
60,362.984723
60,375.61875
60,361.969101
60,370.040608
60,377.430623
60,365.161958
60,386.088698
60,303.505577
60,302.740326
60,295.005499
60,290.401979
60,281.418429
60,277.99115
60,255.411287
60,286.408872
60,295.353621
60,307.031862
60,248.940196
60,268.330748
60,261.122615
60,271.579366
60,282.774928
60,247.020178
60,245.885493
60,239.872371
60,238.343083
60,248.512305
60,191.282254
60,183.728835
60,183.239597
60,180.115271
60,98.105379
60,106.712023
60,103.275734
60,97.214995
70,479.519754
70,474.678219
70,470.805414
70,481.693107
70,482.822411
70,487.557254
70,475.341477
70,476.778067
70,465.349028
70,500.457228
70,481.263994
70,493.199964
70,379.699937
70,364.972576
70,356.85554
70,351.939192
70,340.68304
70,337.836952
70,312.968079
70,329.97608
70,331.054323
70,340.852788
70,295.914264
70,305.122105
70,298.804676
70,307.323325
70,315.122958
70,290.298489
70,286.607068
70,279.775905
70,278.398057
70,287.678281
70,240.124954
70,232.272536
70,231.094631
70,312.085854
70,233.104645
70,252.711376
70,235.377341
70,316.032661
70,230.764776
70,228.365824
70,239.247451
70,215.346328
70,220.101473
80,700.132784
80,717.344372
80,703.07808
80,671.024937
80,667.290314
80,716.754403
80,658.037373
80,697.374881
80,672.064102
80,715.513494
80,691.532753
80,602.144649
80,459.387226
80,430.281624
80,421.941962
80,416.806609
80,403.395966
80,401.236843
80,374.535508
80,376.185212
80,368.878577
80,376.570569
80,346.467973
80,344.507226
80,339.257792
80,345.547173
80,349.596216
80,336.974082
80,330.586475
80,323.029239
80,321.858622
80,330.116048
80,294.928577
80,287.045112
80,285.511779
80,352.977843
80,287.359008
80,304.160339
80,287.655904
80,354.502751
80,282.107258
80,271.910621
80,282.726063
80,263.727141
80,258.476265
80,28.727919
80,21.538491
80,18.215165
80,18.215165
90,995.151223
90,977.220947
90,963.536879
90,928.293392
90,918.693468
90,951.017321
90,907.125772
90,927.773043
90,905.482683
90,930.778792
90,907.18992
90,710.667916
90,540.912556
90,497.516211
90,489.09604
90,483.827882
90,468.426009
90,467.024602
90,438.938491
90,424.426991
90,408.428855
90,413.820761
90,399.799112
90,386.037471
90,381.999892
90,385.833285
90,385.864503
90,386.36496
90,377.222911
90,369.027228
90,368.099746
90,375.121069
90,354.008795
90,346.311581
90,344.440385
90,396.236091
90,346.261433
90,359.677964
90,344.470907
90,395.391813
90,338.103837
90,326.419521
90,335.793216
90,319.513256
90,311.732665
90,77.939246
90,66.340826
90,60.858174
90,60.858174
90,28.727919
90,25.033276
90,21.538491
90,18.215165
90,15.014792
90,15.014792
100,1279.288596
100,1226.747481
100,1214.117489
100,1177.288329
100,1162.190769
100,1176.095573
100,1148.62262
100,1149.653351
100,1131.057969
100,1137.77537
100,1115.100754
100,817.078504
100,622.882262
100,565.64958
100,557.270922
100,551.946178
100,534.742817
100,534.139558
100,505.086565
100,474.101928
100,449.303649
100,452.254705
100,455.113699
100,429.244848
100,426.527525
100,427.744419
100,423.582589
100,437.780464
