step,value
0,0.976335
0,0.976335
0,0.976335
0,0.976335
0,0.976335
0,0.976335
0,0.976335
0,0.976335
0,0.976335
0,0.976335
0,0.976335
10,0.316162
10,0.271189
10,0.271189
10,0.271189
10,0.271189
10,0.271189
10,0.271189
10,0.271189
10,0.271189
10,0.271189
10,0.271189
10,0.247402
20,0.192856
20,0.22634
20,0.0
20,0.224954
20,0.224954
20,0.221134
20,0.221134
20,0.213473
20,0.213473
20,0.176637
20,0.13955
20,0.188108
20,0.156486
20,0.152395
20,0.152275
20,0.15191
20,0.143836
20,0.130463
30,0.204747
30,0.093865
30,0.080594
30,0.195428
30,0.078103
30,0.194087
30,0.186074
30,0.179798
30,0.170804
30,0.156611
30,0.13129
30,0.152327
30,0.13948
30,0.137465
30,0.109079
30,0.110041
30,0.108125
30,0.110167
30,0.111122
30,0.107881
30,0.076385
40,0.186643
40,0.17746
40,0.177984
40,0.168431
40,0.162829
40,0.088257
40,0.170495
40,0.148381
40,0.0
40,0.0
40,0.160247
40,0.131942
40,0.124222
40,0.103391
40,0.104409
40,0.104898
40,0.103493
40,0.105037
40,0.106567
40,0.104766
40,0.095747
40,0.093829
40,0.091121
40,0.093099
40,0.073723
40,0.087789
40,0.13655
40,0.132941
50,0.169825
50,0.164409
50,0.145248
50,0.081504
50,0.121952
50,0.0
50,0.141145
50,0.0
50,0.159109
50,0.15126
50,0.135041
50,0.124892
50,0.11156
50,0.097137
50,0.098039
50,0.098509
50,0.097696
50,0.098934
50,0.100739
50,0.081055
50,0.0717
50,0.092066
50,0.08984
50,0.076694
50,0.078425
50,0.075291
50,0.069911
50,0.085323
50,0.082574
50,0.075714
50,0.071843
50,0.057018
60,0.111482
60,0.0
60,0.158561
60,0.152752
60,0.14944
60,0.126452
60,0.14924
60,0.098365
60,0.0
60,0.1495
60,0.13445
60,0.108271
60,0.101321
60,0.091267
60,0.092068
60,0.092499
60,0.092082
60,0.09306
60,0.094893
60,0.079289
60,0.072483
60,0.070156
60,0.086794
60,0.075796
60,0.077285
60,0.074627
60,0.070945
60,0.083818
60,0.081713
60,0.081704
60,0.082001
60,0.079406
60,0.096918
60,0.098298
60,0.09582
60,0.091758
60,0.128058
60,0.12008
60,0.075232
60,0.079923
70,0.0
70,0.121502
70,0.096251
70,0.0
70,0.0
70,0.136815
70,0.0
70,0.126589
70,0.089357
70,0.13746
70,0.12997
70,0.096435
70,0.093063
70,0.08601
70,0.086708
70,0.087092
70,0.086931
70,0.0877
70,0.089438
70,0.077044
70,0.071327
70,0.069289
70,0.083523
70,0.074402
70,0.075735
70,0.073383
70,0.070132
70,0.081244
70,0.079588
70,0.079762
70,0.080077
70,0.078286
70,0.095194
70,0.096674
70,0.096552
70,0.074141
70,0.095227
70,0.088976
70,0.092696
70,0.071531
70,0.092465
70,0.05923
70,0.062809
70,0.082145
70,0.038137
80,0.141952
80,0.129798
80,0.131337
80,0.133085
80,0.131545
80,0.121882
80,0.131892
80,0.122488
80,0.125827
80,0.115976
80,0.118284
80,0.087702
80,0.086362
80,0.081389
80,0.081991
80,0.082328
80,0.08233
80,0.082935
80,0.084527
80,0.074752
80,0.070004
80,0.06819
80,0.080271
80,0.072823
80,0.073995
80,0.071947
80,0.069113
80,0.078554
80,0.077279
80,0.077508
80,0.07778
80,0.076222
80,0.090008
80,0.091256
80,0.091218
80,0.073316
80,0.090921
80,0.086181
80,0.089278
80,0.071708
80,0.089415
80,0.089324
80,0.086746
80,0.091852
80,0.09008
80,0.332628
80,0.388659
80,0.43562
80,0.43562
90,0.113516
90,0.106395
90,0.107462
90,0.10926
90,0.108486
90,0.101947
90,0.108725
90,0.102466
90,0.104731
90,0.098548
90,0.100075
90,0.081028
90,0.080873
90,0.077359
90,0.077877
90,0.078171
90,0.078275
90,0.078752
90,0.080184
90,0.072508
90,0.068609
90,0.067012
90,0.07717
90,0.071155
90,0.072172
90,0.070414
90,0.067976
90,0.0759
90,0.074936
90,0.075194
90,0.075426
90,0.074083
90,0.0852
90,0.086238
90,0.086234
90,0.071512
90,0.085997
90,0.082221
90,0.08478
90,0.070169
90,0.08497
90,0.08542
90,0.083242
90,0.087217
90,0.086454
90,0.216866
90,0.232128
90,0.240677
90,0.240677
90,0.332628
90,0.356577
90,0.388659
90,0.43562
90,0.512296
90,0.512296
100,0.095988
100,0.091848
100,0.092531
100,0.093722
100,0.093293
100,0.089202
100,0.093474
100,0.089593
100,0.091061
100,0.08712
100,0.088159
100,0.075788
100,0.076331
100,0.073854
100,0.0743
100,0.074556
100,0.074722
100,0.075099
100,0.076377
100,0.070365
100,0.067195
100,0.065803
100,0.074285
100,0.069471
100,0.070345
100,0.06885
100,0.066776
100,0.073365
100,0.07265
100,0.072921
100,0.073116
100,0.071969
100,0.08089
100,0.08175
100,0.081767
100,0.069707
100,0.08157
100,0.078563
100,0.080671
100,0.068587
100,0.080883
100,0.08136
100,0.079592
100,0.082794
100,0.082324
100,0.164622
100,0.172736
100,0.177146
100,0.177146
100,0.216866
100,0.224215
100,0.232128
100,0.240677
100,0.249953
100,0.249953
100,0.283534
100,0.356577
100,0.976335
110,0.084724
110,0.082131
110,0.082601
110,0.083445
110,0.083194
110,0.080457
110,0.083338
110,0.080767
110,0.081782
110,0.079112
110,0.079861
110,0.071583
110,0.072537
110,0.070807
110,0.071191
110,0.071414
110,0.071615
110,0.071916
110,0.073051
110,0.068353
110,0.065799
110,0.064593
110,0.071641
110,0.067818
110,0.068564
110,0.067302
110,0.065553
110,0.070991
110,0.070473
110,0.070745
110,0.070909
110,0.069934
110,0.077075
110,0.077789
110,0.077819
110,0.067957
110,0.077655
110,0.075258
110,0.076993
110,0.067032
110,0.077211
110,0.077682
110,0.076249
110,0.078828
110,0.078558
110,0.134392
110,0.139356
