# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,94.5714,92.3334,0.0,0.716967,0.976335,0.0,0.0,0,0.0
1,11,0,0,160.8751,130.4085,85.4666,0.0,0.81062,0.655376,0.0,0.0,0,0.0
2,11,0,0,194.7748,165.1627,84.6121,0.0,0.847967,0.512296,0.0,0.0,0,0.0
3,12,1,0,252.4936,214.4603,90.1817,7.8516,0.849369,0.420505,0.031096,1.0,0,0.0
4,12,1,0,297.3038,252.7955,96.6568,7.8516,0.850293,0.382352,0.026409,1.0,0,0.0
5,12,1,0,345.4708,293.5434,104.0757,7.8516,0.849691,0.35455,0.022727,1.0,0,0.0
6,12,1,0,396.859,336.913,112.0944,7.8516,0.848949,0.33271,0.019784,1.0,0,0.0
7,12,1,0,451.3681,383.0173,120.4992,7.8516,0.84857,0.314605,0.017395,1.0,0,0.0
8,12,1,0,508.9148,431.9088,129.1544,7.8516,0.848686,0.299032,0.015428,1.0,0,0.0
9,12,1,0,569.4243,483.6012,137.9714,7.8516,0.849281,0.2853,0.013789,1.0,0,0.0
10,12,1,0,632.8262,538.0828,146.8918,7.8516,0.850285,0.272991,0.012407,1.0,0,0.0
11,13,3,0,746.7311,628.9037,139.2883,43.5391,0.842209,0.221478,0.058306,0.369372,0,0.0
12,13,3,0,821.237,685.1473,157.5506,43.5391,0.834287,0.229951,0.053016,0.369372,0,0.0
13,14,5,0,951.9444,784.6823,151.8739,85.3882,0.824294,0.193548,0.089699,0.216135,0,0.0
14,15,7,0,1093.2246,885.2225,153.6152,129.387,0.809735,0.173533,0.118354,0.151952,0,0.0
15,16,9,0,1244.8962,988.9243,160.4376,175.5343,0.794383,0.162234,0.141003,0.117116,0,0.0
16,16,9,0,1346.6561,1054.8586,196.2632,175.5343,0.783317,0.186056,0.130348,0.117116,0,0.0
17,17,11,0,1515.723,1177.1427,194.7133,228.867,0.776621,0.165412,0.150995,0.096124,0,0.0
18,18,12,0,1666.7584,1281.0903,220.5186,255.1495,0.768612,0.172134,0.153081,0.087952,0,0.0
19,18,12,0,1786.8381,1366.5945,255.0941,255.1495,0.764812,0.186664,0.142794,0.087952,0,0.0
20,18,13,0,1939.197,1482.8828,261.353,284.9612,0.764689,0.176247,0.146948,0.081457,0,0.0
21,19,15,0,2139.7855,1631.672,256.3846,346.729,0.76254,0.15713,0.162039,0.070891,0,0.0
22,19,16,0,2297.1018,1742.6245,281.8591,367.6181,0.758619,0.161744,0.160036,0.066292,0,0.0
23,20,19,0,2538.9537,1917.8286,263.113,458.0121,0.755362,0.137193,0.180394,0.056043,0,0.0
24,20,19,0,2689.0041,2016.328,314.664,458.0121,0.749842,0.156058,0.170328,0.056043,0,0.0
25,20,20,0,2866.9266,2147.6931,335.1773,484.0563,0.749127,0.156064,0.168842,0.053069,0,0.0
26,20,21,0,3051.5364,2286.7444,351.2784,513.5136,0.749375,0.153615,0.16828,0.050446,0,0.0
27,20,22,0,3240.172,2430.1416,366.4234,543.607,0.750004,0.150783,0.167771,0.04808,0,0.0
28,20,23,0,3433.205,2577.8198,380.6199,574.7653,0.750849,0.147652,0.167414,0.045947,0,0.0
29,21,26,0,3731.1339,2800.0154,340.5521,695.5664,0.750446,0.121625,0.186422,0.041446,0,0.0
30,21,26,0,3907.841,2917.4629,399.8116,695.5664,0.746566,0.137041,0.177993,0.041446,0,0.0
31,21,27,0,4119.6688,3075.0902,420.2373,729.3413,0.746441,0.136659,0.177039,0.039841,0,0.0
32,23,32,0,4551.2903,3389.737,320.5358,956.0174,0.744786,0.094561,0.210054,0.034467,0,0.0
33,23,33,0,4795.5288,3530.4822,381.1314,998.9153,0.736203,0.107954,0.208301,0.033414,0,0.0
34,23,33,0,4998.6228,3657.933,456.7745,998.9153,0.731788,0.124872,0.199838,0.033414,0,0.0
35,25,39,0,5489.2865,4007.6452,345.0213,1261.6199,0.730085,0.086091,0.229833,0.02825,0,0.0
36,26,41,0,5819.7963,4198.2179,396.7827,1354.7957,0.721369,0.094512,0.232791,0.026873,0,0.0
37,26,42,0,6099.9886,4362.8694,466.0385,1401.0808,0.715226,0.106819,0.229686,0.026218,0,0.0
38,26,42,0,6335.7293,4514.1429,550.5056,1401.0808,0.71249,0.121951,0.22114,0.026218,0,0.0
39,26,43,0,6617.7054,4720.655,580.6055,1446.4449,0.713337,0.122993,0.218572,0.025583,0,0.0
40,28,45,0,6988.5366,4994.7836,579.8913,1553.8617,0.714711,0.116099,0.222344,0.024558,0,0.0
41,29,50,0,7537.7892,5383.4725,463.1734,1836.1434,0.714198,0.086036,0.243592,0.022328,0,0.0
42,29,52,0,7924.5109,5610.896,507.9874,1950.6275,0.708043,0.090536,0.246151,0.021507,0,0.0
43,29,53,0,8248.6313,5803.5158,590.713,1999.4025,0.703573,0.101785,0.242392,0.021065,0,0.0
44,29,54,0,8574.4417,6018.9478,651.8559,2048.6381,0.701964,0.108301,0.238924,0.020643,0,0.0
45,29,55,0,8902.9885,6250.8843,698.3389,2098.7654,0.702111,0.111718,0.235737,0.020239,0,0.0
46,30,58,0,9384.3617,6599.8152,647.0318,2287.5146,0.703278,0.098038,0.243758,0.01931,0,0.0
47,31,61,0,9880.3867,6933.6329,623.7441,2478.0097,0.701757,0.089959,0.250801,0.018429,0,0.0
48,31,62,0,10242.5603,7157.1107,705.9315,2534.5181,0.698762,0.098634,0.24745,0.018113,0,0.0
49,31,63,0,10611.6244,7406.4924,763.3326,2596.7995,0.69796,0.103063,0.244713,0.01783,0,0.0
50,32,65,0,11070.8064,7732.1729,763.2162,2735.4172,0.698429,0.098707,0.247084,0.017353,0,0.0
51,32,65,0,11390.4292,7951.0142,863.9977,2735.4172,0.698043,0.108665,0.24015,0.017353,0,0.0
52,32,67,0,11854.1757,8297.7973,837.1261,2879.2523,0.699989,0.100885,0.242889,0.016911,0,0.0
53,33,68,0,12269.8189,8596.3617,880.0481,2958.4091,0.70061,0.102374,0.241113,0.016734,0,0.0
54,34,70,0,12770.44,8959.7037,866.8764,3113.8599,0.701597,0.096753,0.243833,0.016352,0,0.0
55,35,73,0,13365.1518,9375.3187,812.9874,3351.8457,0.701475,0.086716,0.25079,0.015793,0,0.0
56,36,74,0,13813.6789,9661.0895,902.9413,3429.6481,0.699386,0.093462,0.248279,0.015599,0,0.0
57,36,75,0,14261.513,9966.2294,964.0292,3511.2544,0.69882,0.09673,0.246205,0.015423,0,0.0
58,38,77,0,14829.2423,10368.6749,964.5001,3686.0672,0.699205,0.093021,0.248567,0.015122,0,0.0
59,40,77,0,15239.5485,10648.6154,1104.8659,3686.0672,0.698749,0.103757,0.241875,0.015122,0,0.0
60,40,79,0,15807.6661,11074.9418,1069.8769,3862.8473,0.700606,0.096603,0.244365,0.014818,0,0.0
