# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,8.5974,0.0,8.5974,8.5974,8.5974,8.5974,8.5974,8.5974,8.5974,8.5974
0,actif_liquide,11,8.3939,0.0,8.3939,8.3939,8.3939,8.3939,8.3939,8.3939,8.3939,8.3939
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.9763,0.0,0.9763,0.9763,0.9763,0.9763,0.9763,0.9763,0.9763,0.9763
0,taux_interne,11,0.1705,0.0,0.1705,0.1705,0.1705,0.1705,0.1705,0.1705,0.1705,0.1705
0,levier_entite,11,0.717,0.0,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717
10,passif_total,12,44.8402,2.0992,38.739,42.4221,45.7289,45.7289,45.7289,45.7289,45.7289,45.7289
10,actif_liquide,12,12.241,0.8381,9.5841,12.4012,12.4012,12.4012,12.4012,12.4012,13.1976,13.2961
10,actif_total,12,52.7355,3.1628,43.3231,53.1301,53.1301,53.1301,53.1301,53.1301,57.6444,58.2023
10,ratio_L_P,12,0.273,0.0146,0.2474,0.2712,0.2712,0.2712,0.2712,0.2712,0.3112,0.3162
10,taux_interne,12,0.0747,0.0019,0.0739,0.0739,0.0739,0.0739,0.0739,0.0768,0.08,0.0803
10,levier_entite,12,0.852,0.0401,0.7226,0.8607,0.8607,0.8607,0.8607,0.8607,0.8905,0.8942
20,passif_total,18,82.3824,8.0026,70.1128,71.0526,72.4116,86.985,88.2936,89.5778,92.1268,92.6489
20,actif_liquide,18,14.5196,5.3266,0.0,9.9076,10.8834,15.5085,19.3015,20.1508,20.8309,20.9702
20,actif_total,18,107.7332,23.121,75.48,75.8599,78.5213,123.1021,125.4443,126.7897,135.3902,137.0268
20,ratio_L_P,18,0.1739,0.0538,0.0,0.1368,0.152,0.1824,0.2192,0.225,0.2261,0.2263
20,taux_interne,18,0.0553,0.0028,0.0519,0.0528,0.0532,0.0536,0.0588,0.0593,0.0597,0.0597
20,levier_entite,18,0.7878,0.1088,0.6489,0.6939,0.7074,0.7182,0.9222,0.9273,0.9413,0.9432
30,passif_total,21,138.9268,12.9302,113.0381,118.2966,131.7879,140.3067,149.1787,154.6279,156.0027,156.1182
30,actif_liquide,21,19.0386,6.9874,10.0222,11.2512,13.1453,15.5388,25.5395,29.0496,31.5209,31.8465
30,actif_total,21,186.0877,46.3093,123.5768,126.5995,141.3066,217.5032,228.0021,234.7343,249.2969,252.706
30,ratio_L_P,21,0.1349,0.0402,0.0764,0.0806,0.1081,0.1313,0.1708,0.1941,0.2029,0.2047
