step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,11,11,1,24.5967,0.0,0,39.5714,0,0.0,0.0,0,0,131.9048,94.5714,92.3334,8.5974,0.170524
1,11,11,0,32.2535,0.0,0,36.6285,0,0.0,0.0,0,0,160.8751,130.4085,85.4666,11.8553,0.145216
2,11,11,0,37.8747,0.0,0,36.2623,0,0.0,0.0,0,0,194.7748,165.1627,84.6121,15.0148,0.129036
3,12,12,1,44.8599,0.0,1,38.6493,0,0.0,0.0,7.8516,1,252.4936,214.4603,90.1817,17.8717,0.118364
4,12,12,0,50.7174,1.02,0,41.4243,0,0.0,0.0,7.8516,1,297.3038,252.7955,96.6568,21.0663,0.109064
5,12,12,0,55.0571,1.02,0,44.6039,0,0.0,0.0,7.8516,1,345.4708,293.5434,104.0757,24.462,0.10122
6,12,12,0,59.3271,1.02,0,48.0404,0,0.0,0.0,7.8516,1,396.859,336.913,112.0944,28.0761,0.094473
7,12,12,0,63.5605,1.02,0,51.6425,0,0.0,0.0,7.8516,1,451.3681,383.0173,120.4992,31.9181,0.088594
8,12,12,0,67.7725,1.02,0,55.3519,0,0.0,0.0,7.8516,1,508.9148,431.9088,129.1544,35.9924,0.083422
9,12,12,0,71.9702,1.02,0,59.1306,0,0.0,0.0,7.8516,1,569.4243,483.6012,137.9714,40.3001,0.078834
10,12,12,0,76.1565,1.02,0,62.9536,0,0.0,0.0,7.8516,1,632.8262,538.0828,146.8918,44.8402,0.074736
11,13,13,1,82.5682,1.02,2,59.695,0,0.0,0.0,43.5391,3,746.7311,628.9037,139.2883,48.3772,0.07199
12,13,13,0,90.3774,3.6825,0,67.5217,0,0.0,0.0,43.5391,3,821.237,685.1473,157.5506,52.7036,0.069029
13,14,14,1,96.5431,3.6825,2,65.0888,0,0.0,0.0,85.3882,5,951.9444,784.6823,151.8739,56.0487,0.066972
14,15,15,1,106.9516,6.5148,2,65.8351,0,0.0,0.0,129.387,7,1093.2246,885.2225,153.6152,59.0148,0.065288
15,16,16,1,117.3479,9.361,2,68.759,0,0.0,0.0,175.5343,9,1244.8962,988.9243,160.4376,61.8078,0.06379
16,16,16,0,125.6604,12.2205,0,84.1128,0,0.0,0.0,175.5343,9,1346.6561,1054.8586,196.2632,65.9287,0.061794
17,17,17,1,131.9965,12.2205,2,83.4485,0,0.0,0.0,228.867,11,1515.723,1177.1427,194.7133,69.2437,0.06026
18,18,18,1,143.5613,15.2641,1,94.508,0,0.0,0.0,255.1495,12,1666.7584,1281.0903,220.5186,71.1717,0.059996
19,18,18,0,151.3387,16.7112,0,109.326,0,0.0,0.0,255.1495,12,1786.8381,1366.5945,255.0941,75.9219,0.058079
20,18,18,0,156.3071,16.7112,1,112.0084,0,0.0,0.0,284.9612,13,1939.197,1482.8828,261.353,82.3824,0.055293
21,19,19,1,165.4137,18.3298,2,109.8791,0,0.0,0.0,346.729,15,2139.7855,1631.672,256.3846,85.8775,0.054207
22,19,19,0,175.8043,21.5963,1,120.7968,0,0.0,0.0,367.6181,16,2297.1018,1742.6245,281.8591,91.7171,0.052447
23,20,20,1,183.9262,22.6669,3,112.7627,0,0.0,0.0,458.0121,19,2538.9537,1917.8286,263.113,95.8914,0.051274
24,20,20,0,195.5809,27.1568,0,134.856,0,0.0,0.0,458.0121,19,2689.0041,2016.328,314.664,100.8164,0.050029
25,20,20,0,200.5083,27.1568,1,143.6474,0,0.0,0.0,484.0563,20,2866.9266,2147.6931,335.1773,107.3847,0.048468
