# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,93.7464,93.1584,0.0,0.710713,0.993727,0.0,0.0,0,0.0
1,11,0,0,160.7369,128.4066,87.3304,0.0,0.798862,0.680108,0.0,0.0,0,0.0
2,11,0,0,194.3534,161.7589,87.5946,0.0,0.832292,0.541513,0.0,0.0,0,0.0
3,12,0,0,243.7964,203.9061,99.8902,0.0,0.836379,0.489883,0.0,0.0,0,0.0
4,12,0,0,287.2139,241.8683,105.3455,0.0,0.842119,0.435549,0.0,0.0,0,0.0
5,12,0,0,334.1319,281.4278,112.7041,0.0,0.842266,0.400473,0.0,0.0,0,0.0
6,12,0,0,384.2899,323.0314,121.2585,0.0,0.840593,0.375377,0.0,0.0,0,0.0
7,12,0,0,437.5233,366.93,130.5933,0.0,0.838652,0.355908,0.0,0.0,0,0.0
8,12,0,0,493.7151,413.2567,140.4585,0.0,0.837035,0.339882,0.0,0.0,0,0.0
9,12,0,0,552.7731,462.0731,150.7,0.0,0.835918,0.326139,0.0,0.0,0,0.0
10,12,0,0,614.6176,513.397,161.2206,0.0,0.835311,0.314027,0.0,0.0,0,0.0
11,13,0,0,691.1671,575.7405,180.4266,0.0,0.832998,0.313382,0.0,0.0,0,0.0
12,13,0,0,760.9906,635.1823,190.8084,0.0,0.834678,0.300399,0.0,0.0,0,0.0
13,14,0,0,845.817,705.4585,210.3585,0.0,0.834056,0.298187,0.0,0.0,0,0.0
14,15,0,0,936.1226,781.2951,229.8276,0.0,0.834608,0.294162,0.0,0.0,0,0.0
15,16,0,0,1032.2315,862.6053,249.6262,0.0,0.83567,0.289386,0.0,0.0,0,0.0
16,16,0,0,1122.4093,940.8857,261.5236,0.0,0.838273,0.277955,0.0,0.0,0,0.0
17,17,0,0,1228.2399,1030.1096,283.1303,0.0,0.838688,0.274855,0.0,0.0,0,0.0
18,18,0,0,1340.1201,1125.1381,304.982,0.0,0.83958,0.271062,0.0,0.0,0,0.0
19,18,0,0,1446.334,1217.4384,318.8956,0.0,0.841741,0.26194,0.0,0.0,0,0.0
20,18,0,0,1556.4764,1312.4423,334.0341,0.0,0.843214,0.254513,0.0,0.0,0,0.0
21,19,0,0,1682.302,1418.8911,358.4109,0.0,0.843422,0.252599,0.0,0.0,0,0.0
22,19,0,0,1802.2832,1522.9881,374.2952,0.0,0.845033,0.245764,0.0,0.0,0,0.0
23,20,0,0,1938.0849,1638.5339,399.551,0.0,0.84544,0.243847,0.0,0.0,0,0.0
24,20,0,0,2068.145,1751.7613,416.3837,0.0,0.847021,0.237694,0.0,0.0,0,0.0
25,20,0,0,2202.1199,1867.9633,434.1566,0.0,0.848257,0.232422,0.0,0.0,0,0.0
26,20,0,0,2339.7987,1987.2734,452.5253,0.0,0.849335,0.227712,0.0,0.0,0,0.0
27,20,0,0,2481.0252,2109.7342,471.291,0.0,0.850348,0.223389,0.0,0.0,0,0.0
28,20,0,0,2625.6696,2235.3354,490.3342,0.0,0.851339,0.219356,0.0,0.0,0,0.0
29,21,0,0,2785.607,2372.5578,518.0492,0.0,0.85172,0.218351,0.0,0.0,0,0.0
30,21,0,0,2939.367,2507.4466,536.9204,0.0,0.853057,0.21413,0.0,0.0,0,0.0
31,21,0,0,3096.6507,2645.1826,556.4681,0.0,0.854208,0.21037,0.0,0.0,0,0.0
32,23,0,0,3281.2531,2802.8755,593.3776,0.0,0.854209,0.211703,0.0,0.0,0,0.0
33,23,0,0,3450.3073,2952.738,612.5692,0.0,0.85579,0.207458,0.0,0.0,0,0.0
34,23,0,0,3623.3005,3105.2387,633.0618,0.0,0.857019,0.203869,0.0,0.0,0,0.0
35,25,0,0,3823.9308,3277.6515,671.2793,0.0,0.857142,0.204805,0.0,0.0,0,0.0
36,26,0,0,4021.2715,3450.8064,700.4651,0.0,0.858138,0.202986,0.0,0.0,0,0.0
37,26,0,0,4213.4188,3621.3329,722.0858,0.0,0.859476,0.199398,0.0,0.0,0,0.0
38,26,0,0,4409.8745,3794.7441,745.1303,0.0,0.860511,0.196359,0.0,0.0,0,0.0
39,26,0,0,4610.3443,3971.296,769.0483,0.0,0.861388,0.193652,0.0,0.0,0,0.0
40,28,0,0,4838.6038,4168.1432,810.4606,0.0,0.861435,0.194442,0.0,0.0,0,0.0
41,29,0,0,5063.7565,4366.0445,842.7121,0.0,0.862215,0.193015,0.0,0.0,0,0.0
