# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
325,1,370.509,1638.2398,372.6135,270878.7421,136428.7054,14576.3753,189,0.001368,0.0,0,1,372.6135
329,1,376.3492,1653.2331,377.6392,277998.6084,138617.1761,14057.4209,188,0.001354,0.0,0,1,377.6392
330,1,434.794,1803.4426,434.9768,279233.5158,139626.5111,13160.1388,187,0.001557,0.0,0,1,434.9768
342,1,445.4555,1848.4779,448.3165,296613.9143,142824.7051,15577.5268,193,0.001502,0.0,0,1,448.3165
347,2,1101.9205,4277.2664,1107.01,302684.1702,145612.5026,14557.6832,192,0.00364,0.0,0,2,566.6576
349,1,360.0779,1698.9748,361.6906,300182.4797,144874.6459,15003.7196,190,0.0012,0.0,0,1,361.6906
356,1,400.2135,1882.0826,402.0676,308873.0015,147318.2356,15155.8024,195,0.001296,0.0,0,1,402.0676
359,2,876.8503,3909.6939,883.3441,311821.5886,148330.2546,15009.9196,197,0.002812,0.0,0,2,442.1745
360,2,902.1826,3984.5042,907.31,307920.0867,147219.9263,15640.986,195,0.00293,0.0,0,2,498.0772
362,1,488.8785,2124.8424,491.4611,307505.6759,148104.555,14614.8649,194,0.00159,0.0,0,1,491.4611
365,4,1890.7538,8316.708,1903.7985,307942.9952,147546.8682,15878.9679,196,0.00614,0.0,0,4,490.3833
368,1,586.432,2359.8183,589.0493,303293.1284,147018.3361,15605.8922,193,0.001934,0.0,0,1,589.0493
370,1,351.4574,1749.8562,353.3217,302216.1058,146613.4051,16135.6732,193,0.001163,0.0,0,1,353.3217
372,2,995.5237,4330.8162,996.5257,303137.1239,147146.0718,15925.1524,192,0.003284,0.0,0,2,523.8336
373,2,818.1025,3848.2248,818.8716,299192.6247,146602.0663,15776.6416,190,0.002734,0.0,0,2,417.2165
375,1,433.4667,1978.5022,435.3826,297519.0722,146562.3461,15608.0065,190,0.001457,0.0,0,1,435.3826
376,1,354.5356,1698.3679,354.5518,296122.4473,146246.5208,15776.8486,189,0.001197,0.0,0,1,354.5518
378,2,986.997,4352.5658,992.5601,297670.8884,146992.0876,15314.0134,191,0.003316,0.0,0,2,512.455
379,1,547.8934,2315.3732,549.5012,295037.1327,147205.3636,14418.558,190,0.001857,0.0,0,1,549.5012
381,1,427.4441,2006.9768,429.1717,294458.4582,146405.7669,15332.9023,190,0.001452,0.0,0,1,429.1717
382,1,413.4254,1970.7725,415.9381,293636.418,146422.2828,15213.1619,190,0.001408,0.0,0,1,415.9381
383,2,805.8834,3907.8429,812.6661,293266.8424,146692.2715,14839.413,189,0.002748,0.0,0,2,460.6831
385,1,411.6424,2028.4509,413.2845,291705.0928,146302.36,15017.0861,187,0.001411,0.0,0,1,413.2845
387,2,807.694,3906.6523,811.66,292495.4897,146623.625,14884.5681,187,0.002761,0.0,0,2,414.8162
389,1,457.2509,2162.1968,458.3886,289228.0038,145384.7486,15864.7288,185,0.001581,0.0,0,1,458.3886
397,1,384.5072,1897.2867,385.0614,297972.1687,147704.4858,15239.8909,188,0.00129,0.0,0,1,385.0614
398,2,816.1165,3932.5206,818.1466,296446.6277,147108.0218,15728.3579,187,0.002753,0.0,0,2,449.5689
399,1,384.6721,1945.2239,384.7262,292586.1742,146351.9226,15915.6123,185,0.001315,0.0,0,1,384.7262
401,1,477.279,2245.4032,480.5304,292149.8553,146338.8876,16016.5584,184,0.001634,0.0,0,1,480.5304
402,2,837.9692,4072.6728,839.1993,290198.2383,145957.0192,16172.1361,185,0.002888,0.0,0,2,474.8823
410,2,818.1746,3985.285,822.2485,297338.3509,147575.7087,15802.1125,188,0.002752,0.0,0,2,449.5781
413,1,399.9587,2123.8941,403.8014,297265.3754,147800.1076,15598.9939,188,0.001345,0.0,0,1,403.8014
414,1,456.3855,2160.9674,457.1678,295856.3869,147527.833,15759.5011,188,0.001543,0.0,0,1,457.1678
417,1,369.5551,1992.046,371.3485,296966.1193,147958.8944,15754.6188,189,0.001244,0.0,0,1,371.3485
419,1,355.7847,1878.882,359.1951,297213.7116,148127.0048,15770.1955,188,0.001197,0.0,0,1,359.1951
430,1,461.5426,2351.9238,462.5191,310363.8319,151519.0191,15216.7554,194,0.001487,0.0,0,1,462.5191
