step,value
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.833016
10,0.836829
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.840006
20,0.836575
20,0.833744
20,0.836829
20,0.83917
20,0.841698
20,0.842025
20,0.831586
30,0.712701
30,0.70932
30,0.751333
30,0.851727
30,0.851727
30,0.851727
30,0.851727
30,0.851727
30,0.851727
30,0.851727
30,0.851727
30,0.848374
30,0.838823
30,0.836575
30,0.835549
30,0.834623
30,0.833216
30,0.832831
30,0.862857
30,0.864479
30,0.894193
40,0.714063
40,0.760664
40,0.740956
40,0.732831
40,0.732831
40,0.730787
40,0.730787
40,0.730787
40,0.730787
40,0.733727
40,0.733727
40,0.858694
40,0.850633
40,0.848374
40,0.847213
40,0.846033
40,0.843632
40,0.84242
40,0.860822
40,0.860497
40,0.860842
40,0.86237
40,0.86237
40,0.887435
40,0.887435
40,0.891384
40,0.710713
40,0.926903
50,0.686034
50,0.681504
50,0.666074
50,0.659887
50,0.659887
50,0.658822
50,0.718849
50,0.718849
50,0.763363
50,0.760985
50,0.760985
50,0.754093
50,0.860463
50,0.858694
50,0.857774
50,0.856829
50,0.854864
50,0.853843
50,0.865003
50,0.864269
50,0.862425
50,0.86166
50,0.86166
50,0.878889
50,0.878889
50,0.879026
50,0.864302
50,0.863354
50,0.863719
50,0.894064
50,0.899244
50,0.955815
60,0.627448
60,0.626996
60,0.615377
60,0.616971
60,0.633408
60,0.653851
60,0.68738
60,0.68738
60,0.68332
60,0.682463
60,0.685407
60,0.765598
60,0.868006
60,0.866656
60,0.865953
60,0.865231
60,0.863727
60,0.862944
60,0.869947
60,0.869204
60,0.867084
60,0.865994
60,0.865994
60,0.878974
60,0.878974
60,0.878955
60,0.864654
60,0.86481
60,0.86452
60,0.881727
60,0.880489
60,0.882527
60,0.865042
60,0.868526
60,0.892489
60,0.895104
60,0.831586
60,0.892046
60,0.948261
60,0.909778
70,0.530309
70,0.588174
70,0.575476
70,0.571244
70,0.584157
70,0.601896
70,0.631678
70,0.631678
70,0.628703
70,0.623049
70,0.629957
70,0.688536
70,0.873784
70,0.872745
70,0.872205
70,0.871651
70,0.8705
70,0.869901
70,0.874465
70,0.87381
70,0.871872
70,0.870831
70,0.870831
70,0.880416
70,0.880416
70,0.880344
70,0.868831
70,0.869021
70,0.868656
70,0.881767
70,0.880528
70,0.881617
70,0.864507
70,0.865899
70,0.882799
70,0.882797
70,0.883186
70,0.883274
70,0.884397
70,0.883933
70,0.885587
70,0.898375
70,0.917914
70,0.91127
70,0.943875
80,0.508532
80,0.558253
80,0.536211
80,0.572983
80,0.603154
80,0.596424
80,0.590049
80,0.587014
80,0.584838
80,0.580144
80,0.588815
80,0.647288
80,0.878268
80,0.877457
80,0.877036
80,0.876605
80,0.875711
80,0.875247
80,0.878326
80,0.877771
80,0.876108
80,0.875203
80,0.875203
80,0.882306
80,0.882306
80,0.882216
80,0.8732
80,0.873373
80,0.873031
80,0.882906
80,0.88182
80,0.88258
80,0.868632
80,0.869544
80,0.883268
80,0.883183
80,0.882315
80,0.883001
80,0.883579
80,0.883392
80,0.884255
80,0.886227
80,0.886777
80,0.884813
80,0.887559
80,0.890764
80,0.899055
80,0.927089
80,0.929364
90,0.478062
90,0.502104
90,0.521332
