step,value
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.077218
10,0.090488
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.052849
20,0.058171
20,0.081149
20,0.090488
20,0.096108
20,0.102577
20,0.119301
20,0.130834
30,0.043733
30,0.043965
30,0.043611
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.041169
30,0.043965
30,0.054493
30,0.058171
30,0.060234
30,0.062472
30,0.067565
30,0.070477
30,0.063044
30,0.06604
30,0.075674
40,0.036155
40,0.035103
40,0.036025
40,0.036472
40,0.036472
40,0.036792
40,0.036792
40,0.036792
40,0.036792
40,0.036815
40,0.036815
40,0.036128
40,0.042049
40,0.043965
40,0.045009
40,0.046117
40,0.048549
40,0.049887
40,0.04912
40,0.050855
40,0.056704
40,0.060281
40,0.060281
40,0.051704
40,0.051704
40,0.052083
40,0.171273
40,0.069023
50,0.031342
50,0.031554
50,0.032279
50,0.03287
50,0.03287
50,0.033147
50,0.032013
50,0.032013
50,0.031065
50,0.03117
50,0.03117
50,0.03317
50,0.034973
50,0.036128
50,0.036746
50,0.037395
50,0.038791
50,0.039543
50,0.040666
50,0.041765
50,0.045395
50,0.047558
50,0.047558
50,0.044506
50,0.044506
50,0.044855
50,0.054559
50,0.054079
50,0.055132
50,0.047917
50,0.04915
50,0.048175
60,0.028696
60,0.028889
60,0.0294
60,0.029778
60,0.029463
60,0.029241
60,0.028659
60,0.028659
60,0.028898
60,0.029065
60,0.029061
60,0.029002
60,0.030467
60,0.031229
60,0.031633
60,0.032053
60,0.032946
60,0.033421
60,0.035125
60,0.035869
60,0.038291
60,0.039702
60,0.039702
60,0.03914
60,0.03914
60,0.039403
60,0.044352
60,0.044039
60,0.0447
60,0.042209
60,0.043064
60,0.043489
60,0.055148
60,0.054912
60,0.044268
60,0.044582
60,0.130834
60,0.05964
60,0.059675
60,0.060332
70,0.027564
70,0.026385
70,0.02706
70,0.027491
70,0.027285
70,0.027098
70,0.026591
70,0.026591
70,0.026769
70,0.027211
70,0.02692
70,0.02724
70,0.027381
70,0.027916
70,0.028197
70,0.028488
70,0.029101
70,0.029424
70,0.031276
70,0.031807
70,0.033513
70,0.034489
70,0.034489
70,0.035137
70,0.035137
70,0.035337
70,0.037755
70,0.037548
70,0.037988
70,0.037707
70,0.038225
70,0.038689
70,0.044732
70,0.044814
70,0.039561
70,0.039842
70,0.041115
70,0.040574
70,0.04082
70,0.040762
70,0.041272
70,0.054481
70,0.040531
70,0.041535
70,0.057548
80,0.02521
80,0.024298
80,0.0252
80,0.024785
80,0.024215
80,0.024488
80,0.024752
80,0.024925
80,0.025061
80,0.025503
80,0.025216
80,0.025568
80,0.025159
80,0.025551
80,0.025756
80,0.025967
80,0.026409
80,0.026641
80,0.028484
80,0.028876
80,0.03013
80,0.030837
80,0.030837
80,0.032087
80,0.032087
80,0.032244
80,0.033241
80,0.033096
80,0.033406
80,0.034253
80,0.034556
80,0.035011
80,0.038009
80,0.038187
80,0.035786
80,0.036001
80,0.03693
80,0.03657
80,0.036834
80,0.036764
80,0.037271
80,0.037595
80,0.037414
80,0.037931
80,0.038551
80,0.039916
80,0.039954
80,0.039401
80,0.039056
90,0.023524
90,0.023338
90,0.023291
90,0.023642
90,0.022901
90,0.023104
90,0.023294
90,0.023416
90,0.023396
90,0.023681
90,0.023407
90,0.023208
90,0.023498
90,0.023795
90,0.02395
90,0.024108
90,0.024439
90,0.024611
90,0.026389
90,0.026688
90,0.027639
90,0.028169
90,0.028169
90,0.029718
90,0.029718
90,0.029843
90,0.030005
90,0.029901
90,0.030127
90,0.031561
90,0.031725
90,0.032156
90,0.03342
90,0.033628
90,0.03284
90,0.033007
90,0.03368
90,0.03345
90,0.033709
90,0.033637
90,0.034114
90,0.034494
90,0.03442
90,0.034668
90,0.035347
90,0.036413
90,0.036637
90,0.03666
90,0.036408
90,0.035635
90,0.037701
90,0.037042
90,0.037068
90,0.038008
90,0.037502
100,0.02122
100,0.021098
100,0.022072
100,0.021205
100,0.021558
100,0.021702
100,0.022106
100,0.021553
100,0.021131
100,0.021525
100,0.021368
100,0.022314
100,0.022224
100,0.022454
100,0.022573
100,0.022695
100,0.02295
100,0.023081
100,0.024775
100,0.025009
100,0.025749
100,0.026158
100,0.026158
100,0.027847
100,0.027847
100,0.027948
100,0.027602
100,0.027524
100,0.027695
100,0.029431
100,0.029503
100,0.029905
