# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,93.7464,93.1584,0.0,0.710713,0.993727,0.0,0.0,0,0.0
1,11,0,0,160.3495,128.0249,87.3246,0.0,0.798412,0.68209,0.0,0.0,0,0.0
2,11,0,0,193.1887,160.653,87.5357,0.0,0.831586,0.544874,0.0,0.0,0,0.0
3,12,0,0,241.4568,201.7382,99.7186,0.0,0.835504,0.494297,0.0,0.0,0,0.0
4,12,0,0,283.251,238.2532,104.9977,0.0,0.841138,0.440698,0.0,0.0,0,0.0
5,12,0,0,328.0758,275.9631,112.1127,0.0,0.841157,0.40626,0.0,0.0,0,0.0
6,12,0,0,375.6459,315.2904,120.3555,0.0,0.839329,0.381729,0.0,0.0,0,0.0
7,12,0,0,425.7702,356.4588,129.3114,0.0,0.837209,0.362767,0.0,0.0,0,0.0
8,12,0,0,478.3045,399.5734,138.7311,0.0,0.835395,0.347198,0.0,0.0,0,0.0
9,12,0,0,533.1295,444.6684,148.4611,0.0,0.834072,0.333869,0.0,0.0,0,0.0
10,12,0,0,590.1394,491.7347,158.4047,0.0,0.833252,0.322134,0.0,0.0,0,0.0
11,13,0,0,661.2278,549.2595,176.9683,0.0,0.830666,0.322194,0.0,0.0,0,0.0
12,13,0,0,724.9046,603.2626,186.642,0.0,0.832196,0.309388,0.0,0.0,0,0.0
13,14,0,0,802.8761,667.4614,205.4147,0.0,0.831338,0.307755,0.0,0.0,0,0.0
14,15,0,0,885.5622,736.5269,224.0353,0.0,0.831705,0.304178,0.0,0.0,0,0.0
15,16,0,0,973.2305,810.3207,242.9098,0.0,0.832609,0.29977,0.0,0.0,0,0.0
16,16,0,0,1054.0909,880.2888,253.802,0.0,0.835117,0.288317,0.0,0.0,0,0.0
17,17,0,0,1149.7063,960.3888,274.3175,0.0,0.835334,0.285632,0.0,0.0,0,0.0
18,18,0,0,1250.4171,1045.4272,294.9899,0.0,0.836063,0.282172,0.0,0.0,0,0.0
19,18,0,0,1344.4506,1126.8188,307.6318,0.0,0.838126,0.273009,0.0,0.0,0,0.0
20,18,0,0,1441.3798,1209.9782,321.4016,0.0,0.839458,0.265626,0.0,0.0,0,0.0
21,19,0,0,1552.9374,1303.6257,344.3117,0.0,0.839458,0.264119,0.0,0.0,0,0.0
22,19,1,0,1684.9375,1412.6761,339.8628,27.3986,0.838415,0.240581,0.016261,1.0,0,0.0
23,20,2,0,1834.6332,1527.0795,351.8975,55.6563,0.832362,0.230438,0.030336,0.500119,0,0.0
24,20,2,0,1951.1348,1615.3665,380.112,55.6563,0.827911,0.23531,0.028525,0.500119,0,0.0
25,20,2,0,2069.5346,1709.5488,404.3295,55.6563,0.826055,0.236512,0.026893,0.500119,0,0.0
26,20,2,0,2189.8848,1808.2332,425.9953,55.6563,0.825721,0.235586,0.025415,0.500119,0,0.0
27,20,2,0,2312.1766,1910.4917,446.0286,55.6563,0.826274,0.233463,0.024071,0.500119,0,0.0
28,20,2,0,2436.3617,2015.6928,465.0126,55.6563,0.827337,0.230696,0.022844,0.500119,0,0.0
29,21,3,0,2607.5829,2154.6761,469.0273,88.8796,0.826312,0.217679,0.034085,0.335837,0,0.0
30,21,3,0,2740.6981,2260.8778,495.9407,88.8796,0.824928,0.219358,0.03243,0.335837,0,0.0
31,21,3,0,2875.3173,2371.8293,519.6084,88.8796,0.824893,0.219075,0.030911,0.335837,0,0.0
32,23,5,0,3106.5946,2552.1829,509.3668,160.0449,0.821537,0.199581,0.051518,0.202434,0,0.0
33,23,5,0,3255.2586,2661.2253,548.9884,160.0449,0.817516,0.206292,0.049165,0.202434,0,0.0
34,23,5,0,3405.0449,2778.6144,581.3856,160.0449,0.816029,0.209236,0.047002,0.202434,0,0.0
35,25,9,0,3731.5081,3022.7063,522.3185,311.4833,0.81005,0.172798,0.083474,0.112538,0,0.0
36,26,11,0,3987.6333,3185.9982,542.951,388.684,0.79897,0.170418,0.097472,0.091998,0,0.0
37,26,11,0,4162.2851,3290.6884,612.9127,388.684,0.790597,0.186257,0.093382,0.091998,0,0.0
38,26,11,0,4337.1905,3412.7213,665.7851,388.684,0.786851,0.195089,0.089617,0.091998,0,0.0
39,26,11,0,4512.7514,3546.4744,707.593,388.684,0.785879,0.19952,0.08613,0.091998,0,0.0
40,28,12,0,4757.7912,3735.888,728.5973,433.3059,0.785215,0.195027,0.091073,0.08463,0,0.0
41,29,13,0,5001.1111,3919.8877,747.6359,478.5875,0.783803,0.190729,0.095696,0.078325,0,0.0
42,29,14,0,5239.3728,4096.5802,764.2819,523.5107,0.781884,0.186566,0.099919,0.072823,0,0.0
43,29,14,0,5436.7185,4242.4148,815.793,523.5107,0.780326,0.192294,0.096292,0.072823,0,0.0
44,29,14,0,5634.6711,4398.7004,857.46,523.5107,0.780649,0.194935,0.092909,0.072823,0,0.0
45,29,14,0,5833.4041,4562.1642,892.7292,523.5107,0.782076,0.195681,0.089744,0.072823,0,0.0
46,30,16,0,6140.4021,4804.5397,866.9297,618.9328,0.782447,0.18044,0.100797,0.063984,0,0.0
47,31,18,0,6452.9601,5031.0366,865.9272,710.9963,0.779648,0.172117,0.110181,0.056883,0,0.0
48,31,18,0,6669.7173,5180.1738,933.5472,710.9963,0.776671,0.180215,0.106601,0.056883,0,0.0
49,31,18,0,6886.4178,5344.2781,986.1433,710.9963,0.776061,0.184523,0.103246,0.056883,0,0.0
50,32,20,0,7216.0342,5595.8992,968.4321,811.7029,0.775481,0.173061,0.112486,0.051341,0,0.0
51,32,20,0,7441.585,5758.4479,1031.4343,811.7029,0.77382,0.179117,0.109077,0.051341,0,0.0
52,32,20,0,7667.0167,5934.0829,1081.231,811.7029,0.773975,0.182207,0.105869,0.051341,0,0.0
53,33,21,0,7957.1675,6163.0177,1094.8133,864.3365,0.774524,0.177642,0.108624,0.048986,0,0.0
54,34,22,0,8259.0096,6393.417,1113.64,921.9526,0.774114,0.174185,0.11163,0.04696,0,0.0
55,35,23,0,8563.9155,6620.8728,1142.1694,975.8733,0.773113,0.17251,0.113952,0.044967,0,0.0
56,36,26,0,8992.9547,6931.4498,1094.0334,1147.4715,0.770764,0.157836,0.127597,0.039986,0,0.0
57,36,26,0,9248.9963,7093.7583,1187.7665,1147.4715,0.766976,0.167438,0.124064,0.039986,0,0.0
58,38,27,0,9586.4159,7335.1299,1235.5032,1205.7828,0.765159,0.168436,0.12578,0.038551,0,0.0
59,40,28,0,9933.616,7585.7376,1282.859,1265.0193,0.763643,0.169115,0.127347,0.037218,0,0.0
60,40,29,0,10266.3422,7827.7411,1314.125,1324.4762,0.762466,0.16788,0.129011,0.035966,0,0.0
61,41,36,0,10957.4633,8314.7383,1121.5226,1726.2024,0.75882,0.134884,0.157537,0.028931,0,0.0
62,41,36,0,11254.4285,8448.9084,1284.3176,1726.2024,0.750719,0.15201,0.15338,0.028931,0,0.0
63,41,36,0,11548.9538,8626.4154,1401.336,1726.2024,0.746943,0.162447,0.149468,0.028931,0,0.0
64,41,36,0,11841.9069,8832.2458,1488.4587,1726.2024,0.745847,0.168526,0.145771,0.028931,0,0.0
65,41,36,0,12133.8191,9056.5835,1556.0332,1726.2024,0.746392,0.171812,0.142264,0.028931,0,0.0
66,44,37,0,12523.2926,9361.2553,1593.5139,1788.5234,0.747508,0.170224,0.142816,0.028165,0,0.0
67,44,38,0,12893.9531,9648.3738,1609.1654,1856.4139,0.748287,0.166781,0.143976,0.02748,0,0.0
68,44,39,0,13268.2456,9930.78,1633.9154,1923.5503,0.748462,0.16453,0.144974,0.026813,0,0.0
69,44,41,0,13717.4222,10260.5323,1614.7867,2062.1033,0.747993,0.157378,0.150327,0.025589,0,0.0
70,45,42,0,14111.3003,10533.9902,1672.2213,2130.0887,0.746493,0.158745,0.150949,0.025001,0,0.0
71,45,44,0,14572.3664,10858.5772,1667.2447,2271.5444,0.745149,0.153542,0.15588,0.023925,0,0.0
72,45,44,0,14894.8304,11074.0912,1774.1948,2271.5444,0.743486,0.160211,0.152506,0.023925,0,0.0
73,45,44,0,15215.417,11313.4655,1855.4072,2271.5444,0.743553,0.164,0.149292,0.023925,0,0.0
74,46,46,0,15688.693,11674.1673,1830.7946,2413.7311,0.744113,0.156824,0.153852,0.022925,0,0.0
75,46,46,0,16016.1493,11911.3524,1921.0657,2413.7311,0.743709,0.16128,0.150706,0.022925,0,0.0
76,47,48,0,16501.4205,12276.279,1898.8195,2561.322,0.743953,0.154674,0.155218,0.02202,0,0.0
77,49,49,0,16931.0304,12580.6559,1962.3885,2632.986,0.743053,0.155985,0.155512,0.021579,0,0.0
78,49,50,0,17340.8119,12876.2005,2008.8301,2700.7812,0.742537,0.156011,0.155747,0.021139,0,0.0
79,49,51,0,17768.567,13186.4028,2043.4198,2783.7444,0.74212,0.154964,0.156667,0.020786,0,0.0
80,49,52,0,18193.1606,13493.563,2081.6374,2862.9602,0.741683,0.154269,0.157365,0.020417,0,0.0
81,49,52,0,18538.8492,13747.0994,2173.7896,2862.9602,0.741529,0.158127,0.15443,0.020417,0,0.0
82,49,52,0,18882.3909,14018.6241,2245.8065,2862.9602,0.742418,0.160202,0.151621,0.020417,0,0.0
