# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,8.5224,0.0,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224
0,actif_liquide,11,8.4689,0.0,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.9937,0.0,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937
0,taux_interne,11,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
0,levier_entite,11,0.7107,0.0,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107
10,passif_total,12,40.9779,3.1494,30.5325,41.9275,41.9275,41.9275,41.9275,41.9275,41.9275,41.9275
10,actif_liquide,12,13.2004,0.6775,10.9534,13.4047,13.4047,13.4047,13.4047,13.4047,13.4047,13.4047
10,actif_total,12,49.1783,3.8269,36.4859,50.3321,50.3321,50.3321,50.3321,50.3321,50.3321,50.3321
10,ratio_L_P,12,0.323,0.0108,0.3197,0.3197,0.3197,0.3197,0.3197,0.3197,0.3545,0.3587
10,taux_interne,12,0.0783,0.0037,0.0772,0.0772,0.0772,0.0772,0.0772,0.0772,0.089,0.0905
10,levier_entite,12,0.8333,0.0011,0.833,0.833,0.833,0.833,0.833,0.833,0.8364,0.8368
20,passif_total,18,67.221,30.2273,14.6048,21.9014,32.3903,89.5096,89.5096,89.5096,89.5096,89.5096
20,actif_liquide,18,17.8556,5.7251,7.9578,9.1167,11.3577,22.0487,22.0487,22.0487,22.0487,22.0487
20,actif_total,18,80.0767,35.9514,17.5626,26.0181,38.748,106.5583,106.5583,106.5583,106.5583,106.5583
20,ratio_L_P,18,0.303,0.089,0.2463,0.2463,0.2463,0.2463,0.3518,0.4206,0.5325,0.5449
20,taux_interne,18,0.07,0.0256,0.0528,0.0528,0.0528,0.0528,0.0882,0.1076,0.1289,0.1308
20,levier_entite,18,0.839,0.0026,0.8316,0.8357,0.8394,0.84,0.84,0.8405,0.842,0.842
30,passif_total,21,107.6608,40.562,43.6561,54.7642,64.0564,129.3402,147.5041,147.5041,147.5041,147.5041
30,actif_liquide,21,23.6162,7.3483,10.1657,14.9974,15.9621,28.116,30.6782,30.6782,30.6782,30.6782
30,actif_total,21,130.5094,50.5293,48.8218,65.7264,76.749,173.1823,173.1823,174.9483,183.1948,183.4075
30,ratio_L_P,21,0.2298,0.0385,0.1163,0.208,0.208,0.23,0.2515,0.2762,0.2983,0.3001
30,taux_interne,21,0.0516,0.0117,0.0412,0.0412,0.0412,0.044,0.0625,0.0676,0.0746,0.0757
30,levier_entite,21,0.8318,0.0464,0.7093,0.7513,0.8346,0.8517,0.8517,0.8629,0.8882,0.8942
40,passif_total,28,133.4246,53.3577,8.5224,68.7991,93.5162,126.3732,184.6898,191.3356,200.1203,202.8908
40,actif_liquide,28,26.0213,9.8108,8.4689,14.0547,16.8619,26.8242,35.1778,37.9336,40.1863,40.5802
40,actif_total,28,169.9211,78.1153,11.9913,79.7791,105.3781,149.059,252.7272,257.5097,267.5335,267.8311
40,ratio_L_P,28,0.2262,0.1516,0.05,0.179,0.188,0.2018,0.2218,0.2323,0.7894,0.9937
40,taux_interne,28,0.0495,0.0251,0.0351,0.0361,0.0368,0.0445,0.0517,0.0603,0.1437,0.1713
40,levier_entite,28,0.8078,0.0683,0.7107,0.7308,0.7328,0.8448,0.8608,0.8874,0.9173,0.9269
50,passif_total,32,174.8719,60.9488,82.2508,103.9117,118.6205,172.4606,233.5292,254.1539,258.5145,259.0515
50,actif_liquide,32,30.2635,11.881,9.9795,16.726,21.2076,30.4808,38.8521,47.22,49.2506,49.4497
50,actif_total,32,225.5011,99.4128,95.2287,112.9365,137.5714,201.5007,339.3557,350.6549,370.1818,370.964
50,ratio_L_P,32,0.1772,0.04,0.05,0.1542,0.1771,0.1879,0.1973,0.2058,0.218,0.2186
50,taux_interne,32,0.0398,0.0077,0.0311,0.0314,0.0327,0.0381,0.0459,0.0491,0.055,0.0551
50,levier_entite,32,0.8101,0.0855,0.6588,0.6676,0.7453,0.8582,0.8643,0.879,0.9383,0.9558
60,passif_total,40,195.6935,84.3813,14.6048,81.0095,128.5694,182.4093,288.3092,299.3919,304.376,304.376
60,actif_liquide,40,32.8531,13.9982,7.9578,14.5083,23.1224,29.5435,44.8194,51.9426,55.4691,55.6304
60,actif_total,40,256.6586,139.8389,17.5626,93.4021,148.5347,210.0976,432.3169,454.9168,481.4857,483.8699
60,ratio_L_P,40,0.1801,0.0646,0.05,0.1549,0.169,0.1742,0.1828,0.196,0.4169,0.5449
60,taux_interne,40,0.0405,0.0172,0.0287,0.0289,0.0294,0.0371,0.0441,0.0556,0.1033,0.1308
60,levier_entite,40,0.8119,0.101,0.6154,0.6328,0.6874,0.8656,0.879,0.8921,0.9333,0.9483
