step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,11,11,1,24.5967,0.0,0,38.7464,0,0.0,0.0,0,0,131.9048,93.7464,93.1584,8.5224,0.171273
1,11,11,0,32.1125,0.0,0,35.4409,0,0.0,0.0,0,0,160.3495,128.0249,87.3246,11.6386,0.146561
2,11,11,0,37.527,0.0,0,34.8188,0,0.0,0.0,0,0,193.1887,160.653,87.5357,14.6048,0.130834
3,12,12,1,44.2739,0.0,0,39.2548,0,0.0,0.0,0,0,241.4568,201.7382,99.7186,16.8115,0.123632
4,12,12,0,49.0211,0.0,0,40.7672,0,0.0,0.0,0,0,283.251,238.2532,104.9977,19.8544,0.113193
5,12,12,0,53.3391,0.0,0,43.0574,0,0.0,0.0,0,0,328.0758,275.9631,112.1127,22.9969,0.104931
6,12,12,0,57.4401,0.0,0,45.8062,0,0.0,0.0,0,0,375.6459,315.2904,120.3555,26.2742,0.098041
7,12,12,0,61.4185,0.0,0,48.8271,0,0.0,0.0,0,0,425.7702,356.4588,129.3114,29.7049,0.092127
8,12,12,0,65.3207,0.0,0,52.0084,0,0.0,0.0,0,0,478.3045,399.5734,138.7311,33.2978,0.086962
9,12,12,0,69.1702,0.0,0,55.2822,0,0.0,0.0,0,0,533.1295,444.6684,148.4611,37.0557,0.082396
10,12,12,0,72.9788,0.0,0,58.6064,0,0.0,0.0,0,0,590.1394,491.7347,158.4047,40.9779,0.078324
11,13,13,1,78.9883,0.0,0,65.4768,0,0.0,0.0,0,0,661.2278,549.2595,176.9683,42.2507,0.082099
12,13,13,0,83.4122,0.0,0,68.5309,0,0.0,0.0,0,0,724.9046,603.2626,186.642,46.4048,0.07715
13,14,14,1,89.8492,0.0,0,75.3467,0,0.0,0.0,0,0,802.8761,667.4614,205.4147,47.6758,0.080181
14,15,15,1,96.8553,0.0,0,81.9893,0,0.0,0.0,0,0,885.5622,736.5269,224.0353,49.1018,0.081653
15,16,16,1,104.2804,0.0,0,88.6396,0,0.0,0.0,0,0,973.2305,810.3207,242.9098,50.645,0.082281
16,16,16,0,109.8247,0.0,0,91.8778,0,0.0,0.0,0,0,1054.0909,880.2888,253.802,55.0181,0.076839
17,17,17,1,117.245,0.0,0,99.1086,0,0.0,0.0,0,0,1149.7063,960.3888,274.3175,56.4935,0.07838
18,18,18,1,125.1621,0.0,0,106.3001,0,0.0,0.0,0,0,1250.4171,1045.4272,294.9899,58.0793,0.078984
19,18,18,0,131.2205,0.0,0,110.0544,0,0.0,0.0,0,0,1344.4506,1126.8188,307.6318,62.601,0.073969
20,18,18,0,136.9249,0.0,0,114.2639,0,0.0,0.0,0,0,1441.3798,1209.9782,321.4016,67.221,0.069998
21,19,19,1,144.6786,0.0,0,122.2469,0,0.0,0.0,0,0,1552.9374,1303.6257,344.3117,68.6119,0.072149
22,19,19,0,150.7617,0.0,1,117.9105,0,0.0,0.0,27.3986,1,1684.9375,1412.6761,339.8628,74.3514,0.064709
23,20,20,1,161.1894,1.4264,1,120.676,0,0.0,0.0,55.6563,2,1834.6332,1527.0795,351.8975,76.354,0.063322
24,20,20,0,169.7469,2.8566,0,131.0994,0,0.0,0.0,55.6563,2,1951.1348,1615.3665,380.112,80.7683,0.061038
25,20,20,0,174.9622,2.8566,0,139.6433,0,0.0,0.0,55.6563,2,2069.5346,1709.5488,404.3295,85.4774,0.058901
26,20,20,0,180.3299,2.8566,0,146.9709,0,0.0,0.0,55.6563,2,2189.8848,1808.2332,425.9953,90.4117,0.056909
27,20,20,0,185.7741,2.8566,0,153.5054,0,0.0,0.0,55.6563,2,2312.1766,1910.4917,446.0286,95.5246,0.055055
28,20,20,0,191.2454,2.8566,0,159.5159,0,0.0,0.0,55.6563,2,2436.3617,2015.6928,465.0126,100.7846,0.053331
29,21,21,1,198.9479,2.8566,1,158.2307,0,0.0,0.0,88.8796,3,2607.5829,2154.6761,469.0273,102.6036,0.053046
30,21,21,0,208.1489,4.3057,0,167.692,0,0.0,0.0,88.8796,3,2740.6981,2260.8778,495.9407,107.6608,0.051562
31,21,21,0,213.484,4.3057,0,175.6278,0,0.0,0.0,88.8796,3,2875.3173,2371.8293,519.6084,112.9443,0.050147
32,23,23,2,223.3766,4.3057,2,167.1931,0,0.0,0.0,160.0449,5,3106.5946,2552.1829,509.3668,110.9645,0.051271
33,23,23,0,236.7008,7.2187,0,182.1579,0,0.0,0.0,160.0449,5,3255.2586,2661.2253,548.9884,115.7054,0.050012
34,23,23,0,241.9927,7.2187,0,193.7759,0,0.0,0.0,160.0449,5,3405.0449,2778.6144,581.3856,120.8093,0.048775
35,25,25,2,252.001,7.2187,4,162.562,0,0.0,0.0,311.4833,9,3731.5081,3022.7063,522.3185,120.9083,0.048358
36,26,26,1,271.9408,13.0706,2,168.0224,0,0.0,0.0,388.684,11,3987.6333,3185.9982,542.951,122.5384,0.04775
37,26,26,0,282.8477,16.0006,0,196.3701,0,0.0,0.0,388.684,11,4162.2851,3290.6884,612.9127,126.5649,0.046835
38,26,26,0,287.7391,16.0006,0,216.8536,0,0.0,0.0,388.684,11,4337.1905,3412.7213,665.7851,131.2585,0.045888
39,26,26,0,293.2227,16.0006,0,232.2347,0,0.0,0.0,388.684,11,4512.7514,3546.4744,707.593,136.4029,0.04494
40,28,28,2,303.5347,16.0006,1,237.286,0,0.0,0.0,433.3059,12,4757.7912,3735.888,728.5973,133.4246,0.049491
41,29,29,1,317.0275,17.6139,1,241.5948,0,0.0,0.0,478.5875,13,5001.1111,3919.8877,747.6359,135.1685,0.048506
42,29,29,0,328.0999,19.2272,1,245.0159,0,0.0,0.0,523.5107,14,5239.3728,4096.5802,764.2819,141.2614,0.044897
43,29,29,0,337.9374,20.8384,0,264.382,0,0.0,0.0,523.5107,14,5436.7185,4242.4148,815.793,146.2902,0.044047
44,29,29,0,344.0724,20.8384,0,279.208,0,0.0,0.0,523.5107,14,5634.6711,4398.7004,857.46,151.6793,0.043193
45,29,29,0,350.5033,20.8384,0,291.0749,0,0.0,0.0,523.5107,14,5833.4041,4562.1642,892.7292,157.316,0.042353
46,30,30,1,359.3321,20.8384,2,274.4683,0,0.0,0.0,618.9328,16,6140.4021,4804.5397,866.9297,160.1513,0.041869
47,31,31,1,375.1726,24.0619,2,269.0695,0,0.0,0.0,710.9963,18,6452.9601,5031.0366,865.9272,162.2915,0.041501
48,31,31,0,388.1192,27.1477,0,295.4183,0,0.0,0.0,710.9963,18,6669.7173,5180.1738,933.5472,167.1024,0.040835
49,31,31,0,394.0068,27.1477,0,314.8596,0,0.0,0.0,710.9963,18,6886.4178,5344.2781,986.1433,172.3961,0.040158
50,32,32,1,402.5623,27.1477,2,301.5929,0,0.0,0.0,811.7029,20,7216.0342,5595.8992,968.4321,174.8719,0.039814
51,32,32,0,416.3229,30.3716,0,325.6256,0,0.0,0.0,811.7029,20,7441.585,5758.4479,1031.4343,179.9515,0.039206
52,32,32,0,422.4631,30.3716,0,343.5884,0,0.0,0.0,811.7029,20,7667.0167,5934.0829,1081.231,185.4401,0.038592
53,33,33,1,431.188,30.3716,1,344.5237,0,0.0,0.0,864.3365,21,7957.1675,6163.0177,1094.8133,186.7581,0.038808
54,34,34,1,445.1661,31.984,1,347.7237,0,0.0,0.0,921.9526,22,8259.0096,6393.417,1113.64,188.0417,0.038938
55,35,35,1,459.3474,33.7272,1,355.2376,0,0.0,0.0,975.8733,23,8563.9155,6620.8728,1142.1694,189.1678,0.039102
56,36,36,1,473.3272,35.3394,3,327.3551,0,0.0,0.0,1147.4715,26,8992.9547,6931.4498,1094.0334,192.5403,0.038306
57,36,36,0,490.2712,40.4367,0,364.852,0,0.0,0.0,1147.4715,26,9248.9963,7093.7583,1187.7665,197.0488,0.037803
58,38,38,2,500.6901,40.4367,1,380.473,0,0.0,0.0,1205.7828,27,9586.4159,7335.1299,1235.5032,193.0297,0.041466
59,40,40,2,517.7831,42.1747,1,395.725,0,0.0,0.0,1265.0193,28,9933.616,7585.7376,1282.859,189.6434,0.04412
60,40,40,0,531.1212,43.9136,1,404.1188,0,0.0,0.0,1324.4762,29,10266.3422,7827.7411,1314.125,195.6935,0.040454
61,41,41,1,545.622,45.6522,7,309.1032,0,0.0,0.0,1726.2024,36,10957.4633,8314.7383,1121.5226,202.7985,0.037001
62,41,41,0,574.1712,57.4088,0,377.4623,0,0.0,0.0,1726.2024,36,11254.4285,8448.9084,1284.3176,206.0709,0.036641
63,41,41,0,579.1112,57.4088,0,424.8242,0,0.0,0.0,1726.2024,36,11548.9538,8626.4154,1401.336,210.4004,0.036228
64,41,41,0,585.3288,57.4088,0,458.4729,0,0.0,0.0,1726.2024,36,11841.9069,8832.2458,1488.4587,215.4206,0.035786
65,41,41,0,592.3457,57.4088,0,483.1551,0,0.0,0.0,1726.2024,36,12133.8191,9056.5835,1556.0332,220.8923,0.035333
66,44,44,3,606.5517,57.4088,1,492.8983,0,0.0,0.0,1788.5234,37,12523.2926,9361.2553,1593.5139,212.7558,0.041662
67,44,44,0,621.3041,59.1308,1,493.4657,0,0.0,0.0,1856.4139,38,12893.9531,9648.3738,1609.1654,219.2812,0.038085
68,44,44,0,634.8884,60.9835,1,498.121,0,0.0,0.0,1923.5503,39,13268.2456,9930.78,1633.9154,225.6995,0.035611
69,44,44,0,647.5768,62.8296,2,482.5227,0,0.0,0.0,2062.1033,41,13717.4222,10260.5323,1614.7867,233.1939,0.034537
