step,volume_joules,nb_entites,ratio_destruction
325,370.509,1,0.001368
329,376.3492,1,0.001354
330,434.794,1,0.001557
342,445.4555,1,0.001502
347,1101.9205,2,0.00364
349,360.0779,1,0.0012
356,400.2135,1,0.001296
359,876.8503,2,0.002812
360,902.1826,2,0.00293
362,488.8785,1,0.00159
365,1890.7538,4,0.00614
368,586.432,1,0.001934
370,351.4574,1,0.001163
372,995.5237,2,0.003284
373,818.1025,2,0.002734
375,433.4667,1,0.001457
376,354.5356,1,0.001197
378,986.997,2,0.003316
379,547.8934,1,0.001857
381,427.4441,1,0.001452
382,413.4254,1,0.001408
383,805.8834,2,0.002748
385,411.6424,1,0.001411
387,807.694,2,0.002761
389,457.2509,1,0.001581
397,384.5072,1,0.00129
398,816.1165,2,0.002753
399,384.6721,1,0.001315
401,477.279,1,0.001634
402,837.9692,2,0.002888
410,818.1746,2,0.002752
413,399.9587,1,0.001345
414,456.3855,1,0.001543
417,369.5551,1,0.001244
419,355.7847,1,0.001197
430,461.5426,1,0.001487
431,441.7356,1,0.001431
432,354.9136,1,0.001156
436,379.5806,1,0.001225
440,475.4542,1,0.001525
442,355.9001,1,0.001144
444,369.1419,1,0.001186
445,336.2618,1,0.001082
452,378.6668,1,0.001175
454,488.0138,1,0.001518
458,763.9783,2,0.002334
462,441.6103,1,0.001346
466,379.4756,1,0.00115
467,384.992,1,0.001166
470,467.8663,1,0.001409
471,424.9628,1,0.00128
476,884.4282,2,0.002643
477,411.2,1,0.001247
478,481.679,1,0.001468
479,519.798,1,0.001587
480,861.6852,2,0.002642
482,399.6571,1,0.001238
483,402.3409,1,0.00124
485,400.4181,1,0.001228
493,500.4899,1,0.001501
494,412.8755,1,0.001246
496,468.374,1,0.001409
497,467.3048,1,0.001412
500,504.705,1,0.001524
502,578.9128,1,0.001746
503,376.1805,1,0.001139
504,439.0223,1,0.001333
505,433.327,1,0.001313
506,483.2312,1,0.001475
507,866.0861,2,0.002654
511,462.3353,1,0.001408
513,625.3402,1,0.00191
517,981.9688,2,0.002991
522,945.4909,2,0.002884
524,505.9238,1,0.001564
527,1207.4035,2,0.00371
530,531.3387,1,0.001646
531,552.6631,1,0.00172
538,436.8445,1,0.001336
541,513.5977,1,0.001558
543,489.9595,1,0.001492
548,1129.0249,2,0.003412
549,556.6686,1,0.001714
557,412.4203,1,0.001239
559,504.6312,1,0.001519
571,497.3617,1,0.001438
578,571.7959,1,0.001618
591,962.2363,2,0.002614
597,510.2519,1,0.001377
604,394.9253,1,0.00104
612,412.2018,1,0.001053
613,569.1638,1,0.001462
617,927.157,2,0.002346
623,900.2601,2,0.002263
624,481.3095,1,0.001225
626,481.7568,1,0.001221
627,424.8881,1,0.001078
