# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
459,1,768.9349,3458.2937,772.1466,805835.5061,392265.4764,36046.1395,260,0.000954,0.0,0,1,772.1466
463,2,1588.9648,7043.5022,1590.2482,813598.9299,396130.8895,35797.8954,263,0.001953,0.0,0,2,828.5143
464,1,736.6036,3368.3475,737.1067,809898.0785,397005.8062,34380.9285,261,0.00091,0.0,0,1,737.1067
470,1,939.769,3985.8108,939.8495,828193.8875,402451.8767,34812.6811,265,0.001135,0.0,0,1,939.8495
472,1,741.7406,3468.5582,745.3171,830266.1554,403152.0855,35369.5531,265,0.000893,0.0,0,1,745.3171
474,1,864.514,3743.5951,867.3155,839601.2772,408708.9877,31206.0831,264,0.00103,0.0,0,1,867.3155
476,1,686.9035,3218.6399,687.2927,845941.7034,409924.1341,31378.8718,264,0.000812,0.0,0,1,687.2927
477,1,973.3886,4152.0212,977.9575,847355.4026,410179.2443,31591.8193,265,0.001149,0.0,0,1,977.9575
479,1,732.9365,3441.7238,734.0049,853173.8154,411326.0496,31795.6928,265,0.000859,0.0,0,1,734.0049
489,1,885.963,3933.3986,889.6224,873530.1799,415621.4267,37743.4685,270,0.001014,0.0,0,1,889.6224
495,1,786.7549,3773.5736,789.2321,888581.8534,422465.2298,36064.2303,271,0.000885,0.0,0,1,789.2321
500,2,1750.5133,7931.3401,1751.3083,895366.203,423647.6438,38967.4713,272,0.001955,0.0,0,2,953.3522
505,2,1596.1738,7746.745,1600.2653,908877.8371,428647.1484,37143.0307,274,0.001756,0.0,0,2,817.0363
506,1,820.9599,3964.0446,822.0109,904831.8793,429313.5523,35828.1214,272,0.000907,0.0,0,1,822.0109
507,1,786.9272,3879.6183,788.523,903618.0847,429115.633,36160.5992,271,0.000871,0.0,0,1,788.523
508,1,841.5104,4033.1053,845.8326,902745.1591,429221.3998,36218.1023,271,0.000932,0.0,0,1,845.8326
