step,value
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.838305
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.840126
20,0.83563
20,0.838305
20,0.84046
20,0.842822
20,0.84288
20,0.832292
30,0.731615
30,0.724659
30,0.763999
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.853572
30,0.842745
30,0.840126
30,0.838906
30,0.83778
30,0.83596
30,0.835362
30,0.86358
30,0.86538
30,0.895829
40,0.675249
40,0.669206
40,0.712561
40,0.750771
40,0.750771
40,0.750771
40,0.750771
40,0.748934
40,0.748934
40,0.748934
40,0.748934
40,0.816579
40,0.856104
40,0.853572
40,0.852268
40,0.850941
40,0.848232
40,0.846858
40,0.863913
40,0.86337
40,0.862757
40,0.882762
40,0.882762
40,0.887974
40,0.887974
40,0.902494
40,0.924222
40,0.92836
50,0.636967
50,0.676518
50,0.657674
50,0.689903
50,0.687549
50,0.687549
50,0.687549
50,0.682129
50,0.682129
50,0.682129
50,0.687264
50,0.767398
50,0.867095
50,0.865118
50,0.864089
50,0.863033
50,0.860837
50,0.859696
50,0.869768
50,0.868882
50,0.866275
50,0.880621
50,0.880621
50,0.880635
50,0.880635
50,0.88338
50,0.882898
50,0.884119
50,0.884276
50,0.907657
50,0.90687
50,0.959145
60,0.590985
60,0.597165
60,0.597665
60,0.612326
60,0.610679
60,0.643854
60,0.643854
60,0.63361
60,0.63361
60,0.63361
60,0.638223
60,0.700764
60,0.87555
60,0.874032
60,0.873243
60,0.872434
60,0.870748
60,0.869871
60,0.876014
60,0.87516
60,0.872458
60,0.882623
60,0.882623
60,0.882254
60,0.882254
60,0.884152
60,0.882473
60,0.883542
60,0.883268
60,0.895511
60,0.884423
60,0.885937
60,0.888744
60,0.90211
60,0.905127
60,0.900068
60,0.951369
60,0.89479
60,0.950646
60,0.913101
70,0.570323
70,0.562942
70,0.555366
70,0.554536
70,0.553357
70,0.583999
70,0.581878
70,0.601882
70,0.602078
70,0.602078
70,0.599699
70,0.655274
70,0.882076
70,0.880898
70,0.880286
70,0.87966
70,0.878359
70,0.877683
70,0.881555
70,0.880812
70,0.878419
70,0.885579
70,0.885579
70,0.885101
70,0.885101
70,0.886435
70,0.884792
70,0.885649
70,0.885311
70,0.895242
70,0.885557
70,0.886044
70,0.885758
70,0.896842
70,0.897175
70,0.886124
70,0.888136
70,0.889463
70,0.888541
70,0.88976
70,0.887522
70,0.901433
70,0.906321
70,0.906816
70,0.965172
80,0.558084
80,0.546417
80,0.538115
80,0.534296
80,0.533436
80,0.595326
80,0.593758
80,0.579497
80,0.555263
80,0.555263
80,0.55069
80,0.621226
80,0.804757
80,0.886266
80,0.885784
80,0.885291
80,0.88427
80,0.883741
80,0.886243
80,0.885615
80,0.883584
80,0.888672
80,0.888672
80,0.888185
80,0.888185
80,0.889118
80,0.887655
80,0.888326
80,0.887992
80,0.895895
80,0.887867
80,0.888026
80,0.887565
80,0.896965
80,0.897179
80,0.887532
80,0.887322
80,0.888175
80,0.888057
80,0.888128
80,0.887121
80,0.887184
80,0.887903
80,0.888653
80,0.902281
80,0.909048
80,0.912961
80,0.915117
80,0.912629
90,0.521278
90,0.498466
90,0.527334
