step,value
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,31.454835
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,79.75095
20,39.48376
20,31.454835
20,27.751754
20,24.247494
20,17.762157
20,14.70535
30,151.049043
30,148.296142
30,151.469269
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,145.903777
30,91.702491
30,79.75095
30,74.041767
30,68.516747
30,58.037981
30,53.093201
30,67.708552
30,61.603116
30,45.784274
40,213.144893
40,209.785084
40,215.364275
40,224.671851
40,224.671851
40,224.671851
40,224.671851
40,221.811047
40,221.811047
40,221.811047
40,221.811047
40,212.602089
40,160.861582
40,145.903777
40,138.619604
40,131.471387
40,117.601583
40,110.889504
40,117.660349
40,109.465962
40,86.17565
40,109.443893
40,109.443893
40,102.748147
40,102.748147
40,106.050602
40,50.015403
40,53.909634
50,284.260542
50,297.409033
50,282.209915
50,292.83219
50,291.083633
50,291.083633
50,291.083633
50,283.195365
50,283.195365
50,283.195365
50,284.369615
50,285.313251
50,242.303778
50,225.239551
50,216.838867
50,208.530998
50,192.209745
50,184.204566
50,179.791664
50,169.913611
50,141.129784
50,156.669693
50,156.669693
50,147.894042
50,147.894042
50,148.037706
50,132.579374
50,136.115428
50,131.656644
50,165.129379
50,122.447425
50,122.01473
60,355.899679
60,354.361553
60,346.587498
60,347.934819
60,345.471507
60,364.238952
60,364.238952
60,352.111781
60,352.111781
60,352.111781
60,351.950915
60,349.060961
60,331.93683
60,313.526819
60,304.401014
60,295.332222
60,277.378745
60,268.500776
60,251.260477
60,240.112278
60,207.10893
60,212.214495
60,212.214495
60,202.036061
60,202.036061
60,199.739692
60,182.992096
60,186.011698
60,180.918709
60,203.703289
60,165.842567
60,157.660263
60,148.832957
60,193.85331
60,192.535126
60,142.537894
60,76.325126
60,78.784114
60,75.267263
60,76.223006
70,446.657284
70,433.365251
70,419.187684
70,410.983729
70,408.462218
70,427.49274
70,425.223361
70,431.777718
70,430.975636
70,430.975636
70,425.878611
70,419.396656
70,426.396142
70,407.255969
70,397.723381
70,388.219116
70,369.305907
70,359.902297
70,329.324157
70,317.291653
70,281.285146
70,274.258544
70,274.258544
70,262.972027
70,262.972027
70,258.017885
70,240.741594
70,243.009174
70,237.470827
70,248.839496
70,219.136442
70,208.682894
70,198.127815
70,234.76083
70,232.354475
70,188.605535
70,181.32466
70,190.307573
70,181.390579
70,185.462685
70,170.647852
70,157.75604
70,162.09563
70,165.861293
70,160.102551
80,550.227396
80,529.557819
80,511.5593
80,499.32065
80,496.698416
80,547.30152
80,545.159961
80,519.397665
80,497.390039
80,497.390039
80,490.208216
80,495.797183
80,479.284003
80,503.617463
80,493.929771
80,484.247972
80,464.910062
80,455.258093
80,411.555167
80,398.97472
80,361.041762
80,341.077364
80,341.077364
80,328.971252
80,328.971252
80,321.280491
80,304.05513
80,305.40394
80,299.582865
80,298.005827
80,278.376729
80,265.880929
80,254.277538
80,280.593252
80,277.585054
80,243.14246
80,234.50203
80,243.614641
80,233.616582
80,238.001941
80,222.411874
80,204.900738
80,208.283139
80,211.686618
80,267.820697
80,267.851283
80,254.985128
80,217.543065
80,202.248995
90,630.080199
90,592.207263
90,614.489248
90,600.782058
90,604.207969
90,592.25801
90,596.573113
90,612.648942
90,597.523365
90,597.523365
90,590.683979
90,607.161691
90,577.787756
90,600.417305
90,590.768967
