step,value
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.351841
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.252993
20,0.323337
20,0.351841
20,0.369993
20,0.392696
20,0.467906
20,0.541513
30,0.217749
30,0.215203
30,0.110651
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.205816
30,0.241122
30,0.252993
30,0.259558
30,0.266605
30,0.28238
30,0.291259
30,0.231816
30,0.236726
30,0.225493
40,0.165304
40,0.166392
40,0.05
40,0.186238
40,0.186238
40,0.186238
40,0.186238
40,0.175674
40,0.175674
40,0.175674
40,0.175674
40,0.05
40,0.199164
40,0.205816
40,0.20941
40,0.2132
40,0.221439
40,0.225925
40,0.200019
40,0.203929
40,0.217095
40,0.178494
40,0.178494
40,0.174822
40,0.174822
40,0.155188
40,0.18196
40,0.169916
50,0.134357
50,0.05
50,0.05
50,0.180288
50,0.17935
50,0.17935
50,0.17935
50,0.161575
50,0.161575
50,0.161575
50,0.148166
50,0.172985
50,0.173911
50,0.17811
50,0.180347
50,0.182681
50,0.187673
50,0.190345
50,0.177541
50,0.180331
50,0.189796
50,0.167477
50,0.167477
50,0.169352
50,0.169352
50,0.165791
50,0.170347
50,0.167803
50,0.168846
50,0.132017
50,0.143528
50,0.083574
60,0.163533
60,0.129527
60,0.09855
60,0.05
60,0.05
60,0.167649
60,0.167649
60,0.16457
60,0.16457
60,0.16457
60,0.143761
60,0.162115
60,0.157203
60,0.16007
60,0.161582
60,0.163149
60,0.166464
60,0.168218
60,0.161434
60,0.163472
60,0.170329
60,0.156547
60,0.156547
60,0.158208
60,0.158208
60,0.15606
60,0.160503
60,0.158689
60,0.159796
60,0.141226
60,0.160829
60,0.160462
60,0.158778
60,0.134305
60,0.130786
60,0.146105
60,0.116626
60,0.181045
60,0.118346
60,0.160766
70,0.172522
70,0.157586
70,0.146797
70,0.127493
70,0.127685
70,0.05
70,0.05
70,0.163989
70,0.159033
70,0.159033
70,0.151859
70,0.146202
70,0.145415
70,0.147483
70,0.148565
70,0.149682
70,0.152026
70,0.153256
70,0.149542
70,0.151074
70,0.156185
70,0.147436
70,0.147436
70,0.148828
70,0.148828
70,0.147493
70,0.150979
70,0.14969
70,0.150602
70,0.13711
70,0.152049
70,0.152572
70,0.154212
70,0.136322
70,0.136129
70,0.155021
70,0.153528
70,0.150547
70,0.153006
70,0.150858
70,0.156032
70,0.141039
70,0.134207
70,0.132905
70,0.067315
80,0.166638
80,0.163917
80,0.153219
80,0.142059
80,0.142252
80,0.162409
80,0.162702
80,0.15372
80,0.138832
80,0.138832
80,0.139624
80,0.13184
80,0.119046
80,0.138258
80,0.139066
80,0.139897
80,0.141632
80,0.142536
80,0.140508
80,0.14169
80,0.145603
80,0.139935
80,0.139935
80,0.141091
80,0.141091
80,0.140272
80,0.143008
80,0.142084
80,0.142827
80,0.132981
80,0.144256
80,0.144898
80,0.146342
80,0.13269
80,0.132618
80,0.147284
80,0.148309
80,0.146429
80,0.147456
80,0.146972
80,0.149723
80,0.151564
80,0.150255
80,0.148919
80,0.126971
80,0.118719
80,0.114946
80,0.11574
80,0.120458
90,0.155137
90,0.093608
90,0.147185
90,0.136567
90,0.118174
90,0.118502
90,0.091108
90,0.141951
90,0.116343
90,0.116343
90,0.116825
90,0.05
90,0.137301
90,0.131244
90,0.131868
90,0.132507
90,0.133835
90,0.134525
90,0.133472
90,0.134406
90,0.137473
90,0.133754
90,0.133754
90,0.134717
90,0.134717
90,0.134229
90,0.136394
90,0.135724
90,0.13633
90,0.129138
90,0.13766
90,0.138324
90,0.139548
90,0.12914
90,0.129125
90,0.140429
90,0.141346
90,0.139848
90,0.14077
90,0.140348
90,0.142599
90,0.144447
90,0.143494
90,0.142478
90,0.125907
90,0.12537
90,0.127287
90,0.135199
90,0.139331
90,0.118081
90,0.115108
90,0.131442
90,0.095463
90,0.080564
90,0.108892
100,0.159395
100,0.05
100,0.159098
100,0.150978
100,0.151186
100,0.05
100,0.152897
100,0.154181
100,0.141972
100,0.149968
100,0.150489
100,0.145561
100,0.130424
100,0.125761
100,0.126254
100,0.126758
100,0.127802
100,0.128343
100,0.127877
