# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,,1,300
2,0,,1,300
3,0,,1,300
4,0,,1,300
5,0,,1,300
6,0,,1,300
7,0,,1,300
8,0,,1,300
9,0,,1,300
10,0,,1,300
96,150,1103,0,285
104,155,583,0,284
137,227,554,0,277
149,251,551,0,274
153,257,587,0,274
168,274,585,0,272
171,277,558,0,272
263,461,988,0,253
276,482,1063,0,251
281,493,922,0,250
304,538,1074,0,246
360,680,1034,0,232
364,684,1156,0,231
367,695,1010,0,230
371,707,1084,0,229
443,856,1332,0,214
487,921,1260,0,207
507,968,1353,0,203
595,1161,1440,0,183
603,1190,1659,0,181
643,1278,1568,0,172
695,1379,1640,0,162
711,1424,1701,0,157
719,1433,1889,0,156
742,1469,1720,0,153
815,1598,2064,0,140
859,1675,1868,0,132
865,1697,2062,0,130
924,1797,2073,0,120
933,1810,2231,0,119
957,1873,2118,0,112
1046,2081,2447,0,91
1071,2139,2452,0,86
1084,2163,2541,0,83
1096,2184,2553,0,81
1097,2185,2587,0,81
1105,2202,2531,0,79
1239,2480,2736,0,52
1277,2551,,1,44
1283,2557,2982,0,44
1311,2625,2890,0,37
1362,2721,,1,27
1383,2755,,1,24
1487,2956,,1,4
