# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,93.7464,93.1584,0.0,0.710713,0.993727,0.0,0.0,0,0.0
1,11,0,0,160.7369,128.4066,87.3304,0.0,0.798862,0.680108,0.0,0.0,0,0.0
2,11,0,0,194.3534,161.7589,87.5946,0.0,0.832292,0.541513,0.0,0.0,0,0.0
3,12,0,0,243.7964,203.9061,99.8902,0.0,0.836379,0.489883,0.0,0.0,0,0.0
4,12,0,0,287.2139,241.8683,105.3455,0.0,0.842119,0.435549,0.0,0.0,0,0.0
5,12,0,0,334.1319,281.4278,112.7041,0.0,0.842266,0.400473,0.0,0.0,0,0.0
6,12,0,0,384.2899,323.0314,121.2585,0.0,0.840593,0.375377,0.0,0.0,0,0.0
7,12,0,0,437.5233,366.93,130.5933,0.0,0.838652,0.355908,0.0,0.0,0,0.0
8,12,0,0,493.7151,413.2567,140.4585,0.0,0.837035,0.339882,0.0,0.0,0,0.0
9,12,0,0,552.7731,462.0731,150.7,0.0,0.835918,0.326139,0.0,0.0,0,0.0
10,12,0,0,614.6176,513.397,161.2206,0.0,0.835311,0.314027,0.0,0.0,0,0.0
11,13,0,0,691.1671,575.7405,180.4266,0.0,0.832998,0.313382,0.0,0.0,0,0.0
12,13,0,0,760.9906,635.1823,190.8084,0.0,0.834678,0.300399,0.0,0.0,0,0.0
13,14,0,0,845.817,705.4585,210.3585,0.0,0.834056,0.298187,0.0,0.0,0,0.0
14,15,0,0,936.1226,781.2951,229.8276,0.0,0.834608,0.294162,0.0,0.0,0,0.0
15,16,0,0,1032.2315,862.6053,249.6262,0.0,0.83567,0.289386,0.0,0.0,0,0.0
16,16,0,0,1122.4093,940.8857,261.5236,0.0,0.838273,0.277955,0.0,0.0,0,0.0
17,17,0,0,1228.2399,1030.1096,283.1303,0.0,0.838688,0.274855,0.0,0.0,0,0.0
18,18,0,0,1340.1201,1125.1381,304.982,0.0,0.83958,0.271062,0.0,0.0,0,0.0
19,18,0,0,1446.334,1217.4384,318.8956,0.0,0.841741,0.26194,0.0,0.0,0,0.0
20,18,0,0,1556.4764,1312.4423,334.0341,0.0,0.843214,0.254513,0.0,0.0,0,0.0
21,19,1,0,1709.822,1437.7423,339.5597,27.52,0.840873,0.236176,0.016095,1.0,0,0.0
22,19,1,0,1832.3877,1536.4182,363.4495,27.52,0.838479,0.236556,0.015019,1.0,0,0.0
23,20,2,0,1999.658,1669.0971,373.608,56.9529,0.834691,0.223838,0.028481,0.500564,0,0.0
24,20,2,0,2134.1467,1774.9931,402.2008,56.9529,0.831711,0.226593,0.026686,0.500564,0,0.0
25,20,2,0,2271.7663,1887.3669,427.4466,56.9529,0.830793,0.226478,0.02507,0.500564,0,0.0
26,20,2,0,2412.587,2005.0496,450.5845,56.9529,0.831079,0.224725,0.023607,0.500564,0,0.0
27,20,2,0,2556.6171,2127.2591,472.4051,56.9529,0.83206,0.222072,0.022277,0.500564,0,0.0
28,20,2,0,2703.8252,2253.4607,493.4116,56.9529,0.833434,0.218957,0.021064,0.500564,0,0.0
29,21,3,0,2901.175,2415.7959,498.3973,91.9818,0.832696,0.206308,0.031705,0.336933,0,0.0
30,21,3,0,3060.3295,2545.1666,528.1811,91.9818,0.831664,0.207523,0.030056,0.336933,0,0.0
31,21,3,0,3222.2912,2680.6017,554.7077,91.9818,0.831893,0.206934,0.028545,0.336933,0,0.0
32,23,7,0,3562.0482,2941.4166,492.6881,242.9435,0.825766,0.1675,0.068203,0.144829,0,0.0
33,23,7,0,3745.4063,3061.3873,556.0755,242.9435,0.817371,0.181642,0.064864,0.144829,0,0.0
34,23,7,0,3930.4494,3197.4365,605.0693,242.9435,0.813504,0.189236,0.061811,0.144829,0,0.0
35,25,11,0,4303.1908,3472.6418,551.0393,404.5097,0.806992,0.15868,0.094002,0.092123,0,0.0
36,26,11,0,4521.0351,3610.2796,636.2458,404.5097,0.798552,0.176232,0.089473,0.092123,0,0.0
37,26,13,0,4820.0131,3823.3216,633.0679,493.6236,0.793218,0.165581,0.102411,0.078159,0,0.0
38,26,13,0,5037.7911,3970.627,703.5404,493.6236,0.788168,0.177186,0.097984,0.078159,0,0.0
39,26,13,0,5257.2136,4135.3399,758.2501,493.6236,0.786603,0.183359,0.093895,0.078159,0,0.0
40,28,15,0,5590.9374,4389.837,759.2734,581.8269,0.78517,0.172962,0.104066,0.067772,0,0.0
