# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,8.5224,0.0,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224
0,actif_liquide,11,8.4689,0.0,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.9937,0.0,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937
0,taux_interne,11,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
0,levier_entite,11,0.7107,0.0,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107
10,passif_total,12,42.7831,3.4156,31.4548,43.8129,43.8129,43.8129,43.8129,43.8129,43.8129,43.8129
10,actif_liquide,12,13.4351,0.714,11.0671,13.6503,13.6503,13.6503,13.6503,13.6503,13.6503,13.6503
10,actif_total,12,51.2181,4.1296,37.5219,52.4632,52.4632,52.4632,52.4632,52.4632,52.4632,52.4632
10,ratio_L_P,12,0.3149,0.0111,0.3116,0.3116,0.3116,0.3116,0.3116,0.3116,0.3474,0.3518
10,taux_interne,12,0.0767,0.0038,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0877,0.0892
10,levier_entite,12,0.8354,0.0009,0.8351,0.8351,0.8351,0.8351,0.8351,0.8351,0.838,0.8383
20,passif_total,18,72.9135,33.8361,14.7054,22.3019,33.4621,97.9351,97.9351,97.9351,97.9351,97.9351
20,actif_liquide,18,18.5574,6.1714,7.9631,9.1586,11.492,23.0873,23.0873,23.0873,23.0873,23.0873
20,actif_total,18,86.4709,40.0063,17.6685,26.4605,39.954,116.0224,116.0224,116.0224,116.0224,116.0224
20,ratio_L_P,18,0.2941,0.0914,0.2357,0.2357,0.2357,0.2357,0.3447,0.4153,0.529,0.5415
20,taux_interne,18,0.0681,0.0262,0.0505,0.0505,0.0505,0.0505,0.0868,0.1067,0.1284,0.1304
20,levier_entite,18,0.8421,0.0034,0.8323,0.8375,0.8411,0.8441,0.8441,0.8441,0.8441,0.8441
30,passif_total,21,121.1984,48.4945,45.7843,58.038,68.5167,148.2961,168.5262,168.5262,168.5262,168.5262
30,actif_liquide,21,25.1515,8.1837,10.324,15.4639,16.7603,30.0293,33.0448,33.0448,33.0448,33.0448
30,actif_total,21,145.73,59.4357,51.1083,69.4267,81.7837,196.5709,196.5709,198.2585,206.0964,206.4598
30,ratio_L_P,21,0.2193,0.0387,0.1107,0.1961,0.1961,0.2152,0.2411,0.2666,0.2895,0.2913
30,taux_interne,21,0.0491,0.012,0.0385,0.0385,0.0385,0.0411,0.0604,0.0656,0.0728,0.0739
30,levier_entite,21,0.8375,0.0423,0.7247,0.764,0.8378,0.8573,0.8573,0.8636,0.8897,0.8958
40,passif_total,28,156.7799,58.6342,50.0154,97.7764,109.4439,142.2617,221.811,224.6719,224.6719,224.6719
40,actif_liquide,28,27.1169,10.8348,9.1008,10.7268,18.5219,27.0357,38.9664,41.8424,41.8424,41.8424
40,actif_total,28,199.6763,89.2809,54.1162,110.9628,123.979,166.7905,296.9404,300.1502,315.0677,315.6536
40,ratio_L_P,28,0.1782,0.0398,0.05,0.1623,0.1748,0.1802,0.201,0.2144,0.2247,0.2259
40,taux_interne,28,0.0427,0.01,0.0334,0.0334,0.0336,0.0419,0.0478,0.0507,0.07,0.0707
40,levier_entite,28,0.8167,0.0738,0.6692,0.738,0.7503,0.8496,0.8686,0.8923,0.9272,0.9284
50,passif_total,32,211.7657,64.6992,122.0147,132.933,148.0018,200.3704,283.4617,291.0836,295.9902,297.409
50,actif_liquide,32,33.4258,12.249,10.1973,17.9971,24.1177,33.4914,43.0438,51.9208,52.6119,52.7943
50,actif_total,32,276.0045,116.9223,127.212,150.5431,167.9402,232.4541,415.164,424.3453,444.2089,446.272
50,ratio_L_P,32,0.1595,0.0349,0.05,0.1323,0.1616,0.1694,0.1794,0.1824,0.1902,0.1903
50,taux_interne,32,0.0357,0.0057,0.029,0.0293,0.0297,0.0353,0.0411,0.0434,0.0452,0.0453
50,levier_entite,32,0.8075,0.0978,0.637,0.6821,0.6875,0.8646,0.8806,0.8843,0.9432,0.9591
60,passif_total,40,245.3842,91.5436,75.2673,136.1625,185.2568,226.1634,346.9243,352.3368,364.239,364.239
60,actif_liquide,40,36.3082,15.1626,8.9015,16.9726,25.8512,33.2216,49.4358,57.9471,61.0643,61.0643
60,actif_total,40,326.8291,169.6019,79.1748,151.3318,209.7379,257.4,552.5214,565.9667,598.7792,602.2145
60,ratio_L_P,40,0.1493,0.0279,0.05,0.1182,0.1455,0.1599,0.1635,0.1676,0.1769,0.181
60,taux_interne,40,0.0344,0.0089,0.0262,0.0266,0.0268,0.0333,0.0367,0.0433,0.0575,0.0576
60,levier_entite,40,0.8108,0.1218,0.591,0.6122,0.6439,0.8758,0.8848,0.9024,0.9511,0.9514
