step,volume_joules,nb_entites,ratio_destruction
459,768.9349,1,0.000954
463,1588.9648,2,0.001953
464,736.6036,1,0.00091
470,939.769,1,0.001135
472,741.7406,1,0.000893
474,864.514,1,0.00103
476,686.9035,1,0.000812
477,973.3886,1,0.001149
479,732.9365,1,0.000859
489,885.963,1,0.001014
495,786.7549,1,0.000885
500,1750.5133,2,0.001955
505,1596.1738,2,0.001756
506,820.9599,1,0.000907
507,786.9272,1,0.000871
508,841.5104,1,0.000932
510,895.4991,1,0.000992
511,785.4695,1,0.000871
513,756.8728,1,0.000837
519,965.2431,1,0.001045
528,1006.606,1,0.001065
531,779.9385,1,0.000824
532,839.0231,1,0.000886
534,952.7966,1,0.001002
538,2482.6142,3,0.00259
540,914.5454,1,0.00096
542,862.6764,1,0.000906
543,1681.7058,2,0.001769
544,788.9911,1,0.000837
548,983.9816,1,0.001034
549,1709.141,2,0.001798
551,2375.3855,3,0.002507
552,762.6879,1,0.000815
554,785.0808,1,0.000837
557,1862.6656,2,0.00198
558,761.2027,1,0.000817
561,1644.5083,2,0.001758
562,924.3147,1,0.000994
566,763.9154,1,0.000815
569,948.1908,1,0.001001
571,776.6566,1,0.00082
573,885.5824,1,0.000936
574,906.4353,1,0.000958
576,1909.1132,2,0.00202
577,913.5611,1,0.000974
581,3606.9434,4,0.003831
582,1021.3659,1,0.001109
583,928.9533,1,0.001012
585,1855.0697,2,0.002012
587,861.2294,1,0.000938
592,855.575,1,0.000924
595,1724.1003,2,0.001853
596,872.5743,1,0.000947
599,1840.9596,2,0.001995
600,1925.8681,2,0.002107
602,885.3622,1,0.000975
603,974.453,1,0.001074
611,1838.6959,2,0.002002
617,1062.8048,1,0.001156
619,1069.5873,1,0.001166
628,926.6948,1,0.000993
631,1012.3686,1,0.00108
643,947.7747,1,0.00098
652,876.6009,1,0.000889
659,998.702,1,0.001002
665,981.6304,1,0.000973
667,1078.8253,1,0.001067
669,1061.4331,1,0.001053
671,1009.3645,1,0.001004
673,1886.8345,2,0.00187
678,886.3536,1,0.000877
683,963.2269,1,0.000946
687,1007.2931,1,0.000981
689,965.1076,1,0.000943
695,840.8543,1,0.000811
696,1967.2737,2,0.001902
698,2565.8773,3,0.002501
706,978.9176,1,0.000939
710,900.8412,1,0.000863
716,1171.4488,1,0.001111
717,938.4841,1,0.000892
723,894.8183,1,0.00084
727,2166.1002,2,0.002023
729,982.8423,1,0.000926
733,1055.0249,1,0.000989
736,1013.6947,1,0.000944
737,952.5536,1,0.000891
740,797.4307,1,0.000745
741,1186.9052,1,0.001108
744,1069.7792,1,0.000998
746,832.623,1,0.000777
752,896.5475,1,0.000825
757,921.1455,1,0.000837
761,1902.9815,2,0.001724
764,840.6945,1,0.000759
766,1721.3774,2,0.001559
769,2595.6412,3,0.002361
771,2037.7101,2,0.001873
776,973.8896,1,0.000893
782,932.411,1,0.000846
784,2018.9849,2,0.001833
785,865.2375,1,0.000793
788,1081.4273,1,0.000986
794,850.7562,1,0.000766
798,1020.8818,1,0.000914
799,1996.5635,2,0.001795
804,910.5377,1,0.000814
806,866.662,1,0.000774
809,938.6495,1,0.000838
811,906.6206,1,0.000809
812,1176.3159,1,0.001054
813,889.6972,1,0.000801
819,1145.2231,1,0.001015
820,1088.0646,1,0.00097
821,1142.6129,1,0.001023
823,963.6477,1,0.000866
826,990.3421,1,0.000883
827,1081.3528,1,0.000968
831,878.9254,1,0.000783
836,844.0354,1,0.000745
838,893.7507,1,0.00079
844,881.1261,1,0.000767
845,964.4746,1,0.000843
848,997.9378,1,0.000874
850,1908.1077,2,0.00167
856,896.8154,1,0.000779
857,991.1347,1,0.000865
860,1991.066,2,0.001734
866,2980.0292,3,0.002576
870,1094.0372,1,0.000952
871,887.3184,1,0.000775
883,2008.0588,2,0.001699
885,1094.8257,1,0.000935
887,1105.326,1,0.000942
888,1131.8605,1,0.00097
896,1046.4111,1,0.000883
902,1135.2212,1,0.000943
904,1064.0453,1,0.000882
911,889.5243,1,0.000726
918,847.0234,1,0.000681
920,1038.9976,1,0.000831
922,1019.1009,1,0.000815
929,889.8854,1,0.000703
932,863.3196,1,0.000674
933,1087.3369,1,0.000852
941,924.2937,1,0.000712
942,1077.5729,1,0.000831
943,946.6927,1,0.000731
948,1930.7843,2,0.001476
949,853.7396,1,0.000659
950,846.027,1,0.000655
953,800.3376,1,0.000616
954,937.1843,1,0.000721
957,1881.6109,2,0.001446
959,1855.3931,2,0.00143
961,2361.3338,2,0.001828
963,1028.356,1,0.000804
965,903.1762,1,0.000703
969,1163.4095,1,0.000905
972,1270.106,1,0.000986
973,917.1423,1,0.000714
974,950.9871,1,0.000743
977,975.3589,1,0.000754
983,983.0532,1,0.00075
984,1707.4083,2,0.001309
987,1293.6266,1,0.000992
988,1920.4004,2,0.001479
991,868.7101,1,0.000672
996,1275.6275,1,0.000972
998,3829.3922,4,0.002915
999,873.6201,1,0.000678
1000,924.4062,1,0.000718
1002,887.9027,1,0.00069
1004,841.8272,1,0.000654
1005,1022.6744,1,0.000796
1010,1364.7432,1,0.001053
1011,2251.8131,2,0.001746
1013,891.1264,1,0.000694
1014,1068.1161,1,0.00083
1016,922.2119,1,0.000718
1019,1146.4744,1,0.000891
1020,965.5072,1,0.000755
1025,2927.097,3,0.002254
1032,921.3373,1,0.000709
1033,1138.4855,1,0.000879
1034,1029.114,1,0.000797
1035,2230.0142,2,0.001733
1038,1157.8721,1,0.000905
1039,959.8839,1,0.000754
1040,1926.8754,2,0.001519
1042,910.709,1,0.000721
1045,1127.0994,1,0.000887
1046,2099.5212,2,0.001657
1048,1100.778,1,0.000874
1050,1986.4666,2,0.001581
1052,1095.9612,1,0.000876
1060,1087.9808,1,0.000851
1061,1018.1295,1,0.0008
1063,1063.2214,1,0.000833
1067,927.5986,1,0.000724
1072,1273.8045,1,0.000985
1074,926.2563,1,0.000714
1081,1165.0253,1,0.000885
1084,999.0028,1,0.000758
1086,1270.1989,1,0.000964
1089,1963.2563,2,0.001489
1090,1088.478,1,0.000833
1092,920.5581,1,0.000703
1094,1007.079,1,0.000769
1099,1143.9677,1,0.000865
1103,1068.3387,1,0.000807
1104,1005.7205,1,0.000761
1105,4102.1363,4,0.003116
1106,1106.5458,1,0.000859
1110,1091.9391,1,0.000841
1119,946.1508,1,0.00071
1121,1893.2272,2,0.001418
1126,1058.4271,1,0.000793
1128,895.4384,1,0.000671
1129,1037.6555,1,0.000778
1131,885.3458,1,0.000663
1135,1013.8616,1,0.000754
1139,2818.9283,3,0.002093
1140,1169.1629,1,0.00088
1141,1028.2384,1,0.000776
1147,1280.8536,1,0.000956
1153,1022.1701,1,0.000757
1154,1042.7099,1,0.000775
1156,935.2128,1,0.000693
