step,value
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
0,0.710713
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.835117
10,0.838305
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.844105
20,0.840126
20,0.83563
20,0.838305
20,0.84046
20,0.842822
20,0.84288
20,0.832292
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.85733
30,0.853572
30,0.842745
30,0.840126
30,0.838906
30,0.83778
30,0.83596
30,0.835362
30,0.83563
30,0.838305
30,0.798862
40,0.868045
40,0.868045
40,0.868045
40,0.868045
40,0.868045
40,0.868045
40,0.868045
40,0.868045
40,0.868045
40,0.868045
40,0.868045
40,0.865118
40,0.856104
40,0.853572
40,0.852268
40,0.850941
40,0.848232
40,0.846858
40,0.842745
40,0.840126
40,0.835056
40,0.836676
40,0.836676
40,0.842822
40,0.842822
40,0.844438
40,0.710713
40,0.710713
50,0.876279
50,0.876279
50,0.876279
50,0.876279
50,0.876279
50,0.876279
50,0.876279
50,0.876279
50,0.876279
50,0.876279
50,0.876279
50,0.874032
50,0.867095
50,0.865118
50,0.864089
50,0.863033
50,0.860837
50,0.859696
50,0.856104
50,0.853572
50,0.84548
50,0.841413
50,0.841413
50,0.83778
50,0.83778
50,0.836784
50,0.835117
50,0.835117
50,0.83563
50,0.844438
50,0.84288
50,0.710713
60,0.882644
60,0.882644
60,0.882644
60,0.882644
60,0.882644
60,0.882644
60,0.882644
60,0.882644
60,0.882644
60,0.882644
60,0.882644
60,0.880898
60,0.87555
60,0.874032
60,0.873243
60,0.872434
60,0.870748
60,0.869871
60,0.867095
60,0.865118
60,0.858527
60,0.854852
60,0.854852
60,0.850941
60,0.850941
60,0.849595
60,0.844105
60,0.844105
60,0.842745
60,0.836784
60,0.83596
60,0.835117
60,0.838305
60,0.84046
60,0.842822
60,0.844438
60,0.832292
60,0.832292
60,0.798862
60,0.798862
70,0.887648
70,0.887648
70,0.887648
70,0.887648
70,0.887648
70,0.887648
70,0.887648
70,0.887648
70,0.887648
70,0.887648
70,0.887648
70,0.886266
70,0.882076
70,0.880898
70,0.880286
70,0.87966
70,0.878359
70,0.877683
70,0.87555
70,0.874032
70,0.86897
70,0.86612
70,0.86612
70,0.863033
70,0.863033
70,0.861949
70,0.85733
70,0.85733
70,0.856104
70,0.849595
70,0.848232
70,0.844105
70,0.840126
70,0.838906
70,0.83778
70,0.836784
70,0.835362
70,0.835362
70,0.835056
70,0.835056
70,0.83563
70,0.844438
70,0.844438
70,0.844438
70,0.710713
80,0.89165
80,0.89165
80,0.89165
80,0.89165
80,0.89165
80,0.89165
80,0.89165
80,0.89165
80,0.89165
80,0.89165
80,0.89165
80,0.890538
80,0.887198
80,0.886266
80,0.885784
80,0.885291
80,0.88427
80,0.883741
80,0.882076
80,0.880898
80,0.87699
80,0.874801
80,0.874801
80,0.872434
80,0.872434
80,0.871602
80,0.868045
80,0.868045
80,0.867095
80,0.861949
80,0.860837
80,0.85733
80,0.853572
80,0.852268
80,0.850941
80,0.849595
80,0.846858
80,0.846858
80,0.84548
80,0.84548
80,0.842745
80,0.836784
80,0.836784
80,0.836784
80,0.835117
80,0.84046
80,0.844438
80,0.84288
80,0.84288
90,0.894902
90,0.894902
90,0.894902
