step,value
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.075539
10,0.089151
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.050524
20,0.055989
20,0.079572
20,0.089151
20,0.094913
20,0.10154
20,0.118638
20,0.130386
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.038516
30,0.041394
30,0.052213
30,0.055989
30,0.058107
30,0.060405
30,0.065632
30,0.06862
30,0.079572
30,0.089151
30,0.146343
40,0.031562
40,0.031562
40,0.031562
40,0.031562
40,0.031562
40,0.031562
40,0.031562
40,0.031562
40,0.031562
40,0.031562
40,0.031562
40,0.033316
40,0.039422
40,0.041394
40,0.042468
40,0.043607
40,0.046107
40,0.047482
40,0.052213
40,0.055989
40,0.071907
40,0.084079
40,0.084079
40,0.10154
40,0.10154
40,0.1093
40,0.171273
40,0.171273
50,0.027068
50,0.027068
50,0.027068
50,0.027068
50,0.027068
50,0.027068
50,0.027068
50,0.027068
50,0.027068
50,0.027068
50,0.027068
50,0.028238
50,0.032121
50,0.033316
50,0.033955
50,0.034625
50,0.036065
50,0.03684
50,0.039422
50,0.041394
50,0.048951
50,0.05403
50,0.05403
50,0.060405
50,0.060405
50,0.062904
50,0.075539
50,0.075539
50,0.079572
50,0.1093
50,0.118638
50,0.171273
60,0.023946
60,0.023946
60,0.023946
60,0.023946
60,0.023946
60,0.023946
60,0.023946
60,0.023946
60,0.023946
60,0.023946
60,0.023946
60,0.024776
60,0.027444
60,0.028238
60,0.028658
60,0.029095
60,0.030022
60,0.030514
60,0.032121
60,0.033316
60,0.037656
60,0.04038
60,0.04038
60,0.043607
60,0.043607
60,0.044818
60,0.050524
60,0.050524
60,0.052213
60,0.062904
60,0.065632
60,0.075539
60,0.089151
60,0.094913
60,0.10154
60,0.1093
60,0.130386
60,0.130386
60,0.146343
60,0.146343
70,0.021664
70,0.021664
70,0.021664
70,0.021664
70,0.021664
70,0.021664
70,0.021664
70,0.021664
70,0.021664
70,0.021664
70,0.021664
70,0.02228
70,0.024214
70,0.024776
70,0.025071
70,0.025376
70,0.026018
70,0.026356
70,0.027444
70,0.028238
70,0.031027
70,0.032705
70,0.032705
70,0.034625
70,0.034625
70,0.035327
70,0.038516
70,0.038516
70,0.039422
70,0.044818
70,0.046107
70,0.050524
70,0.055989
70,0.058107
70,0.060405
70,0.062904
70,0.06862
70,0.06862
70,0.071907
70,0.071907
70,0.079572
70,0.1093
70,0.1093
70,0.1093
70,0.171273
80,0.019932
80,0.019932
80,0.019932
80,0.019932
80,0.019932
80,0.019932
80,0.019932
80,0.019932
80,0.019932
80,0.019932
80,0.019932
80,0.020405
80,0.021863
80,0.02228
80,0.022498
80,0.022721
80,0.023189
80,0.023434
80,0.024214
80,0.024776
80,0.026706
80,0.027833
80,0.027833
80,0.029095
80,0.029095
80,0.029549
80,0.031562
80,0.031562
80,0.032121
80,0.035327
80,0.036065
80,0.038516
80,0.041394
80,0.042468
80,0.043607
80,0.044818
80,0.047482
80,0.047482
80,0.048951
80,0.048951
80,0.052213
80,0.062904
80,0.062904
80,0.062904
80,0.075539
80,0.094913
80,0.1093
80,0.118638
80,0.118638
90,0.01858
90,0.01858
90,0.01858
90,0.01858
90,0.01858
90,0.01858
90,0.01858
90,0.01858
90,0.01858
90,0.01858
90,0.01858
90,0.018953
90,0.020086
90,0.020405
90,0.020571
90,0.020742
90,0.021096
90,0.02128
90,0.021863
90,0.02228
90,0.023686
90,0.024491
90,0.024491
90,0.025376
90,0.025376
90,0.025692
90,0.027068
90,0.027068
90,0.027444
90,0.029549
90,0.030022
90,0.031562
90,0.033316
90,0.033955
90,0.034625
90,0.035327
90,0.03684
90,0.03684
90,0.037656
90,0.037656
90,0.039422
90,0.044818
90,0.044818
90,0.044818
90,0.050524
90,0.058107
90,0.062904
90,0.065632
90,0.065632
90,0.094913
90,0.10154
90,0.1093
90,0.118638
90,0.130386
90,0.130386
100,0.0175
100,0.0175
100,0.0175
100,0.0175
100,0.0175
100,0.0175
100,0.0175
100,0.0175
100,0.0175
100,0.0175
100,0.0175
100,0.0178
100,0.018701
100,0.018953
100,0.019083
100,0.019216
100,0.019492
100,0.019635
100,0.020086
100,0.020405
100,0.021469
100,0.022069
100,0.022069
100,0.022721
100,0.022721
100,0.022952
100,0.023946
100,0.023946
100,0.024214
100,0.025692
100,0.026018
100,0.027068
