step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,11,11,1,24.5967,0.0,0,38.7464,0,0.0,0.0,0,0,131.9048,93.7464,93.1584,8.5224,0.171273
1,11,11,0,32.1125,0.0,0,35.4351,0,0.0,0.0,0,0,160.7369,128.4066,87.3304,11.6733,0.146343
2,11,11,0,37.5829,0.0,0,34.8204,0,0.0,0.0,0,0,194.3534,161.7589,87.5946,14.7054,0.130386
3,12,12,1,44.4184,0.0,0,39.2824,0,0.0,0.0,0,0,243.7964,203.9061,99.8902,16.9922,0.123024
4,12,12,0,49.279,0.0,0,40.8403,0,0.0,0.0,0,0,287.2139,241.8683,105.3455,20.1557,0.112387
5,12,12,0,53.737,0.0,0,43.1968,0,0.0,0.0,0,0,334.1319,281.4278,112.7041,23.4523,0.103944
6,12,12,0,58.0007,0.0,0,46.0322,0,0.0,0.0,0,0,384.2899,323.0314,121.2585,26.9193,0.09689
7,12,12,0,62.1624,0.0,0,49.1592,0,0.0,0.0,0,0,437.5233,366.93,130.5933,30.5775,0.09083
8,12,12,0,66.2677,0.0,0,52.4653,0,0.0,0.0,0,0,493.7151,413.2567,140.4585,34.4381,0.085534
9,12,12,0,70.339,0.0,0,55.8816,0,0.0,0.0,0,0,552.7731,462.0731,150.7,38.5061,0.08085
10,12,12,0,74.3877,0.0,0,59.3653,0,0.0,0.0,0,0,614.6176,513.397,161.2206,42.7831,0.076673
11,13,13,1,80.655,0.0,0,66.4115,0,0.0,0.0,0,0,691.1671,575.7405,180.4266,44.2877,0.080487
12,13,13,0,85.354,0.0,0,69.6566,0,0.0,0.0,0,0,760.9906,635.1823,190.8084,48.8602,0.075441
13,14,14,1,92.0879,0.0,0,76.6798,0,0.0,0.0,0,0,845.817,705.4585,210.3585,50.3899,0.078511
