step,value
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,11.067107
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,20.176424
20,12.766546
20,11.067107
20,10.267949
20,9.521906
20,8.311026
20,7.963142
30,32.890792
30,31.913723
30,16.760282
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,30.029347
30,22.111534
30,20.176424
30,19.218148
30,18.266906
30,16.388736
30,15.46388
30,16.3449
30,15.070347
30,10.334527
40,35.233805
40,34.906483
40,10.768214
40,41.842406
40,41.842406
40,41.842406
40,41.842406
40,38.966368
40,38.966368
40,38.966368
40,38.966368
40,10.630104
40,32.037896
40,30.029347
40,29.028269
40,28.029733
40,26.041612
40,25.052735
40,25.057894
40,23.754674
40,19.710306
40,20.735636
40,20.735636
40,18.595082
40,18.595082
40,16.742041
40,9.100816
40,9.160119
50,38.19244
50,14.870452
50,14.110496
50,13.80615
50,52.205937
50,52.205937
50,52.205937
50,45.757265
50,45.757265
50,45.757265
50,42.133879
50,49.354797
50,42.139254
50,40.117515
50,39.106159
50,38.094752
50,36.072655
50,35.062419
50,34.18991
50,32.885798
50,28.8131
50,29.451044
50,29.451044
50,27.801446
50,27.801446
50,27.039932
50,24.147865
50,24.467181
50,23.743186
50,22.508209
50,17.813145
50,11.032712
60,45.10362
60,44.793852
60,51.664156
60,44.230425
60,43.774148
60,43.774148
60,43.774148
60,16.729289
60,16.729289
60,32.524175
60,16.653674
60,16.596076
60,52.181449
60,50.186242
60,49.18563
60,48.183203
60,46.173503
60,45.166545
60,43.458963
60,42.183728
60,38.178785
60,38.254597
60,38.254597
60,36.694588
60,36.694588
60,35.841843
60,33.165273
60,33.455537
60,32.756136
60,32.873038
60,29.417102
60,30.85271
60,28.660398
60,27.115938
60,26.415574
60,21.047714
60,19.038741
60,19.756131
60,9.745279
60,13.431191
70,68.892626
70,62.687515
70,76.9818
70,75.341269
70,60.611319
70,52.636051
70,40.483363
70,75.060493
70,75.060493
70,21.181497
70,74.719351
70,70.251625
70,59.526497
70,60.063242
70,59.087912
70,58.109538
70,56.144076
70,55.157207
70,52.66896
70,51.442382
70,47.574139
70,47.07266
70,47.07266
70,45.619256
70,45.619256
70,44.673652
70,42.158462
70,42.408358
70,41.726114
70,41.545747
70,38.580406
70,39.686893
70,38.061458
70,36.851189
70,36.700619
70,32.236634
70,32.674382
70,33.681763
70,28.857213
70,32.625967
70,30.580524
70,21.19705
70,20.288993
70,18.59783
70,9.630335
80,81.580477
80,80.458299
80,62.180926
80,85.879529
80,71.289715
80,61.924672
80,61.753259
80,60.244043
80,86.430071
80,60.381817
80,86.059206
80,75.32263
80,71.589656
80,69.628895
80,68.688921
80,67.745058
80,65.845953
80,64.890859
80,61.681822
80,60.516964
80,56.831168
80,55.759485
80,55.759485
80,54.425848
80,54.425848
80,53.399804
80,51.077493
80,51.281653
80,50.626809
80,50.100358
80,47.678211
80,48.291201
80,46.824123
80,45.688571
80,45.553364
80,41.549739
80,41.803373
80,42.70665
80,38.343936
80,41.78032
80,39.957053
80,34.756199
80,35.04118
80,35.104127
80,37.081179
80,33.72508
80,26.549592
80,23.90648
80,26.549588
90,30.058782
90,98.05309
90,56.382883
90,30.014836
90,82.308234
90,71.554307
90,71.392633
90,30.810674
90,30.07945
90,30.953703
90,86.944099
90,66.370931
90,81.998026
90,78.801353
90,77.903516
90,77.001236
90,75.183528
90,74.268196
90,70.400293
90,69.305448
90,65.831581
90,64.20952
90,64.20952
90,63.002504
90,63.002504
90,61.907528
90,59.797427
90,59.953134
90,59.33274
90,58.449023
90,56.601621
90,56.697305
90,55.390292
90,54.341022
90,54.209611
90,50.735235
90,50.751895
90,51.525616
90,47.655592
90,50.669866
90,48.917605
90,44.323977
90,44.637521
90,44.812418
90,46.749947
90,44.739617
90,38.837623
90,41.517674
90,42.528825
90,31.290656
90,35.901895
90,22.097132
90,20.96166
90,22.627806
90,20.21842
100,123.739528
100,121.065988
100,118.672944
100,118.504934
100,106.462989
100,93.039509
100,37.183406
100,113.711041
100,113.795088
100,113.527186
100,98.467677
100,106.844595
100,91.834567
100,87.527024
100,86.675621
100,85.819439
100,84.092841
100,83.222481
100,78.757398
100,77.737349
100,74.49302
100,72.348333
100,72.348333
100,71.27027
100,71.27027
100,70.11675
100,68.228569
100,68.334919
100,67.753499
100,66.512681
100,65.250252
100,64.824315
100,63.679312
100,62.725894
100,62.594929
100,59.692732
100,59.465361
100,60.098007
100,56.773741
100,59.318339
100,57.653358
100,53.662611
100,53.980386
100,54.166313
100,55.838441
100,54.06149
100,48.578277
100,51.134561
100,52.073281
100,42.850509
100,48.418211
100,41.434037
100,39.983621
100,45.59022
100,45.49163
100,38.834047
100,36.856138
100,10.200726
110,110.209208
110,124.642101
110,92.757306
110,92.102692
110,119.775397
110,113.077632
110,70.108522
110,40.233693
110,116.378063
110,69.510327
110,102.05329
110,108.593375
110,101.087015
110,95.773787
110,94.97122
110,94.163705
110,92.533876
110,91.711587
110,86.709187
110,85.766109
110,82.760101
110,80.125258
110,80.125258
110,79.175254
110,79.175254
110,77.972474
110,76.308949
110,76.366318
110,75.826513
110,74.236398
110,73.554088
110,72.614647
110,71.629732
110,70.777487
110,70.644462
110,68.334177
110,67.863518
110,68.349618
110,65.59895
110,67.649232
110,66.083752
110,62.714598
110,63.030008
110,63.222355
110,64.586465
110,63.025789
110,58.022889
110,60.322801
110,61.199438
110,52.795624
110,58.104817
110,51.576429
110,50.193062
110,55.636342
110,55.590478
110,49.327476
110,51.141735
110,48.776436
110,33.92896
110,34.193692
110,31.669923
110,34.274754
110,28.749693
110,29.858379
110,28.271273
110,27.875019
110,16.306544
110,10.148218
120,45.744557
120,81.216926
120,129.404495
120,134.103553
120,143.894584
120,141.26645
120,114.199706
120,99.00807
120,137.864448
120,112.974728
120,134.955219
120,126.257011
120,94.834854
120,103.52585
120,102.773084
120,102.015328
120,100.484845
120,99.71212
120,94.229379
120,93.363504
120,90.598036
120,87.507978
120,87.507978
120,86.68285
120,86.68285
120,85.439045
120,83.997862
120,84.007525
120,83.510559
120,81.58417
120,81.466556
120,80.030289
120,79.200781
120,78.451824
120,78.314827
120,76.599329
120,75.891176
120,76.229583
120,74.061553
120,75.609304
120,74.15068
120,71.404232
120,71.712491
120,71.908643
120,72.940768
120,71.590753
120,67.113442
120,69.120256
120,69.927545
120,62.386806
120,67.338183
120,61.255193
120,59.965124
120,65.089869
120,65.06263
120,59.115746
120,61.138729
120,59.571169
120,46.948038
120,47.75502
120,44.385388
120,48.439602
120,48.31925
120,49.761229
120,45.537685
120,45.06076
120,44.942227
120,48.724696
120,46.554751
120,31.687418
120,30.579894
120,25.09775
120,10.728564
130,133.337201
130,87.520407
130,129.506175
130,127.617129
130,84.451569
130,46.981917
130,83.884593
130,83.921956
130,122.474643
