step,value
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.351841
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.252993
20,0.323337
20,0.351841
20,0.369993
20,0.392696
20,0.467906
20,0.541513
30,0.217749
30,0.215203
30,0.110651
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.205816
30,0.241122
30,0.252993
30,0.259558
30,0.266605
30,0.28238
30,0.291259
30,0.224243
30,0.229027
30,0.222371
40,0.165304
40,0.166392
40,0.05
40,0.186238
40,0.186238
40,0.186238
40,0.186238
40,0.175674
40,0.175674
40,0.175674
40,0.175674
40,0.05
40,0.199164
40,0.205816
40,0.20941
40,0.2132
40,0.221439
40,0.225925
40,0.19313
40,0.196676
40,0.208994
40,0.170736
40,0.170736
40,0.168065
40,0.168065
40,0.15048
40,0.18196
40,0.169916
50,0.134357
50,0.05
50,0.05
50,0.05
50,0.17935
50,0.17935
50,0.17935
50,0.161575
50,0.161575
50,0.161575
50,0.148166
50,0.172985
50,0.173911
50,0.17811
50,0.180347
50,0.182681
50,0.187673
50,0.190345
50,0.171567
50,0.173979
50,0.182395
50,0.158825
50,0.158825
50,0.16073
50,0.16073
50,0.157625
50,0.162652
50,0.160167
50,0.161149
50,0.127216
50,0.13951
50,0.062375
60,0.138511
60,0.137212
60,0.153389
60,0.132448
60,0.13259
60,0.13259
60,0.13259
60,0.05
60,0.05
60,0.099861
60,0.05
60,0.05
60,0.157203
60,0.16007
60,0.161582
60,0.163149
60,0.166464
60,0.168218
60,0.156308
60,0.157999
60,0.163838
60,0.147807
60,0.147807
60,0.149306
60,0.149306
60,0.147322
60,0.151889
60,0.150085
60,0.151073
60,0.133688
60,0.152496
60,0.130436
60,0.128816
60,0.129667
60,0.124831
60,0.141696
60,0.111885
60,0.106032
60,0.074804
60,0.073682
70,0.166419
70,0.151285
70,0.177273
70,0.177679
70,0.147496
70,0.126773
70,0.095591
70,0.16948
70,0.16948
70,0.05
70,0.169481
70,0.164168
70,0.153557
70,0.147483
70,0.148565
70,0.149682
70,0.152026
70,0.153256
70,0.145128
70,0.146353
70,0.150543
70,0.139
70,0.139
70,0.140119
70,0.140119
70,0.138713
70,0.142205
70,0.140862
70,0.14164
70,0.12855
70,0.143004
70,0.126685
70,0.127355
70,0.129556
70,0.127992
70,0.147083
70,0.136606
70,0.131547
70,0.151608
70,0.132242
70,0.133115
70,0.122384
70,0.114057
70,0.179985
70,0.113582
80,0.157027
80,0.156633
80,0.127456
80,0.163861
80,0.141155
80,0.121917
80,0.122087
80,0.123961
80,0.161597
80,0.123202
80,0.161625
80,0.14876
80,0.144584
80,0.138258
80,0.139066
80,0.139897
80,0.141632
80,0.142536
80,0.136672
80,0.137585
80,0.140684
80,0.131984
80,0.131984
80,0.132816
80,0.132816
80,0.131761
80,0.134451
80,0.133418
80,0.13403
80,0.12376
80,0.135061
80,0.122329
80,0.122934
80,0.124774
80,0.123554
80,0.138528
80,0.130765
80,0.126774
80,0.142635
80,0.12766
80,0.129276
80,0.140513
80,0.139279
80,0.138598
80,0.121061
80,0.116314
80,0.127432
80,0.090312
80,0.096198
90,0.05
90,0.157362
90,0.092524
90,0.05
90,0.135901
90,0.117864
90,0.117995
90,0.05
90,0.05
90,0.05
90,0.14435
90,0.111209
90,0.13565
90,0.131244
90,0.131868
90,0.132507
90,0.133835
90,0.134525
90,0.130104
90,0.1308
90,0.13315
90,0.126344
90,0.126344
90,0.126964
90,0.126964
90,0.126135
90,0.128239
90,0.127421
90,0.127907
90,0.119598
90,0.128649
90,0.118425
90,0.118915
90,0.120444
90,0.11944
90,0.131396
90,0.125348
90,0.122138
90,0.134641
90,0.122875
90,0.124253
90,0.133277
90,0.132354
90,0.132146
90,0.118654
90,0.118553
90,0.133704
90,0.120193
90,0.118503
90,0.131237
90,0.109042
90,0.091905
90,0.094705
90,0.072432
90,0.064425
100,0.161319
100,0.161108
100,0.161337
100,0.157572
100,0.15037
100,0.132008
100,0.05
100,0.156175
100,0.153759
100,0.155579
100,0.140261
100,0.144557
100,0.128902
100,0.125761
100,0.126254
100,0.126758
100,0.127802
100,0.128343
100,0.124889
100,0.125429
