# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
0,11,0,0,131.9048,93.7464,93.1584,0.0,0.710713,0.993727,0.0,0.0,0,0.0
1,11,0,0,160.7369,128.4066,87.3304,0.0,0.798862,0.680108,0.0,0.0,0,0.0
2,11,0,0,194.3534,161.7589,87.5946,0.0,0.832292,0.541513,0.0,0.0,0,0.0
3,12,0,0,243.7964,203.9061,99.8902,0.0,0.836379,0.489883,0.0,0.0,0,0.0
4,12,0,0,287.2139,241.8683,105.3455,0.0,0.842119,0.435549,0.0,0.0,0,0.0
5,12,0,0,334.1319,281.4278,112.7041,0.0,0.842266,0.400473,0.0,0.0,0,0.0
6,12,0,0,384.2899,323.0314,121.2585,0.0,0.840593,0.375377,0.0,0.0,0,0.0
7,12,0,0,437.5233,366.93,130.5933,0.0,0.838652,0.355908,0.0,0.0,0,0.0
8,12,0,0,493.7151,413.2567,140.4585,0.0,0.837035,0.339882,0.0,0.0,0,0.0
9,12,0,0,552.7731,462.0731,150.7,0.0,0.835918,0.326139,0.0,0.0,0,0.0
10,12,0,0,614.6176,513.397,161.2206,0.0,0.835311,0.314027,0.0,0.0,0,0.0
11,13,0,0,691.1671,575.7405,180.4266,0.0,0.832998,0.313382,0.0,0.0,0,0.0
12,13,0,0,760.9906,635.1823,190.8084,0.0,0.834678,0.300399,0.0,0.0,0,0.0
13,14,0,0,845.817,705.4585,210.3585,0.0,0.834056,0.298187,0.0,0.0,0,0.0
14,15,0,0,936.1226,781.2951,229.8276,0.0,0.834608,0.294162,0.0,0.0,0,0.0
15,16,0,0,1032.2315,862.6053,249.6262,0.0,0.83567,0.289386,0.0,0.0,0,0.0
16,16,0,0,1122.4093,940.8857,261.5236,0.0,0.838273,0.277955,0.0,0.0,0,0.0
17,17,0,0,1228.2399,1030.1096,283.1303,0.0,0.838688,0.274855,0.0,0.0,0,0.0
18,18,0,0,1340.1201,1125.1381,304.982,0.0,0.83958,0.271062,0.0,0.0,0,0.0
19,18,0,0,1446.334,1217.4384,318.8956,0.0,0.841741,0.26194,0.0,0.0,0,0.0
20,18,0,0,1556.4764,1312.4423,334.0341,0.0,0.843214,0.254513,0.0,0.0,0,0.0
21,19,1,0,1709.822,1437.7423,339.5597,27.52,0.840873,0.236176,0.016095,1.0,0,0.0
22,19,1,0,1832.9381,1536.9604,363.4578,27.52,0.838523,0.236478,0.015014,1.0,0,0.0
23,20,2,0,2000.7905,1670.1778,373.6598,56.9529,0.834759,0.223725,0.028465,0.500564,0,0.0
24,20,2,0,2136.4773,1777.198,402.3264,56.9529,0.831836,0.226382,0.026657,0.500564,0,0.0
25,20,2,0,2275.3519,1890.703,427.6961,56.9529,0.83095,0.22621,0.02503,0.500564,0,0.0
26,20,2,0,2417.4776,2009.5366,450.9882,56.9529,0.831253,0.224424,0.023559,0.500564,0,0.0
27,20,2,0,2562.8573,2132.9235,472.981,56.9529,0.832244,0.221752,0.022222,0.500564,0,0.0
28,20,2,0,2711.4552,2260.3325,494.1698,56.9529,0.833623,0.218627,0.021005,0.500564,0,0.0
29,21,3,0,2910.2312,2423.9061,499.3433,91.9818,0.832891,0.206008,0.031606,0.336933,0,0.0
30,21,3,0,3071.5456,2555.2359,529.3278,91.9818,0.831906,0.207154,0.029946,0.336933,0,0.0
31,21,3,0,3235.733,2692.6539,556.0973,91.9818,0.832162,0.206524,0.028427,0.336933,0,0.0
32,23,7,0,3577.7741,2955.4851,494.3454,242.9435,0.826068,0.167264,0.067904,0.144829,0,0.0
33,23,7,0,3766.4879,3080.4843,558.0601,242.9435,0.817867,0.18116,0.064501,0.144829,0,0.0
34,23,7,0,3957.0307,3221.5591,607.5281,242.9435,0.814135,0.188582,0.061395,0.144829,0,0.0
35,25,11,0,4335.4012,3501.8267,554.0648,404.5097,0.807728,0.158222,0.093304,0.092123,0,0.0
36,26,11,0,4562.2225,3647.7694,639.9435,404.5097,0.79956,0.175434,0.088665,0.092123,0,0.0
37,26,13,0,4870.3825,3869.1411,637.6177,493.6236,0.794422,0.164796,0.101352,0.078159,0,0.0
38,26,13,0,5099.3096,4026.6039,709.0821,493.6236,0.789637,0.176099,0.096802,0.078159,0,0.0
39,26,13,0,5330.0983,4201.5452,764.9295,493.6236,0.788268,0.182059,0.092611,0.078159,0,0.0
40,28,15,0,5675.3852,4466.3777,767.1806,581.8269,0.786973,0.171768,0.102518,0.067772,0,0.0
