# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,8.5224,0.0,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224
0,actif_liquide,11,8.4689,0.0,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.9937,0.0,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937
0,taux_interne,11,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
0,levier_entite,11,0.7107,0.0,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107
10,passif_total,12,42.7831,3.4156,31.4548,43.8129,43.8129,43.8129,43.8129,43.8129,43.8129,43.8129
10,actif_liquide,12,13.4351,0.714,11.0671,13.6503,13.6503,13.6503,13.6503,13.6503,13.6503,13.6503
10,actif_total,12,51.2181,4.1296,37.5219,52.4632,52.4632,52.4632,52.4632,52.4632,52.4632,52.4632
10,ratio_L_P,12,0.3149,0.0111,0.3116,0.3116,0.3116,0.3116,0.3116,0.3116,0.3474,0.3518
10,taux_interne,12,0.0767,0.0038,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0877,0.0892
10,levier_entite,12,0.8354,0.0009,0.8351,0.8351,0.8351,0.8351,0.8351,0.8351,0.838,0.8383
20,passif_total,18,72.9135,33.8361,14.7054,22.3019,33.4621,97.9351,97.9351,97.9351,97.9351,97.9351
20,actif_liquide,18,18.5574,6.1714,7.9631,9.1586,11.492,23.0873,23.0873,23.0873,23.0873,23.0873
20,actif_total,18,86.4709,40.0063,17.6685,26.4605,39.954,116.0224,116.0224,116.0224,116.0224,116.0224
20,ratio_L_P,18,0.2941,0.0914,0.2357,0.2357,0.2357,0.2357,0.3447,0.4153,0.529,0.5415
20,taux_interne,18,0.0681,0.0262,0.0505,0.0505,0.0505,0.0505,0.0868,0.1067,0.1284,0.1304
20,levier_entite,18,0.8421,0.0034,0.8323,0.8375,0.8411,0.8441,0.8441,0.8441,0.8441,0.8441
30,passif_total,21,121.6779,47.9421,46.4743,58.038,72.8892,148.2961,168.5262,168.5262,168.5262,168.5262
30,actif_liquide,21,25.2061,8.1186,10.3345,15.4639,16.7603,30.0293,33.0448,33.0448,33.0448,33.0448
30,actif_total,21,146.2641,58.8052,51.8089,69.4267,84.2341,196.5709,196.5709,198.2585,206.0964,206.4598
30,ratio_L_P,21,0.2185,0.0385,0.1107,0.1961,0.1961,0.2152,0.2411,0.2666,0.2895,0.2913
30,taux_interne,21,0.0489,0.0118,0.0385,0.0385,0.0385,0.0411,0.0586,0.0656,0.0724,0.0733
30,levier_entite,21,0.8378,0.0425,0.7247,0.764,0.8378,0.8573,0.8573,0.8653,0.8911,0.897
40,passif_total,28,159.5135,56.43,50.0154,105.7429,116.0155,142.2617,221.811,224.6719,224.6719,224.6719
40,actif_liquide,28,27.3993,10.6683,9.1008,10.7268,19.4315,27.0357,38.9664,41.8424,41.8424,41.8424
40,actif_total,28,202.6923,86.7503,54.1162,118.8057,135.6238,166.7905,296.9404,300.1502,315.0677,315.6536
40,ratio_L_P,28,0.1762,0.0394,0.05,0.1609,0.1695,0.1788,0.1973,0.2105,0.2247,0.2259
40,taux_interne,28,0.0421,0.0096,0.0334,0.0334,0.0336,0.0419,0.0464,0.0487,0.07,0.0707
40,levier_entite,28,0.8174,0.0744,0.6692,0.738,0.7503,0.8496,0.8709,0.8948,0.9272,0.9284
50,passif_total,32,220.8287,55.0404,127.6836,153.2811,175.9,203.9054,283.1954,290.5066,295.4482,297.409
50,actif_liquide,32,33.0655,11.7679,11.0327,15.1647,24.3874,33.5379,42.1352,48.995,52.2059,52.2059
50,actif_total,32,286.4478,107.402,140.4967,173.1829,195.438,235.0477,415.164,424.3453,444.2089,446.272
50,ratio_L_P,32,0.1518,0.04,0.05,0.0689,0.1553,0.1616,0.1784,0.1822,0.1895,0.1903
50,taux_interne,32,0.0345,0.0044,0.029,0.0293,0.0297,0.035,0.0377,0.0404,0.0433,0.0442
50,levier_entite,32,0.8076,0.1007,0.637,0.6771,0.6875,0.8646,0.8835,0.8871,0.9493,0.967
60,passif_total,40,264.7241,58.8837,130.2775,185.918,221.4563,262.9009,327.3799,333.1606,335.9468,336.817
60,actif_liquide,40,34.3679,11.6613,9.7453,16.7217,26.9408,36.2682,43.8882,48.2834,51.9797,52.1814
60,actif_total,40,356.0007,147.1876,135.0228,200.0417,246.4257,298.12,555.0758,571.8711,604.3007,607.3418
60,ratio_L_P,40,0.1304,0.0343,0.05,0.0713,0.1278,0.1401,0.1527,0.1617,0.1675,0.1682
60,taux_interne,40,0.0314,0.004,0.0272,0.0274,0.0276,0.0308,0.0336,0.0367,0.0427,0.0438
