step,value
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
0,11.991347
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,52.463238
10,37.521942
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,116.022363
20,94.927374
20,47.250306
20,37.521942
20,33.019703
20,28.7694
20,21.073183
20,17.668492
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,196.570947
30,170.933124
30,108.814025
30,94.927374
30,88.259915
30,81.783653
30,69.426717
30,63.557081
30,47.250306
30,37.521942
30,14.612449
40,289.108958
40,289.108958
40,289.108958
40,289.108958
40,289.108958
40,289.108958
40,289.108958
40,289.108958
40,289.108958
40,289.108958
40,289.108958
40,260.357066
40,187.899477
40,170.933124
40,162.647873
40,154.50112
40,138.643195
40,130.94224
40,108.814025
40,94.927374
40,57.900724
40,42.267795
40,42.267795
40,28.7694
40,28.7694
40,24.781946
40,11.991347
40,11.991347
50,389.390665
50,389.390665
50,389.390665
50,389.390665
50,389.390665
50,389.390665
50,389.390665
50,389.390665
50,389.390665
50,389.390665
50,389.390665
50,358.713061
50,279.443031
50,260.357066
50,250.945026
50,241.62575
50,223.2824
50,214.266986
50,187.899477
50,170.933124
50,123.400207
50,101.780559
50,101.780559
50,81.783653
50,81.783653
50,75.504084
50,52.463238
50,52.463238
50,47.250306
50,24.781946
50,21.073183
50,11.991347
60,493.968878
60,493.968878
60,493.968878
60,493.968878
60,493.968878
60,493.968878
60,493.968878
60,493.968878
60,493.968878
60,493.968878
60,493.968878
60,462.31921
60,379.118279
60,358.713061
60,348.586644
60,338.515424
60,318.552248
60,308.667321
60,279.443031
60,260.357066
60,205.361656
60,179.351944
60,179.351944
60,154.50112
60,154.50112
60,146.497869
60,116.022363
60,116.022363
60,108.814025
60,75.504084
60,69.426717
60,52.463238
60,37.521942
60,33.019703
60,28.7694
60,24.781946
60,17.668492
60,17.668492
60,14.612449
60,14.612449
70,600.12162
70,600.12162
70,600.12162
70,600.12162
70,600.12162
70,600.12162
70,600.12162
70,600.12162
70,600.12162
70,600.12162
70,600.12162
70,568.246358
70,483.400514
70,462.31921
70,451.811293
70,441.328655
70,420.449984
70,410.059504
70,379.118279
70,358.713061
70,298.851653
70,269.857748
70,269.857748
70,241.62575
70,241.62575
70,232.403446
70,196.570947
70,196.570947
70,187.899477
70,146.497869
70,138.643195
70,116.022363
70,94.927374
70,88.259915
70,81.783653
70,75.504084
70,63.557081
70,63.557081
70,57.900724
70,57.900724
70,47.250306
70,24.781946
70,24.781946
70,24.781946
70,11.991347
80,705.748179
80,705.748179
80,705.748179
80,705.748179
80,705.748179
80,705.748179
80,705.748179
80,705.748179
80,705.748179
80,705.748179
80,705.748179
80,674.218658
80,589.499745
80,568.246358
80,557.618692
80,546.99303
80,525.756015
80,515.148952
80,483.400514
80,462.31921
80,399.705414
80,368.891355
80,368.891355
80,338.515424
80,338.515424
80,328.5028
80,289.108958
80,289.108958
80,279.443031
80,232.403446
80,223.2824
80,196.570947
80,170.933124
80,162.647873
80,154.50112
80,146.497869
80,130.94224
80,130.94224
80,123.400207
80,123.400207
80,108.814025
80,75.504084
80,75.504084
80,75.504084
80,52.463238
80,33.019703
80,24.781946
80,21.073183
80,21.073183
90,809.264677
90,809.264677
90,809.264677
90,809.264677
90,809.264677
90,809.264677
90,809.264677
90,809.264677
90,809.264677
90,809.264677
90,809.264677
90,778.507661
90,695.257943
90,674.218658
90,663.672483
90,653.110609
90,631.946007
90,621.346517
90,589.499745
90,568.246358
90,504.552475
90,472.849798
90,472.849798
90,441.328655
90,441.328655
90,430.873971
90,389.390665
90,389.390665
90,379.118279
90,328.5028
90,318.552248
90,289.108958
90,260.357066
90,250.945026
90,241.62575
90,232.403446
90,214.266986
90,214.266986
90,205.361656
90,205.361656
90,187.899477
90,146.497869
90,146.497869
90,146.497869
90,116.022363
90,88.259915
90,75.504084
90,69.426717
90,69.426717
90,33.019703
90,28.7694
90,24.781946
90,21.073183
90,17.668492
90,17.668492
100,909.509416
100,909.509416
100,909.509416
100,909.509416
100,909.509416
100,909.509416
100,909.509416
100,909.509416
100,909.509416
100,909.509416
100,909.509416
100,879.834214
100,799.044004
100,778.507661
100,768.194075
100,757.851663
100,737.084925
100,726.662979
100,695.257943
100,674.218658
100,610.737808
100,578.874026
100,578.874026
100,546.99303
100,546.99303
100,536.371433
100,493.968878
100,493.968878
100,483.400514
100,430.873971
100,420.449984
100,389.390665
100,358.713061
100,348.586644
100,338.515424
100,328.5028
100,308.667321
