step,value
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
0,8.522404
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,43.81292
10,31.454835
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,97.935091
20,79.75095
20,39.48376
20,31.454835
20,27.751754
20,24.247494
20,17.762157
20,14.70535
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,168.526164
30,145.903777
30,91.702491
30,79.75095
30,74.041767
30,68.516747
30,58.037981
30,53.093201
30,39.48376
30,31.454835
30,11.673325
40,250.959713
40,250.959713
40,250.959713
40,250.959713
40,250.959713
40,250.959713
40,250.959713
40,250.959713
40,250.959713
40,250.959713
40,250.959713
40,225.239551
40,160.861582
40,145.903777
40,138.619604
40,131.471387
40,117.601583
40,110.889504
40,91.702491
40,79.75095
40,48.35033
40,35.364469
40,35.364469
40,24.247494
40,24.247494
40,20.92682
40,8.522404
40,8.522404
50,341.214893
50,341.214893
50,341.214893
50,341.214893
50,341.214893
50,341.214893
50,341.214893
50,341.214893
50,341.214893
50,341.214893
50,341.214893
50,313.526819
50,242.303778
50,225.239551
50,216.838867
50,208.530998
50,192.209745
50,184.204566
50,160.861582
50,145.903777
50,104.332389
50,85.639481
50,85.639481
50,68.516747
50,68.516747
50,63.180622
50,43.81292
50,43.81292
50,39.48376
50,20.92682
50,17.762157
50,8.522404
60,435.998893
60,435.998893
60,435.998893
60,435.998893
60,435.998893
60,435.998893
60,435.998893
60,435.998893
60,435.998893
60,435.998893
60,435.998893
60,407.255969
60,331.93683
60,313.526819
60,304.401014
60,295.332222
60,277.378745
60,268.500776
60,242.303778
60,225.239551
60,176.308611
60,153.319289
60,153.319289
60,131.471387
60,131.471387
60,124.463803
60,97.935091
60,97.935091
60,91.702491
60,63.180622
60,58.037981
60,43.81292
60,31.454835
60,27.751754
60,24.247494
60,20.92682
60,14.70535
60,14.70535
60,11.673325
60,11.673325
70,532.696785
70,532.696785
70,532.696785
70,532.696785
70,532.696785
70,532.696785
70,532.696785
70,532.696785
70,532.696785
70,532.696785
70,532.696785
70,503.617463
70,426.396142
70,407.255969
70,397.723381
70,388.219116
70,369.305907
70,359.902297
70,331.93683
70,313.526819
70,259.693252
70,233.729135
70,233.729135
70,208.530998
70,208.530998
70,200.319936
70,168.526164
70,168.526164
70,160.861582
70,124.463803
70,117.601583
70,97.935091
70,79.75095
70,74.041767
70,68.516747
70,63.180622
70,53.093201
70,53.093201
70,48.35033
70,48.35033
70,39.48376
70,20.92682
70,20.92682
70,20.92682
70,8.522404
80,629.280387
80,629.280387
80,629.280387
80,629.280387
80,629.280387
80,629.280387
80,629.280387
80,629.280387
80,629.280387
80,629.280387
80,629.280387
80,600.417305
80,523.002829
80,503.617463
80,493.929771
80,484.247972
80,464.910062
80,455.258093
80,426.396142
80,407.255969
80,350.537682
80,322.70646
80,322.70646
80,295.332222
80,295.332222
80,286.323692
80,250.959713
80,250.959713
80,242.303778
80,200.319936
80,192.209745
80,168.526164
80,145.903777
80,138.619604
80,131.471387
80,124.463803
80,110.889504
80,110.889504
80,104.332389
80,104.332389
80,91.702491
80,63.180622
80,63.180622
80,63.180622
80,43.81292
80,27.751754
80,20.92682
80,17.762157
80,17.762157
90,724.212344
90,724.212344
90,724.212344
90,724.212344
90,724.212344
90,724.212344
90,724.212344
90,724.212344
90,724.212344
90,724.212344
90,724.212344
90,695.980637
90,619.674412
90,600.417305
90,590.768967
