step,value
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
0,0.993727
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.311559
10,0.351841
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.235741
20,0.252993
20,0.323337
20,0.351841
20,0.369993
20,0.392696
20,0.467906
20,0.541513
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.196081
30,0.205816
30,0.241122
30,0.252993
30,0.259558
30,0.266605
30,0.28238
30,0.291259
30,0.323337
30,0.351841
30,0.680108
40,0.171937
40,0.171937
40,0.171937
40,0.171937
40,0.171937
40,0.171937
40,0.171937
40,0.171937
40,0.171937
40,0.171937
40,0.171937
40,0.17811
40,0.199164
40,0.205816
40,0.20941
40,0.2132
40,0.221439
40,0.225925
40,0.241122
40,0.252993
40,0.300937
40,0.33659
40,0.33659
40,0.392696
40,0.392696
40,0.423147
40,0.993727
40,0.993727
50,0.155842
50,0.155842
50,0.155842
50,0.155842
50,0.155842
50,0.155842
50,0.155842
50,0.155842
50,0.155842
50,0.155842
50,0.155842
50,0.16007
50,0.173911
50,0.17811
50,0.180347
50,0.182681
50,0.187673
50,0.190345
50,0.199164
50,0.205816
50,0.230684
50,0.246861
50,0.246861
50,0.266605
50,0.266605
50,0.274189
50,0.311559
50,0.311559
50,0.323337
50,0.423147
50,0.467906
50,0.993727
60,0.144427
60,0.144427
60,0.144427
60,0.144427
60,0.144427
60,0.144427
60,0.144427
60,0.144427
60,0.144427
60,0.144427
60,0.144427
60,0.147483
60,0.157203
60,0.16007
60,0.161582
60,0.163149
60,0.166464
60,0.168218
60,0.173911
60,0.17811
60,0.193145
60,0.202405
60,0.202405
60,0.2132
60,0.2132
60,0.217204
60,0.235741
60,0.235741
60,0.241122
60,0.274189
60,0.28238
60,0.311559
60,0.351841
60,0.369993
60,0.392696
60,0.423147
60,0.541513
60,0.541513
60,0.680108
60,0.680108
70,0.135959
70,0.135959
70,0.135959
70,0.135959
70,0.135959
70,0.135959
70,0.135959
70,0.135959
70,0.135959
70,0.135959
70,0.135959
70,0.138258
70,0.145415
70,0.147483
70,0.148565
70,0.149682
70,0.152026
70,0.153256
70,0.157203
70,0.16007
70,0.170041
70,0.175967
70,0.175967
70,0.182681
70,0.182681
70,0.185121
70,0.196081
70,0.196081
70,0.199164
70,0.217204
70,0.221439
70,0.235741
70,0.252993
70,0.259558
70,0.266605
70,0.274189
70,0.291259
70,0.291259
70,0.300937
70,0.300937
70,0.323337
70,0.423147
70,0.423147
70,0.423147
70,0.993727
80,0.129462
80,0.129462
80,0.129462
80,0.129462
80,0.129462
80,0.129462
80,0.129462
80,0.129462
80,0.129462
80,0.129462
80,0.129462
80,0.131244
80,0.136705
80,0.138258
80,0.139066
80,0.139897
80,0.141632
80,0.142536
80,0.145415
80,0.147483
80,0.154528
80,0.158611
80,0.158611
80,0.163149
80,0.163149
80,0.164775
80,0.171937
80,0.171937
80,0.173911
80,0.185121
80,0.187673
80,0.196081
80,0.205816
80,0.20941
80,0.2132
80,0.217204
80,0.225925
80,0.225925
80,0.230684
80,0.230684
80,0.241122
80,0.274189
80,0.274189
80,0.274189
80,0.311559
80,0.369993
80,0.423147
80,0.467906
80,0.467906
90,0.124345
90,0.124345
90,0.124345
90,0.124345
90,0.124345
90,0.124345
90,0.124345
90,0.124345
90,0.124345
90,0.124345
90,0.124345
90,0.125761
90,0.130042
90,0.131244
90,0.131868
90,0.132507
90,0.133835
90,0.134525
90,0.136705
90,0.138258
90,0.143468
90,0.146433
90,0.146433
90,0.149682
90,0.149682
90,0.150835
90,0.155842
90,0.155842
90,0.157203
90,0.164775
90,0.166464
90,0.171937
90,0.17811
90,0.180347
90,0.182681
90,0.185121
90,0.190345
90,0.190345
90,0.193145
90,0.193145
90,0.199164
90,0.217204
90,0.217204
90,0.217204
90,0.235741
90,0.259558
90,0.274189
90,0.28238
90,0.28238
90,0.369993
90,0.392696
90,0.423147
90,0.467906
90,0.541513
90,0.541513
100,0.120231
100,0.120231
100,0.120231
100,0.120231
100,0.120231
100,0.120231
100,0.120231
100,0.120231
100,0.120231
100,0.120231
100,0.120231
100,0.121377
100,0.124807
100,0.125761
100,0.126254
100,0.126758
100,0.127802
