step,value
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
0,0.171273
10,0.098122
10,0.098122
10,0.098122
10,0.098122
10,0.098122
10,0.098122
10,0.098122
10,0.098122
10,0.098122
10,0.098122
10,0.098122
10,0.106909
20,0.083266
20,0.083266
20,0.083266
20,0.083266
20,0.083266
20,0.083266
20,0.083266
20,0.083266
20,0.083266
20,0.083266
20,0.083266
20,0.086304
20,0.100686
20,0.106909
20,0.110743
20,0.115246
20,0.127411
20,0.136327
30,0.077343
30,0.077343
30,0.077343
30,0.077343
30,0.077343
30,0.077343
30,0.077343
30,0.077343
30,0.077343
30,0.077343
30,0.077343
30,0.078639
30,0.084187
30,0.086304
30,0.087522
30,0.088864
30,0.091987
30,0.093811
30,0.100686
30,0.106909
30,0.149255
40,0.074677
40,0.074677
40,0.074677
40,0.074677
40,0.074677
40,0.074677
40,0.074677
40,0.074677
40,0.074677
40,0.074677
40,0.074677
40,0.075277
40,0.077741
40,0.078639
40,0.079146
40,0.079696
40,0.080943
40,0.081651
40,0.084187
40,0.086304
40,0.095845
40,0.10359
40,0.10359
40,0.115246
40,0.115246
40,0.12066
40,0.171273
40,0.171273
50,0.073411
50,0.073411
50,0.073411
50,0.073411
50,0.073411
50,0.073411
50,0.073411
50,0.073411
50,0.073411
50,0.073411
50,0.073411
50,0.0737
50,0.074862
50,0.075277
50,0.075509
50,0.075759
50,0.07632
50,0.076635
50,0.077741
50,0.078639
50,0.082423
50,0.085197
50,0.085197
50,0.088864
50,0.088864
50,0.090346
50,0.098122
50,0.098122
50,0.100686
50,0.12066
50,0.127411
50,0.171273
60,0.072796
60,0.072796
60,0.072796
60,0.072796
60,0.072796
60,0.072796
60,0.072796
60,0.072796
60,0.072796
60,0.072796
60,0.072796
60,0.072937
60,0.073501
60,0.0737
60,0.073811
60,0.07393
60,0.074196
60,0.074345
60,0.074862
60,0.075277
60,0.076975
60,0.078172
60,0.078172
60,0.079696
60,0.079696
60,0.080293
60,0.083266
60,0.083266
60,0.084187
60,0.090346
60,0.091987
60,0.098122
60,0.106909
60,0.110743
60,0.115246
60,0.12066
60,0.136327
60,0.136327
60,0.149255
60,0.149255
70,0.072493
70,0.072493
70,0.072493
70,0.072493
70,0.072493
70,0.072493
70,0.072493
70,0.072493
70,0.072493
70,0.072493
70,0.072493
70,0.072562
70,0.072839
70,0.072937
70,0.072991
70,0.073049
70,0.073179
70,0.073251
70,0.073501
70,0.0737
70,0.074505
70,0.075062
70,0.075062
70,0.075759
70,0.075759
70,0.076029
70,0.077343
70,0.077343
70,0.077741
70,0.080293
70,0.080943
70,0.083266
70,0.086304
70,0.087522
70,0.088864
70,0.090346
70,0.093811
70,0.093811
70,0.095845
70,0.095845
70,0.100686
70,0.12066
70,0.12066
70,0.12066
70,0.171273
80,0.072342
80,0.072342
80,0.072342
80,0.072342
80,0.072342
80,0.072342
80,0.072342
80,0.072342
80,0.072342
80,0.072342
80,0.072342
80,0.072377
80,0.072514
80,0.072562
80,0.072589
80,0.072618
80,0.072681
80,0.072717
80,0.072839
80,0.072937
80,0.073328
80,0.073597
80,0.073597
80,0.07393
80,0.07393
80,0.074058
80,0.074677
80,0.074677
80,0.074862
80,0.076029
80,0.07632
80,0.077343
80,0.078639
80,0.079146
80,0.079696
80,0.080293
80,0.081651
80,0.081651
80,0.082423
80,0.082423
80,0.084187
80,0.090346
80,0.090346
80,0.090346
80,0.098122
80,0.110743
80,0.12066
80,0.127411
80,0.127411
90,0.072268
90,0.072268
90,0.072268
90,0.072268
90,0.072268
90,0.072268
90,0.072268
90,0.072268
90,0.072268
90,0.072268
90,0.072268
90,0.072285
90,0.072353
90,0.072377
90,0.07239
90,0.072404
90,0.072436
90,0.072454
90,0.072514
90,0.072562
90,0.072755
90,0.072886
90,0.072886
90,0.073049
90,0.073049
90,0.073112
90,0.073411
90,0.073411
90,0.073501
90,0.074058
90,0.074196
90,0.074677
90,0.075277
90,0.075509
90,0.075759
90,0.076029
90,0.076635
90,0.076635
90,0.076975
90,0.076975
90,0.077741
90,0.080293
90,0.080293
90,0.080293
90,0.083266
90,0.087522
90,0.090346
90,0.091987
90,0.091987
90,0.110743
90,0.115246
90,0.12066
90,0.127411
90,0.136327
90,0.136327
100,0.072231
100,0.072231
100,0.072231
100,0.072231
100,0.072231
100,0.072231
100,0.072231
100,0.072231
100,0.072231
100,0.072231
100,0.072231
100,0.072239
100,0.072273
100,0.072285
100,0.072292
100,0.072299
100,0.072314
100,0.072323
100,0.072353
100,0.072377
100,0.072472
100,0.072537
100,0.072537
100,0.072618
100,0.072618
100,0.072648
100,0.072796
100,0.072796
100,0.072839
100,0.073112
100,0.073179
100,0.073411
