step,value
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
0,8.468943
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,13.650319
10,11.067107
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,23.087272
20,20.176424
20,12.766546
20,11.067107
20,10.267949
20,9.521906
20,8.311026
20,7.963142
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,33.044783
30,30.029347
30,22.111534
30,20.176424
30,19.218148
30,18.266906
30,16.388736
30,15.46388
30,12.766546
30,11.067107
30,7.939125
40,43.149245
40,43.149245
40,43.149245
40,43.149245
40,43.149245
40,43.149245
40,43.149245
40,43.149245
40,43.149245
40,43.149245
40,43.149245
40,40.117515
40,32.037896
40,30.029347
40,29.028269
40,28.029733
40,26.041612
40,25.052735
40,22.111534
40,20.176424
40,14.550394
40,11.903326
40,11.903326
40,9.521906
40,9.521906
40,8.855127
40,8.468943
40,8.468943
50,53.175771
50,53.175771
50,53.175771
50,53.175771
50,53.175771
50,53.175771
50,53.175771
50,53.175771
50,53.175771
50,53.175771
50,53.175771
50,50.186242
50,42.139254
50,40.117515
50,39.106159
50,38.094752
50,36.072655
50,35.062419
50,32.037896
50,30.029347
50,24.067819
50,21.141078
50,21.141078
50,18.266906
50,18.266906
50,17.323462
50,13.650319
50,13.650319
50,12.766546
50,8.855127
50,8.311026
50,8.468943
60,62.969985
60,62.969985
60,62.969985
60,62.969985
60,62.969985
60,62.969985
60,62.969985
60,62.969985
60,62.969985
60,62.969985
60,62.969985
60,60.063242
60,52.181449
60,50.186242
60,49.18563
60,48.183203
60,46.173503
60,45.166545
60,42.139254
60,40.117515
60,34.053045
60,31.032655
60,31.032655
60,28.029733
60,28.029733
60,27.034066
60,23.087272
60,23.087272
60,22.111534
60,17.323462
60,16.388736
60,13.650319
60,11.067107
60,10.267949
60,9.521906
60,8.855127
60,7.963142
60,7.963142
60,7.939125
60,7.939125
70,72.424835
70,72.424835
70,72.424835
70,72.424835
70,72.424835
70,72.424835
70,72.424835
70,72.424835
70,72.424835
70,72.424835
70,72.424835
70,69.628895
70,62.004372
70,60.063242
70,59.087912
70,58.109538
70,56.144076
70,55.157207
70,52.181449
70,50.186242
70,44.158402
70,41.128613
70,41.128613
70,38.094752
70,38.094752
70,37.08351
70,33.044783
70,33.044783
70,32.037896
70,27.034066
70,26.041612
70,23.087272
70,20.176424
70,19.218148
70,18.266906
70,17.323462
70,15.46388
70,15.46388
70,14.550394
70,14.550394
70,12.766546
70,8.855127
70,8.855127
70,8.855127
70,8.468943
80,81.467792
80,81.467792
80,81.467792
80,81.467792
80,81.467792
80,81.467792
80,81.467792
80,81.467792
80,81.467792
80,81.467792
80,81.467792
80,78.801353
80,71.496915
80,69.628895
80,68.688921
80,67.745058
80,65.845953
80,64.890859
80,62.004372
80,60.063242
80,54.167732
80,51.184895
80,51.184895
80,48.183203
80,48.183203
80,47.179109
80,43.149245
80,43.149245
80,42.139254
80,37.08351
80,36.072655
80,33.044783
80,30.029347
80,29.028269
80,28.029733
80,27.034066
80,25.052735
80,25.052735
80,24.067819
80,24.067819
80,22.111534
80,17.323462
80,17.323462
80,17.323462
80,13.650319
80,10.267949
80,8.855127
80,8.311026
80,8.311026
90,90.052333
90,90.052333
90,90.052333
90,90.052333
90,90.052333
90,90.052333
90,90.052333
90,90.052333
90,90.052333
90,90.052333
90,90.052333
90,87.527024
90,80.583531
90,78.801353
90,77.903516
90,77.001236
90,75.183528
90,74.268196
90,71.496915
90,69.628895
90,63.932176
90,61.035427
90,61.035427
90,58.109538
90,58.109538
90,57.128224
90,53.175771
90,53.175771
90,52.181449
90,47.179109
90,46.173503
90,43.149245
90,40.117515
90,39.106159
90,38.094752
90,37.08351
90,35.062419
90,35.062419
90,34.053045
90,34.053045
90,32.037896
90,27.034066
90,27.034066
90,27.034066
90,23.087272
90,19.218148
90,17.323462
90,16.388736
90,16.388736
90,10.267949
90,9.521906
90,8.855127
90,8.311026
90,7.963142
90,7.963142
100,98.151713
100,98.151713
100,98.151713
100,98.151713
100,98.151713
100,98.151713
100,98.151713
100,98.151713
100,98.151713
100,98.151713
100,98.151713
100,95.773787
100,89.215402
100,87.527024
100,86.675621
100,85.819439
100,84.092841
100,83.222481
100,80.583531
100,78.801353
100,73.348614
100,70.564915
100,70.564915
100,67.745058
100,67.745058
100,66.797378
100,62.969985
100,62.969985
100,62.004372
100,57.128224
100,56.144076
100,53.175771
100,50.186242
100,49.18563
100,48.183203
100,47.179109
100,45.166545
100,45.166545
100,44.158402
100,44.158402
100,42.139254
100,37.08351
100,37.08351
100,37.08351
100,33.044783
100,29.028269
100,27.034066
100,26.041612
100,26.041612
100,19.218148
100,18.266906
100,17.323462
100,16.388736
100,15.46388
100,15.46388
100,12.766546
100,9.521906
100,8.468943
110,105.754222
110,105.754222
110,105.754222
110,105.754222
110,105.754222
110,105.754222
110,105.754222
110,105.754222
110,105.754222
110,105.754222
110,105.754222
110,103.52585
110,97.364041
110,95.773787
110,94.97122
110,94.163705
110,92.533876
110,91.711587
110,89.215402
110,87.527024
110,82.347454
110,79.694705
110,79.694705
110,77.001236
110,77.001236
110,76.094557
110,72.424835
110,72.424835
110,71.496915
110,66.797378
110,65.845953
110,62.969985
110,60.063242
110,59.087912
110,58.109538
110,57.128224
110,55.157207
110,55.157207
110,54.167732
110,54.167732
110,52.181449
110,47.179109
110,47.179109
110,47.179109
110,43.149245
110,39.106159
110,37.08351
110,36.072655
110,36.072655
110,29.028269
110,28.029733
110,27.034066
110,26.041612
110,25.052735
110,25.052735
110,22.111534
110,18.266906
110,13.650319
110,11.067107
110,11.067107
110,11.067107
110,11.067107
110,11.067107
110,10.267949
110,8.311026
110,8.311026
110,7.939125
110,8.468943
120,112.859481
120,112.859481
120,112.859481
120,112.859481
120,112.859481
120,112.859481
120,112.859481
120,112.859481
120,112.859481
120,112.859481
120,112.859481
120,110.779773
120,105.016416
120,103.52585
120,102.773084
120,102.015328
120,100.484845
120,99.71212
120,97.364041
120,95.773787
120,90.884401
120,88.373625
120,88.373625
120,85.819439
120,85.819439
120,84.958503
120,81.467792
120,81.467792
120,80.583531
120,76.094557
120,75.183528
120,72.424835
120,69.628895
120,68.688921
120,67.745058
120,66.797378
120,64.890859
120,64.890859
120,63.932176
120,63.932176
120,62.004372
120,57.128224
120,57.128224
120,57.128224
120,53.175771
120,49.18563
120,47.179109
120,46.173503
120,46.173503
120,39.106159
120,38.094752
120,37.08351
120,36.072655
120,35.062419
120,35.062419
120,32.037896
120,28.029733
120,23.087272
120,20.176424
120,20.176424
120,20.176424
120,20.176424
120,20.176424
120,19.218148
120,16.388736
120,16.388736
120,14.550394
120,13.650319
120,11.903326
120,8.855127
120,8.311026
120,7.963142
120,8.468943
130,119.475535
130,119.475535
130,119.475535
130,119.475535
130,119.475535
130,119.475535
130,119.475535
130,119.475535
130,119.475535
