# Métadonnées des entités surveillées
entity_id,creation_step,death_step,still_alive,n_records
1,0,,1,200
2,0,,1,200
3,0,,1,200
4,0,,1,200
5,0,,1,200
6,0,,1,200
7,0,,1,200
8,0,,1,200
9,0,,1,200
10,0,,1,200
96,150,,1,185
104,155,,1,184
137,227,,1,177
149,251,,1,174
153,257,,1,174
168,274,,1,172
171,277,,1,172
263,461,,1,153
276,482,,1,151
281,493,,1,150
304,538,,1,146
360,680,,1,132
364,684,,1,131
367,695,,1,130
371,707,,1,129
443,856,,1,114
487,921,,1,107
507,968,,1,103
595,1161,,1,83
603,1190,,1,81
643,1278,,1,72
695,1379,,1,62
711,1424,,1,57
719,1433,,1,56
742,1469,,1,53
815,1598,,1,40
859,1675,,1,32
865,1697,,1,30
924,1797,,1,20
933,1810,,1,19
957,1873,,1,12
