# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
187,1,411.6161,1123.3129,413.5408,215328.9881,102977.6613,11050.7512,117,0.001912,0.0,0,1,413.5408
189,1,438.1655,1240.1653,440.9276,218683.8709,104180.4832,11578.9764,116,0.002004,0.0,0,1,440.9276
203,1,470.8255,1337.1325,473.8934,256976.9511,118318.9108,12172.2031,123,0.001832,0.0,0,1,473.8934
204,1,415.3094,1275.1765,417.5657,258780.5865,118880.7017,12237.0001,123,0.001605,0.0,0,1,417.5657
207,1,490.2943,1406.4457,491.6476,264654.8179,120320.9076,13654.7116,125,0.001853,0.0,0,1,491.6476
211,1,493.4989,1458.3139,495.52,277370.3576,125106.3247,12794.3476,127,0.001779,0.0,0,1,495.52
213,1,484.9507,1491.5153,487.3064,281885.8517,126257.2501,13399.1243,128,0.00172,0.0,0,1,487.3064
216,3,1437.5258,4376.128,1443.7857,289489.5402,129210.1363,13243.9756,127,0.004966,0.0,0,3,479.143
217,1,470.4123,1440.1082,473.5518,285279.9567,127888.4096,14171.4404,124,0.001649,0.0,0,1,473.5518
218,1,482.1491,1506.7671,485.9412,284719.0179,127879.2104,14729.2959,123,0.001693,0.0,0,1,485.9412
220,2,1137.9852,3276.1508,1143.1879,289256.4303,130784.1547,13325.6845,123,0.003934,0.0,0,2,577.0608
221,2,1079.4215,3225.4475,1084.0509,288357.7754,130575.6889,13376.1294,121,0.003743,0.0,0,2,566.5587
225,2,1143.618,3423.1611,1147.5474,298133.0962,132993.5709,13706.8226,119,0.003836,0.0,0,2,610.5804
226,1,559.0965,1615.5411,559.7668,296031.1835,132268.2567,14223.2302,118,0.001889,0.0,0,1,559.7668
228,1,511.6853,1660.0379,513.4972,300546.7545,133875.8463,13995.0251,122,0.001703,0.0,0,1,513.4972
232,1,593.9638,1798.0878,595.1065,309674.7313,137173.9038,13980.437,121,0.001918,0.0,0,1,595.1065
237,2,1173.9689,3634.8279,1183.3723,322345.3556,139774.4187,15521.3936,122,0.003642,0.0,0,2,641.3743
241,1,608.1375,1944.4196,609.3155,329226.1972,142641.138,15076.8391,121,0.001847,0.0,0,1,609.3155
246,2,1188.1342,3853.7626,1195.927,342847.9351,145580.912,15992.3778,122,0.003465,0.0,0,2,640.5094
247,1,606.6436,1842.0891,609.4446,339364.421,144902.2368,16326.5218,120,0.001788,0.0,0,1,609.4446
248,1,614.8436,1987.1586,619.8436,338917.2792,145187.5604,16260.4006,119,0.001814,0.0,0,1,619.8436
249,1,680.2309,2120.4503,682.5506,341352.3428,146828.0589,14829.9549,119,0.001993,0.0,0,1,682.5506
256,1,652.3417,2171.5926,655.6646,361445.5969,150703.4296,16280.9397,123,0.001805,0.0,0,1,655.6646
