step,value
0,6.245673
0,6.245673
0,6.245673
0,6.245673
0,6.245673
0,6.245673
0,6.245673
0,6.245673
0,6.245673
0,6.245673
0,6.245673
10,10.285452
10,10.285452
10,10.285452
10,10.285452
10,10.285452
10,10.285452
10,10.285452
10,10.285452
10,10.285452
10,10.285452
10,10.285452
10,8.046189
20,15.434232
20,15.434232
20,16.960455
20,16.719951
20,15.829502
20,15.829502
20,8.563024
20,17.589194
20,17.589194
20,17.589194
20,17.589194
20,16.166882
20,11.914001
20,12.388274
20,12.160587
20,10.838503
20,11.666698
20,11.261326
30,27.458018
30,27.104241
30,21.707017
30,14.901439
30,27.466607
30,27.466607
30,25.895534
30,24.514547
30,21.78809
30,21.78809
30,21.78809
30,24.637019
30,19.810631
30,17.501546
30,17.220559
30,17.63565
30,18.248851
30,16.517676
30,17.477278
30,17.528504
30,14.992605
40,19.329777
40,19.223004
40,34.777935
40,19.69341
40,34.30785
40,28.295777
40,18.954144
40,18.755466
40,28.539591
40,18.541907
40,18.541907
40,18.7957
40,26.130112
40,25.21811
40,24.870129
40,24.990172
40,22.957926
40,23.419096
40,24.073298
40,21.931778
40,23.801186
40,21.563891
40,21.660385
40,21.111329
40,21.804064
40,21.4388
40,11.991347
40,11.991347
50,37.85084
50,37.636908
50,25.483139
50,24.784942
50,42.366383
50,26.080972
50,25.304637
50,24.70131
50,37.163695
50,44.938153
50,42.576064
50,25.359501
50,32.875272
50,30.896978
50,30.55836
50,30.315679
50,31.107624
50,30.486219
50,28.531884
50,29.469515
50,27.977002
50,28.42343
50,27.996676
50,27.824747
50,29.06213
50,28.17486
50,27.279213
50,28.403282
50,28.092531
50,27.749458
50,25.803275
50,11.991347
60,31.205811
60,45.895984
60,56.294621
60,52.701428
60,44.853915
60,55.640829
60,56.345637
60,46.746427
60,55.893607
60,46.265946
60,45.139888
60,51.88353
60,40.060402
60,36.995166
60,36.67572
60,36.048734
60,36.349396
60,36.420611
60,35.740343
60,33.773827
60,35.034499
60,31.828589
60,34.187965
60,34.219259
60,32.224436
60,34.297608
60,33.510768
60,31.223277
60,34.093398
60,33.219097
60,32.007859
60,33.164905
60,31.106268
60,31.758641
60,31.884652
60,26.102655
60,10.123018
60,15.143131
60,14.0369
60,13.061046
70,35.162669
70,54.317298
70,35.14848
70,54.024799
70,35.087393
70,35.048372
70,54.251573
70,53.936152
70,34.532593
70,53.330725
70,53.053349
70,35.266317
70,45.83817
70,43.394361
70,43.101922
70,42.083858
70,41.084155
70,39.492431
70,39.154122
70,41.081182
70,38.016057
70,38.103512
70,40.734766
70,38.611587
70,38.23303
70,38.50707
70,39.961621
70,36.89499
70,38.758116
70,39.617272
70,37.898067
70,38.755807
70,40.310017
70,37.846147
70,37.586806
70,37.53421
70,38.780266
70,38.640005
70,38.049698
70,37.310324
70,39.722889
70,35.462777
70,35.409204
70,36.462366
70,11.991347
80,48.172396
80,46.301469
80,47.90134
80,47.468957
80,47.2691
80,45.433784
80,47.683985
80,47.408744
80,47.261773
80,46.173174
80,45.316526
80,48.014933
80,39.290625
80,49.983864
80,49.724357
80,48.320156
80,45.989307
80,44.561373
80,45.017852
80,44.94451
80,44.433081
80,43.458918
80,43.196469
80,41.844277
80,43.197945
80,41.54966
80,41.001031
80,43.173364
80,42.847537
80,42.859542
80,43.722989
80,43.021299
80,42.901691
80,44.905763
80,45.20818
80,43.577814
80,44.138569
80,43.623097
80,43.994943
80,44.328023
80,43.513298
80,43.480091
80,43.699989
80,41.997487
80,42.855159
80,40.298596
80,39.597177
80,36.422048
80,35.976589
90,101.815711
90,106.176504
90,95.877212
90,82.692432
90,58.338413
90,93.744314
90,93.518988
90,82.781193
90,58.295317
90,103.417108
90,93.454555
90,93.283938
