step,value
0,0.896119
0,0.896119
0,0.896119
0,0.896119
0,0.896119
0,0.896119
0,0.896119
0,0.896119
0,0.896119
0,0.896119
0,0.896119
10,0.906687
10,0.906687
10,0.906687
10,0.906687
10,0.906687
10,0.906687
10,0.906687
10,0.906687
10,0.906687
10,0.906687
10,0.906687
10,0.924557
20,0.631583
20,0.631583
20,0.695015
20,0.688765
20,0.687431
20,0.687431
20,0.659097
20,0.728572
20,0.728572
20,0.728572
20,0.728572
20,0.89086
20,0.914892
20,0.917325
20,0.918233
20,0.92079
20,0.92227
20,0.930787
30,0.652331
30,0.649668
30,0.620797
30,0.636529
30,0.684978
30,0.684978
30,0.637815
30,0.635479
30,0.642827
30,0.642827
30,0.642827
30,0.798129
30,0.903296
30,0.904723
30,0.905188
30,0.905751
30,0.908929
30,0.908801
30,0.910589
30,0.910511
30,0.929451
40,0.503774
40,0.502248
40,0.530256
40,0.52789
40,0.539649
40,0.521637
40,0.505892
40,0.503022
40,0.527108
40,0.500323
40,0.500323
40,0.636625
40,0.897476
40,0.90063
40,0.90075
40,0.901654
40,0.903038
40,0.903578
40,0.908213
40,0.90445
40,0.90891
40,0.907059
40,0.907086
40,0.908315
40,0.908736
40,0.909193
40,0.951851
40,0.949743
50,0.452745
50,0.451628
50,0.451946
50,0.447545
50,0.474342
50,0.477393
50,0.4539
50,0.445704
50,0.467495
50,0.481212
50,0.477957
50,0.584611
50,0.895144
50,0.897906
50,0.897936
50,0.898867
50,0.903831
50,0.90813
50,0.902847
50,0.90236
50,0.903673
50,0.904744
50,0.904628
50,0.904998
50,0.905238
50,0.905454
50,0.90596
50,0.906102
50,0.906122
50,0.916598
50,0.918288
50,0.947799
60,0.387025
60,0.385931
60,0.410486
60,0.412264
60,0.395517
60,0.427708
60,0.421137
60,0.41355
60,0.428251
60,0.411286
60,0.398957
60,0.539177
60,0.894018
60,0.89631
60,0.896294
60,0.897146
60,0.899599
60,0.900281
60,0.902229
60,0.900506
60,0.903174
60,0.902916
60,0.903909
60,0.904401
60,0.903409
60,0.904722
60,0.90529
60,0.904404
60,0.905378
60,0.904411
60,0.903882
60,0.904277
60,0.90402
60,0.904762
60,0.906487
60,0.905543
60,0.928426
